XP_004987452.1	Em0001g23a
XP_004988632.1	Em0011g779a
XP_004988634.1	Em0009g711a
XP_004988638.1	Em0001g1173a
XP_004988641.1	Em0011g829a
XP_004988642.1	Em0016g551a
XP_004988648.1	Em0004g1724a
XP_004988662.1	Em0020g553a
XP_004988665.1	Em0018g521a
XP_004988687.1	Em0020g1066a
XP_004988689.1	Em0009g1143a
XP_004988690.1	Em0617g2a
XP_004988694.1	Em0021g45a
XP_004988699.1	Em0004g202a
XP_004988702.1	Em0020g1053a
XP_004988705.1	Em0020g360a
XP_004988713.1	Em0022g696a
XP_004988715.1	Em0019g982a
XP_004988716.1	Em0020g784a
XP_004988717.1	Em0005g1243a
XP_004988718.1	Em0020g637a
XP_004988721.1	Em0016g50a
XP_004988723.1	Em0009g38a
XP_004988726.1	Em0012g970a
XP_004988730.1	Em0004g1117a
XP_004988732.1	Em0013g160a
XP_004988733.1	Em0017g961a
XP_004988744.1	Em0005g1518a
XP_004988745.1	Em0005g1525a
XP_004988749.1	Em0005g1287a
XP_004988754.1	Em0005g1596a
XP_004988758.1	Em0013g85a
XP_004988764.1	Em0799g3a
XP_004988765.1	Em0006g989a
XP_004988766.1	Em0006g1281a
XP_004988770.1	Em0021g307a
XP_004988778.1	Em0009g1118a
XP_004988797.1	Em0010g1031a
XP_004988807.1	Em0021g831a
XP_004988808.1	Em0020g1100a
XP_004988819.1	Em0003g645a
XP_004988828.1	Em0015g290a
XP_004988837.1	Em0006g878a
XP_004988840.1	Em0014g580a
XP_004988841.1	Em0005g706a
XP_004988846.1	Em0011g572a
XP_004988849.1	Em0011g512a
XP_004988861.1	Em0023g340a
XP_004988866.1	Em0023g228a
XP_004988876.1	Em0023g90a
XP_004988881.1	Em0005g181a
XP_004988884.1	Em0016g1100a
XP_004988885.1	Em0023g78a
XP_004988889.1	Em0141g5a
XP_004988890.1	Em0016g362a
XP_004988908.1	Em0018g427a
XP_004988909.1	Em0010g1032a
XP_004988910.1	Em0003g108a
XP_004988914.1	Em0012g459a
XP_004988923.1	Em0009g429a
XP_004988928.1	Em0005g1532a
XP_004988929.1	Em0001g2115a
XP_004988938.1	Em0019g1181a
XP_004988939.1	Em0019g304a
XP_004988944.1	Em0023g367a
XP_004988947.1	Em0016g916a
XP_004988949.1	Em0005g674a
XP_004988951.1	Em0023g581a
XP_004988959.1	Em0006g635a
XP_004988965.1	Em0008g372a
XP_004988966.1	Em0017g562a
XP_004988967.1	Em0010g1038a
XP_004988969.1	Em0014g246a
XP_004988975.1	Em0011g7a
XP_004988976.1	Em0018g1071a
XP_004988981.1	Em0004g795a
XP_004988985.1	Em0015g1075a
XP_004988993.1	Em0021g887a
XP_004988995.1	Em0018g713a
XP_004988999.1	Em0022g241a
XP_004989001.1	Em0012g965a
XP_004989012.1	Em0008g1259a
XP_004989013.1	Em0004g14a
XP_004989015.1	Em0002g82a
XP_004989016.1	Em0010g719a
XP_004989018.1	Em0666g10a
XP_004989019.1	Em0017g93a
XP_004989022.1	Em0009g549a
XP_004989030.1	Em0009g1285a
XP_004989036.1	Em0003g995a
XP_004989050.1	Em0018g934a
XP_004989051.1	Em0022g182a
XP_004989054.1	Em0018g793a
XP_004989063.1	Em0018g311a
XP_004989064.1	Em0001g1344a
XP_004989065.1	Em0004g1580a
XP_004989076.1	Em0015g1271a
XP_004989077.1	Em0018g975a
XP_004989079.1	Em0007g323a
XP_004989085.1	Em0015g960a
XP_004989095.1	Em0011g107a
XP_004989098.1	Em0008g1256a
XP_004989101.1	Em0447g3a
XP_004989104.1	Em0013g107a
XP_004989107.1	Em0016g87a
XP_004989115.1	Em0020g921a
XP_004989116.1	Em0018g1213a
XP_004989117.1	Em0009g1305a
XP_004989119.1	Em0003g344a
XP_004989130.1	Em0009g1163a
XP_004989134.1	Em0018g1072a
XP_004989136.1	Em0018g561a
XP_004989148.1	Em0013g508a
XP_004989149.1	Em0018g1005a
XP_004989150.1	Em0011g965a
XP_004989159.1	Em0015g1204a
XP_004989165.1	Em0023g350a
XP_004989167.1	Em0017g380a
XP_004989173.1	Em0023g293a
XP_004989177.1	Em0022g62a
XP_004989192.1	Em0012g890a
XP_004989196.1	Em0011g1165a
XP_004989198.1	Em0001g12a
XP_004989204.1	Em0016g29a
XP_004989205.1	Em0020g284a
XP_004989206.1	Em0020g603a
XP_004989213.1	Em0013g33a
XP_004989215.1	Em0016g30a
XP_004989216.1	Em0024g243a
XP_004989218.1	Em0012g1042a
XP_004989221.1	Em0001g124a
XP_004989224.1	Em0011g840a
XP_004989228.1	Em0018g1154a
XP_004989238.1	Em0531g11a
XP_004989241.1	Em0017g810a
XP_004989244.1	Em0009g1026a
XP_004989245.1	Em0018g385a
XP_004989263.1	Em0019g149a
XP_004989264.1	Em0003g210a
XP_004989265.1	Em0164g4a
XP_004989267.1	Em0013g142a
XP_004989271.1	Em0019g341a
XP_004989274.1	Em0007g615a
XP_004989279.1	Em0023g58a
XP_004989281.1	Em0014g244a
XP_004989291.1	Em0018g373a
XP_004989303.1	Em0581g4a
XP_004989305.1	Em0019g896a
XP_004989308.1	Em0019g1152a
XP_004989310.1	Em0015g94a
XP_004989312.1	Em0013g187a
XP_004989317.1	Em0015g936a
XP_004989324.1	Em0014g813a
XP_004989329.1	Em0002g45a
XP_004989332.1	Em0019g562a
XP_004989340.1	Em0021g971a
XP_004989341.1	Em0011g851a
XP_004989342.1	Em0015g1258a
XP_004989344.1	Em0021g542a
XP_004989345.1	Em0015g920a
XP_004989355.1	Em0013g176a
XP_004989369.1	Em0020g30a
XP_004989370.1	Em0010g262a
XP_004989372.1	Em0001g1947a
XP_004989375.1	Em0005g1484a
XP_004989376.1	Em0003g328a
XP_004989383.1	Em0015g1249a
XP_004989385.1	Em0013g1109a
XP_004989386.1	Em0015g575a
XP_004989389.1	Em0004g1018a
XP_004989390.1	Em0023g69a
XP_004989403.1	Em0006g1004a
XP_004989405.1	Em0023g719a
XP_004989406.1	Em0023g652a
XP_004989411.1	Em0019g334a
XP_004989421.1	Em0020g83a
XP_004989434.1	Em0013g302a
XP_004989437.1	Em0013g287a
XP_004989451.1	Em0008g425a
XP_004989452.1	Em0060g11a
XP_004989456.1	Em0013g826a
XP_004989457.1	Em0013g374a
XP_004989460.1	Em0019g252a
XP_004989464.1	Em0017g387a
XP_004989467.1	Em0010g903a
XP_004989491.1	Em0012g171a
XP_004989493.1	Em0022g159a
XP_004989494.1	Em0023g339a
XP_004989498.1	Em0018g1157a
XP_004989499.1	Em0011g1013a
XP_004989502.1	Em0011g24a
XP_004989506.1	Em0011g17a
XP_004989509.1	Em0016g288a
XP_004989515.1	Em0021g501a
XP_004989516.1	Em0004g1005a
XP_004989522.1	Em0013g123a
XP_004989523.1	Em0002g119a
XP_004989524.1	Em0013g817a
XP_004989532.1	Em0023g87a
XP_004989533.1	Em0023g74a
XP_004989538.1	Em0012g1031a
XP_004989540.1	Em0018g252a
XP_004989548.1	Em0013g643a
XP_004989549.1	Em0009g996a
XP_004989551.1	Em0008g628a
XP_004989552.1	Em0022g178a
XP_004989555.1	Em0022g701a
XP_004989556.1	Em0023g712a
XP_004989559.1	Em0015g317a
XP_004989563.1	Em0017g182a
XP_004989566.1	Em0004g1107a
XP_004989568.1	Em0004g206a
XP_004989570.1	Em0022g402a
XP_004989574.1	Em0013g141a
XP_004989577.1	Em0003g192a
XP_004989579.1	Em0008g162a
XP_004989580.1	Em0014g936a
XP_004989592.1	Em0004g53a
XP_004989599.1	Em0018g339a
XP_004989600.1	Em0017g301a
XP_004989601.1	Em0015g762a
XP_004989602.1	Em0015g1184a
XP_004989603.1	Em0003g44a
XP_004989604.1	Em0003g1412a
XP_004989607.1	Em0013g274a
XP_004989608.1	Em0010g905a
XP_004989609.1	Em0019g347a
XP_004989612.1	Em0013g106a
XP_004989616.1	Em0021g51a
XP_004989619.1	Em0013g1106a
XP_004989620.1	Em0022g304a
XP_004989622.1	Em0023g123a
XP_004989623.1	Em0018g1116a
XP_004989629.1	Em0013g357a
XP_004989632.1	Em0010g160a
XP_004989633.1	Em0023g205a
XP_004989637.1	Em0013g153a
XP_004989639.1	Em0022g276a
XP_004989642.1	Em0003g1407a
XP_004989643.1	Em0022g582a
XP_004989646.1	Em0012g904a
XP_004989647.1	Em0009g148a
XP_004989649.1	Em0015g170a
XP_004989651.1	Em0008g45a
XP_004989654.1	Em0011g360a
XP_004989655.1	Em0002g1864a
XP_004989657.1	Em0001g2866a
XP_004989659.1	Em0020g200a
XP_004989661.1	Em0444g3a
XP_004989662.1	Em0011g119a
XP_004989663.1	Em0001g66a
XP_004989666.1	Em0019g290a
XP_004989669.1	Em0001g2116a
XP_004989673.1	Em0401g6a
XP_004989674.1	Em0021g979a
XP_004989675.1	Em0021g36a
XP_004989676.1	Em0019g758a
XP_004989683.1	Em0023g355a
XP_004989687.1	Em0001g1211a
XP_004989688.1	Em0015g776a
XP_004989691.1	Em0004g1019a
XP_004989692.1	Em0007g962a
XP_004989694.1	Em0009g40a
XP_004989695.1	Em0003g1108a
XP_004989696.1	Em0014g582a
XP_004989698.1	Em0018g255a
XP_004989699.1	Em0005g60a
XP_004989701.1	Em0019g327a
XP_004989702.1	Em0011g322a
XP_004989703.1	Em0022g290a
XP_004989704.1	Em0017g88a
XP_004989705.1	Em0008g1013a
XP_004989708.1	Em0015g175a
XP_004989716.1	Em0023g940a
XP_004989719.1	Em0001g1240a
XP_004989721.1	Em0018g1161a
XP_004989732.1	Em0011g248a
XP_004989734.1	Em0011g1184a
XP_004989751.1	Em0011g217a
XP_004989752.1	Em0023g67a
XP_004989754.1	Em0011g1062a
XP_004989756.1	Em0018g289a
XP_004989765.1	Em0004g70a
XP_004989766.1	Em0011g580a
XP_004989770.1	Em0011g303a
XP_004989778.1	Em0016g528a
XP_004989783.1	Em0621g2a
XP_004989785.1	Em0011g803a
XP_004989788.1	Em0008g882a
XP_004989790.1	Em0011g225a
XP_004989791.1	Em0011g513a
XP_004989792.1	Em0006g1506a
XP_004989801.1	Em0021g35a
XP_004989807.1	Em0019g584a
XP_004989808.1	Em0022g204a
XP_004989820.1	Em0022g648a
XP_004989821.1	Em0020g846a
XP_004989822.1	Em0016g1024a
XP_004989824.1	Em0005g945a
XP_004989826.1	Em0001g1207a
XP_004989840.1	Em0002g578a
XP_004989841.1	Em0021g225a
XP_004989852.1	Em0020g183a
XP_004989853.1	Em0016g126a
XP_004989856.1	Em0023g820a
XP_004989859.1	Em0021g95a
XP_004989862.1	Em0018g1093a
XP_004989869.1	Em0010g856a
XP_004989878.1	Em0019g949a
XP_004989879.1	Em0023g547a
XP_004989886.1	Em0020g701a
XP_004989888.1	Em0019g103a
XP_004989899.1	Em0011g858a
XP_004989900.1	Em0002g205a
XP_004989902.1	Em0009g1298a
XP_004989906.1	Em0034g41a
XP_004989908.1	Em0023g539a
XP_004989910.1	Em0019g1096a
XP_004989914.1	Em0017g960a
XP_004989915.1	Em0008g1018a
XP_004989918.1	Em0020g1052a
XP_004989919.1	Em0011g361a
XP_004989922.1	Em0015g976a
XP_004989923.1	Em0015g886a
XP_004989924.1	Em0015g954a
XP_004989925.1	Em0009g1112a
XP_004989926.1	Em0018g246a
XP_004989928.1	Em0016g519a
XP_004989929.1	Em0002g1436a
XP_004989931.1	Em0021g570a
XP_004989933.1	Em0001g1570a
XP_004989934.1	Em0023g792a
XP_004989936.1	Em0006g1010a
XP_004989937.1	Em0006g1014a
XP_004989938.1	Em0015g99a
XP_004989939.1	Em0020g1020a
XP_004989940.1	Em0011g9a
XP_004989943.1	Em0006g1235a
XP_004989945.1	Em0018g1149a
XP_004989947.1	Em0001g847a
XP_004989948.1	Em0015g1260a
XP_004989949.1	Em0022g209a
XP_004989950.1	Em0004g65a
XP_004989952.1	Em0016g20a
XP_004989965.1	Em0014g3a
XP_004989968.1	Em0021g684a
XP_004989969.1	Em0014g869a
XP_004989970.1	Em0286g7a
XP_004989972.1	Em0008g1273a
XP_004989973.1	Em0012g285a
XP_004989983.1	Em0004g10a
XP_004989988.1	Em0006g1225a
XP_004989993.1	Em0003g1471a
XP_004989994.1	Em0010g836a
XP_004989995.1	Em0004g1192a
XP_004989997.1	Em0018g375a
XP_004990001.1	Em0011g759a
XP_004990003.1	Em0018g345a
XP_004990009.1	Em0019g243a
XP_004990010.1	Em0009g937a
XP_004990013.1	Em0011g516a
XP_004990017.1	Em0004g1515a
XP_004990019.1	Em0006g1168a
XP_004990020.1	Em0001g1754a
XP_004990022.1	Em0020g1022a
XP_004990023.1	Em0020g1098a
XP_004990024.1	Em0020g205a
XP_004990025.1	Em0012g673a
XP_004990027.1	Em0019g356a
XP_004990034.1	Em0016g930a
XP_004990035.1	Em0006g969a
XP_004990038.1	Em0145g5a
XP_004990040.1	Em0020g1088a
XP_004990046.1	Em0022g127a
XP_004990047.1	Em0019g598a
XP_004990051.1	Em0001g844a
XP_004990052.1	Em0008g946a
XP_004990053.1	Em0014g785a
XP_004990055.1	Em0086g12a
XP_004990061.1	Em0003g190a
XP_004990062.1	Em0017g792a
XP_004990063.1	Em0306g10a
XP_004990064.1	Em0016g307a
XP_004990066.1	Em0018g266a
XP_004990068.1	Em0015g644a
XP_004990071.1	Em0014g832a
XP_004990075.1	Em0013g291a
XP_004990080.1	Em0009g593a
XP_004990081.1	Em0019g667a
XP_004990082.1	Em0484g6a
XP_004990084.1	Em0014g834a
XP_004990085.1	Em0006g1034a
XP_004990087.1	Em0023g356a
XP_004990091.1	Em0015g708a
XP_004990093.1	Em0013g595a
XP_004990095.1	Em0018g52a
XP_004990098.1	Em0019g664a
XP_004990116.1	Em0020g1029a
XP_004990118.1	Em0019g117a
XP_004990119.1	Em0017g213a
XP_004990124.1	Em0012g914a
XP_004990128.1	Em0006g1422a
XP_004990133.1	Em0012g997a
XP_004990134.1	Em0015g803a
XP_004990135.1	Em0028g27a
XP_004990137.1	Em0018g1170a
XP_004990139.1	Em0018g1110a
XP_004990144.1	Em0023g363a
XP_004990146.1	Em0017g134a
XP_004990149.1	Em0022g165a
XP_004990165.1	Em0011g484a
XP_004990167.1	Em0020g199a
XP_004990168.1	Em0010g892a
XP_004990174.1	Em0005g1635a
XP_004990180.1	Em0012g499a
XP_004990181.1	g32961.t1
XP_004990186.1	Em0020g786a
XP_004990209.1	Em0015g676a
XP_004990210.1	Em0016g935a
XP_004990214.1	Em0019g639a
XP_004990222.1	Em0012g485a
XP_004990230.1	Em0012g1090a
XP_004990232.1	Em0018g985a
XP_004990234.1	Em0022g938a
XP_004990237.1	Em0020g756a
XP_004990238.1	Em0020g41a
XP_004990239.1	Em0420g1a
XP_004990252.1	Em0023g655a
XP_004990254.1	Em0011g635a
XP_004990256.1	Em0005g1341a
XP_004990257.1	Em0013g143a
XP_004990258.1	Em0012g994a
XP_004990261.1	Em0001g1243a
XP_004990265.1	Em0019g254a
XP_004990268.1	Em0022g700a
XP_004990274.1	Em0020g791a
XP_004990276.1	Em0001g2416a
XP_004990278.1	Em0021g309a
XP_004990279.1	Em0019g816a
XP_004990281.1	Em0013g734a
XP_004990291.1	Em0012g1079a
XP_004990296.1	Em0023g308a
XP_004990299.1	Em0028g16a
XP_004990301.1	Em0020g682a
XP_004990303.1	Em0022g152a
XP_004990306.1	Em0016g917a
XP_004990307.1	Em0009g53a
XP_004990308.1	Em0006g1245a
XP_004990309.1	Em0016g240a
XP_004990320.1	Em0008g542a
XP_004990322.1	Em0019g115a
XP_004990323.1	Em0023g34a
XP_004990327.1	Em0003g42a
XP_004990328.1	Em0022g688a
XP_004990330.1	Em0023g260a
XP_004990333.1	Em0110g6a
XP_004990337.1	Em0009g664a
XP_004990341.1	Em0023g199a
XP_004990342.1	Em0012g576a
XP_004990343.1	Em0020g224a
XP_004990348.1	Em0015g37a
XP_004990350.1	Em0144g6a
XP_004990354.1	Em0003g815a
XP_004990355.1	Em0019g887a
XP_004990356.1	Em0001g3686a
XP_004990357.1	Em0013g158a
XP_004990358.1	Em0023g795a
XP_004990360.1	Em0023g557a
XP_004990362.1	Em0016g1170a
XP_004990371.1	Em0018g809a
XP_004990374.1	Em0017g35a
XP_004990379.1	Em0009g54a
XP_004990382.1	Em0015g38a
XP_004990386.1	Em0002g1159a
XP_004990390.1	Em0002g1812a
XP_004990393.1	Em0010g727a
XP_004990397.1	Em0009g619a
XP_004990398.1	Em0018g514a
XP_004990401.1	Em0017g154a
XP_004990405.1	Em0019g581a
XP_004990406.1	Em0115g15a
XP_004990409.1	Em0020g195a
XP_004990412.1	Em0005g239a
XP_004990413.1	Em0019g818a
XP_004990414.1	Em0021g77a
XP_004990420.1	Em0011g586a
XP_004990421.1	Em0021g26a
XP_004990423.1	Em0001g2529a
XP_004990424.1	Em0008g1073a
XP_004990429.1	Em0019g288a
XP_004990430.1	Em0023g381a
XP_004990431.1	Em0016g111a
XP_004990432.1	Em0001g3616a
XP_004990434.1	Em0016g1031a
XP_004990441.1	Em0001g3379a
XP_004990443.1	Em0001g1171a
XP_004990450.1	Em0021g559a
XP_004990452.1	Em0016g1075a
XP_004990454.1	Em0001g3560a
XP_004990458.1	Em0017g793a
XP_004990461.1	Em0007g405a
XP_004990463.1	Em0004g62a
XP_004990465.1	Em0019g844a
XP_004990467.1	Em0009g1196a
XP_004990468.1	Em0019g1119a
XP_004990469.1	Em0447g6a
XP_004990470.1	Em0021g902a
XP_004990476.1	Em0011g799a
XP_004990477.1	Em0023g503a
XP_004990479.1	Em0008g1062a
XP_004990480.1	Em0019g198a
XP_004990484.1	Em0018g34a
XP_004990488.1	Em0009g586a
XP_004990491.1	Em0020g86a
XP_004990495.1	Em0014g575a
XP_004990496.1	Em0021g71a
XP_004990500.1	Em0012g1046a
XP_004990502.1	Em0012g471a
XP_004990503.1	Em0014g794a
XP_004990504.1	Em0020g636a
XP_004990505.1	Em0015g93a
XP_004990507.1	Em0003g179a
XP_004990511.1	Em0015g84a
XP_004990512.1	Em0023g578a
XP_004990528.1	Em0004g31a
XP_004990529.1	Em0008g413a
XP_004990531.1	Em0021g295a
XP_004990533.1	Em0016g304a
XP_004990540.1	Em0011g15a
XP_004990541.1	Em0032g18a
XP_004990547.1	Em0017g760a
XP_004990551.1	Em0020g947a
XP_004990553.1	Em0004g635a
XP_004990557.1	Em0022g207a
XP_004990558.1	Em0006g958a
XP_004990559.1	Em0015g663a
XP_004990560.1	Em0005g1339a
XP_004990562.1	Em0020g1096a
XP_004990563.1	Em0015g1148a
XP_004990567.1	Em0019g1048a
