Em0001g1007a	Hcv1.av93.c8.g835.i1
Em0001g1706a	Hcv1.av93.c2.g216.i1
Em0001g1715a	Hcv1.av93.c12.g5.i2
Em0001g1733a	Hcv1.av93.c2.g1636.i1
Em0001g1734a	Hcv1.av93.c2.g571.i2
Em0001g1755a	Hcv1.av93.c6.g1198.i1
Em0001g1763a	Hcv1.av93.c7.g240.i1
Em0001g1766a	Hcv1.av93.c8.g552.i1
Em0001g1786a	Hcv1.av93.c4.g740.i1
Em0001g1822a	Hcv1.av93.c9.g898.i1
Em0001g1824a	Hcv1.av93.c8.g76.i1
Em0001g1849a	Hcv1.av93.c6.g860.i2
Em0001g18a	Hcv1.av93.c5.g777.i1
Em0001g1909a	Hcv1.av93.c8.g47.i1
Em0001g190a	Hcv1.av93.c2.g22.i1
Em0001g1910a	Hcv1.av93.c6.g1088.i1
Em0001g1953a	Hcv1.av93.c8.g701.i1
Em0001g1979a	Hcv1.av93.c5.g463.i1
Em0001g2004a	Hcv1.av93.c1.g1077.i1
Em0001g202a	Hcv1.av93.c1.g692.i1
Em0001g2111a	Hcv1.av93.c1.g1434.i1
Em0001g2115a	Hcv1.av93.c11.g985.i1
Em0001g2116a	Hcv1.av93.c8.g278.i1
Em0001g211a	Hcv1.av93.c2.g874.i1
Em0001g215a	Hcv1.av93.c13.g678.i2
Em0001g2165a	Hcv1.av93.c6.g1177.i1
Em0001g2262a	Hcv1.av93.c8.g239.i1
Em0001g2277a	Hcv1.av93.c11.g281.i1
Em0001g229a	Hcv1.av93.c4.g344.i1
Em0001g231a	Hcv1.av93.c8.g293.i1
Em0001g232a	Hcv1.av93.c1.g440.i1
Em0001g2337a	Hcv1.av93.c8.g975.i3
Em0001g234a	Hcv1.av93.c2.g690.i1
Em0001g235a	Hcv1.av93.c2.g1025.i1
Em0001g2373a	Hcv1.av93.c9.g228.i1
Em0001g237a	Hcv1.av93.c11.g656.i1
Em0001g2389a	Hcv1.av93.c8.g557.i1
Em0001g23a	Hcv1.av93.c3.g877.i1
Em0001g2411a	Hcv1.av93.c8.g807.i1
Em0001g2416a	Hcv1.av93.c8.g972.i1
Em0001g2417a	Hcv1.av93.c12.g331.i1
Em0001g242a	Hcv1.av93.c4.g556.i1
Em0001g24a	Hcv1.av93.c8.g1018.i1
Em0001g2522a	Hcv1.av93.c3.g1003.i1
Em0001g2524a	Hcv1.av93.c8.g475.i1
Em0001g2532a	Hcv1.av93.c8.g372.i1
Em0001g262a	Hcv1.av93.c2.g990.i1
Em0001g2639a	Hcv1.av93.c2.g1640.i1
Em0001g263a	Hcv1.av93.c2.g989.i1
Em0001g2641a	Hcv1.av93.c11.g1014.i1
Em0001g2644a	Hcv1.av93.c8.g459.i2
Em0001g2655a	Hcv1.av93.c8.g632.i1
Em0001g2657a	Hcv1.av93.c8.g899.i1
Em0001g2658a	Hcv1.av93.c2.g982.i1
Em0001g2661a	Hcv1.av93.c8.g146.i3
Em0001g2662a	Hcv1.av93.c2.g195.i1
Em0001g2663a	Hcv1.av93.c9.g74.i1
Em0001g2704a	Hcv1.av93.c8.g646.i2
Em0001g2837a	Hcv1.av93.c1.g1531.i1
Em0001g2866a	Hcv1.av93.c8.g717.i1
Em0001g2869a	Hcv1.av93.c8.g658.i1
Em0001g2907a	Hcv1.av93.c8.g58.i1
Em0001g2923a	Hcv1.av93.c1.g1514.i1
Em0001g295a	Hcv1.av93.c2.g1600.i1
Em0001g3075a	Hcv1.av93.c12.g473.i1
Em0001g3099a	Hcv1.av93.c4.g295.i1
Em0001g3163a	Hcv1.av93.c1.g1600.i1
Em0001g3274a	Hcv1.av93.c8.g302.i2
Em0001g3276a	Hcv1.av93.c3.g685.i2
Em0001g3296a	Hcv1.av93.c8.g377.i1
Em0001g3377a	Hcv1.av93.c8.g856.i1
Em0001g3379a	Hcv1.av93.c6.g1176.i1
Em0001g3380a	Hcv1.av93.c5.g697.i1
Em0001g3381a	Hcv1.av93.c13.g491.i1
Em0001g3426a	Hcv1.av93.c5.g217.i1
Em0001g3447a	Hcv1.av93.c1.g1653.i1
Em0001g3564a	Hcv1.av93.c8.g771.i1
Em0001g3565a	Hcv1.av93.c8.g318.i1
Em0001g3611a	Hcv1.av93.c5.g1236.i1
Em0001g3613a	Hcv1.av93.c8.g193.i1
Em0001g3614a	Hcv1.av93.c8.g699.i1
Em0001g3615a	Hcv1.av93.c11.g668.i1
Em0001g3616a	Hcv1.av93.c8.g877.i1
Em0001g3617a	Hcv1.av93.c5.g280.i1
Em0001g3686a	Hcv1.av93.c8.g963.i1
Em0001g3723a	Hcv1.av93.c11.g535.i1
Em0001g3727a	Hcv1.av93.c5.g1024.i1
Em0001g3729a	Hcv1.av93.c1.g1561.i1
Em0001g3730a	Hcv1.av93.c6.g583.i1
Em0001g376a	Hcv1.av93.c2.g525.i3
Em0001g3779a	Hcv1.av93.c8.g1019.i1
Em0001g3780a	Hcv1.av93.c3.g1202.i2
Em0001g3792a	Hcv1.av93.c8.g905.i1
Em0001g3794a	Hcv1.av93.c2.g199.i1
Em0001g3795a	Hcv1.av93.c8.g225.i1
Em0001g3820a	Hcv1.av93.c6.g259.i1
Em0001g407a	Hcv1.av93.c7.g611.i1
Em0001g414a	Hcv1.av93.c2.g222.i1
Em0001g417a	Hcv1.av93.c10.g116.i1
Em0001g436a	Hcv1.av93.c9.g953.i2
Em0001g454a	Hcv1.av93.c9.g32.i1
Em0001g467a	Hcv1.av93.c5.g1261.i1
Em0001g468a	Hcv1.av93.c11.g890.i1
Em0001g471a	Hcv1.av93.c2.g922.i1
Em0001g491a	Hcv1.av93.c2.g1234.i1
Em0001g505a	Hcv1.av93.c2.g1000.i1
Em0001g528a	Hcv1.av93.c7.g845.i2
Em0001g529a	Hcv1.av93.c6.g1237.i1
Em0001g542a	Hcv1.av93.c9.g260.i1
Em0001g554a	Hcv1.av93.c1.g1543.i1
Em0001g572a	Hcv1.av93.c2.g918.i1
Em0001g582a	Hcv1.av93.c2.g330.i1
Em0001g610a	Hcv1.av93.c2.g200.i2
Em0001g620a	Hcv1.av93.c2.g1390.i1
Em0001g623a	Hcv1.av93.c3.g155.i1
Em0001g646a	Hcv1.av93.c2.g1343.i2
Em0001g66a	Hcv1.av93.c2.g556.i1
Em0001g678a	Hcv1.av93.c11.g114.i1
Em0001g67a	Hcv1.av93.c5.g870.i1
Em0001g720a	Hcv1.av93.c1.g1295.i1
Em0001g723a	Hcv1.av93.c3.g1289.i3
Em0001g751a	Hcv1.av93.c5.g1056.i1
Em0001g757a	Hcv1.av93.c7.g586.i1
Em0001g833a	Hcv1.av93.c9.g472.i1
Em0001g834a	Hcv1.av93.c13.g504.i1
Em0001g846a	Hcv1.av93.c4.g723.i1
Em0001g847a	Hcv1.av93.c6.g398.i1
Em0001g849a	Hcv1.av93.c2.g290.i1
Em0001g850a	Hcv1.av93.c3.g135.i1
Em0001g858a	Hcv1.av93.c9.g638.i1
Em0001g86a	Hcv1.av93.c8.g17.i1
Em0001g894a	Hcv1.av93.c3.g75.i1
Em0001g896a	Hcv1.av93.c7.g295.i1
Em0001g906a	Hcv1.av93.c2.g542.i1
Em0001g928a	Hcv1.av93.c12.g175.i1
Em0001g929a	Hcv1.av93.c10.g27.i1
Em0001g92a	Hcv1.av93.c2.g293.i1
Em0001g998a	Hcv1.av93.c13.g288.i1
Em0002g1008a	Hcv1.av93.c6.g1205.i1
Em0002g1023a	Hcv1.av93.c4.g233.i1
Em0002g1061a	Hcv1.av93.c12.g76.i1
Em0002g1062a	Hcv1.av93.c4.g770.i1
Em0002g107a	Hcv1.av93.c8.g814.i1
Em0002g1091a	Hcv1.av93.c1.g1594.i1
Em0002g1177a	Hcv1.av93.c8.g124.i1
Em0002g119a	Hcv1.av93.c6.g1008.i1
Em0002g1299a	Hcv1.av93.c2.g828.i1
Em0002g1335a	Hcv1.av93.c2.g83.i1
Em0002g1409a	Hcv1.av93.c10.g719.i1
Em0002g1436a	Hcv1.av93.c1.g340.i1
Em0002g145a	Hcv1.av93.c11.g780.i1
Em0002g1473a	Hcv1.av93.c5.g133.i1
Em0002g1604a	Hcv1.av93.c12.g206.i1
Em0002g1605a	Hcv1.av93.c12.g147.i2
Em0002g1628a	Hcv1.av93.c9.g50.i1
Em0002g1693a	Hcv1.av93.c8.g576.i1
Em0002g1697a	Hcv1.av93.c4.g867.i1
Em0002g1728a	Hcv1.av93.c2.g721.i1
Em0002g1743a	Hcv1.av93.c9.g235.i1
Em0002g1747a	Hcv1.av93.c13.g38.i2
Em0002g1755a	Hcv1.av93.c9.g920.i1
Em0002g1803a	Hcv1.av93.c11.g357.i3
Em0002g1822a	Hcv1.av93.c11.g520.i2
Em0002g1840a	Hcv1.av93.c12.g250.i1
Em0002g1841a	Hcv1.av93.c12.g537.i5
Em0002g1861a	Hcv1.av93.c7.g280.i1
Em0002g1869a	Hcv1.av93.c9.g482.i1
Em0002g1870a	Hcv1.av93.c8.g767.i1
Em0002g1883a	Hcv1.av93.c13.g274.i1
Em0002g1885a	Hcv1.av93.c12.g100.i1
Em0002g1888a	Hcv1.av93.c2.g43.i1
Em0002g1891a	Hcv1.av93.c6.g444.i1
Em0002g1892a	Hcv1.av93.c9.g798.i1
Em0002g1894a	Hcv1.av93.c3.g1160.i1
Em0002g1907a	Hcv1.av93.c2.g827.i3
Em0002g203a	Hcv1.av93.c9.g527.i1
Em0002g205a	Hcv1.av93.c12.g63.i1
Em0002g207a	Hcv1.av93.c9.g340.i4
Em0002g268a	Hcv1.av93.c7.g1078.i1
Em0002g26a	Hcv1.av93.c11.g1003.i2
Em0002g293a	Hcv1.av93.c11.g65.i3
Em0002g294a	Hcv1.av93.c8.g584.i1
Em0002g299a	Hcv1.av93.c3.g679.i1
Em0002g29a	Hcv1.av93.c11.g660.i1
Em0002g36a	Hcv1.av93.c6.g721.i1
Em0002g37a	Hcv1.av93.c6.g1194.i1
Em0002g38a	Hcv1.av93.c2.g856.i1
Em0002g39a	Hcv1.av93.c7.g367.i1
Em0002g419a	Hcv1.av93.c9.g4.i1
Em0002g41a	Hcv1.av93.c8.g119.i1
Em0002g42a	Hcv1.av93.c12.g268.i1
Em0002g43a	Hcv1.av93.c12.g260.i1
Em0002g456a	Hcv1.av93.c9.g479.i1
Em0002g45a	Hcv1.av93.c6.g1099.i1
Em0002g501a	Hcv1.av93.c5.g750.i1
Em0002g547a	Hcv1.av93.c13.g513.i1
Em0002g578a	Hcv1.av93.c7.g277.i1
Em0002g630a	Hcv1.av93.c5.g177.i1
Em0002g646a	Hcv1.av93.c7.g601.i1
Em0002g676a	Hcv1.av93.c11.g6.i2
Em0002g747a	Hcv1.av93.c4.g281.i1
Em0002g753a	Hcv1.av93.c5.g670.i1
Em0002g755a	Hcv1.av93.c3.g621.i1
Em0002g758a	Hcv1.av93.c7.g730.i1
Em0002g80a	Hcv1.av93.c4.g435.i1
Em0002g82a	Hcv1.av93.c9.g744.i1
Em0002g842a	Hcv1.av93.c9.g190.i1
Em0003g1002a	Hcv1.av93.c10.g710.i1
Em0003g1008a	Hcv1.av93.c4.g64.i1
Em0003g1038a	Hcv1.av93.c1.g326.i2
Em0003g107a	Hcv1.av93.c4.g934.i3
Em0003g108a	Hcv1.av93.c1.g1321.i1
Em0003g1191a	Hcv1.av93.c8.g894.i1
Em0003g1202a	Hcv1.av93.c1.g1029.i1
Em0003g1217a	Hcv1.av93.c1.g375.i1
Em0003g1220a	Hcv1.av93.c6.g27.i1
Em0003g1226a	Hcv1.av93.c3.g466.i1
Em0003g1273a	Hcv1.av93.c4.g184.i1
Em0003g1277a	Hcv1.av93.c10.g545.i1
Em0003g1292a	Hcv1.av93.c4.g622.i1
Em0003g1297a	Hcv1.av93.c5.g535.i1
Em0003g1298a	Hcv1.av93.c7.g183.i1
Em0003g1326a	Hcv1.av93.c2.g383.i2
Em0003g1330a	Hcv1.av93.c3.g944.i1
Em0003g1353a	Hcv1.av93.c1.g1101.i1
Em0003g1361a	Hcv1.av93.c1.g941.i1
Em0003g1366a	Hcv1.av93.c9.g589.i1
Em0003g1367a	Hcv1.av93.c4.g784.i1
Em0003g1372a	Hcv1.av93.c2.g1472.i1
Em0003g1397a	Hcv1.av93.c5.g363.i1
Em0003g1398a	Hcv1.av93.c4.g358.i1
Em0003g1404a	Hcv1.av93.c11.g690.i1
Em0003g1406a	Hcv1.av93.c11.g504.i1
Em0003g1407a	Hcv1.av93.c6.g635.i1
Em0003g1408a	Hcv1.av93.c5.g1229.i1
Em0003g1413a	Hcv1.av93.c4.g812.i1
Em0003g1424a	Hcv1.av93.c7.g103.i1
Em0003g1428a	Hcv1.av93.c3.g878.i1
Em0003g1480a	Hcv1.av93.c9.g691.i1
Em0003g1487a	Hcv1.av93.c3.g795.i2
Em0003g1520a	Hcv1.av93.c3.g1025.i3
Em0003g1546a	Hcv1.av93.c7.g1017.i1
Em0003g1549a	Hcv1.av93.c11.g1000.i1
Em0003g1556a	Hcv1.av93.c12.g265.i1
Em0003g1558a	Hcv1.av93.c8.g715.i1
Em0003g1560a	Hcv1.av93.c2.g1639.i1
Em0003g1581a	Hcv1.av93.c7.g737.i1
Em0003g1651a	Hcv1.av93.c9.g211.i1
Em0003g1716a	Hcv1.av93.c1.g1665.i2
Em0003g1755a	Hcv1.av93.c2.g957.i1
Em0003g178a	Hcv1.av93.c10.g673.i2
Em0003g1834a	Hcv1.av93.c7.g529.i1
Em0003g1836a	Hcv1.av93.c5.g862.i2
Em0003g1837a	Hcv1.av93.c5.g1037.i2
Em0003g1863a	Hcv1.av93.c5.g1257.i1
Em0003g1865a	Hcv1.av93.c2.g101.i1
Em0003g186a	Hcv1.av93.c1.g1393.i1
Em0003g1874a	Hcv1.av93.c8.g568.i1
Em0003g1879a	Hcv1.av93.c8.g209.i1
Em0003g187a	Hcv1.av93.c6.g432.i1
Em0003g1881a	Hcv1.av93.c2.g1065.i1
Em0003g188a	Hcv1.av93.c4.g101.i1
Em0003g189a	Hcv1.av93.c4.g756.i1
Em0003g191a	Hcv1.av93.c7.g145.i1
Em0003g192a	Hcv1.av93.c4.g456.i1
Em0003g269a	Hcv1.av93.c11.g309.i1
Em0003g289a	Hcv1.av93.c4.g300.i4
Em0003g290a	Hcv1.av93.c4.g704.i1
Em0003g293a	Hcv1.av93.c4.g66.i1
Em0003g317a	Hcv1.av93.c7.g216.i1
Em0003g318a	Hcv1.av93.c4.g803.i1
Em0003g320a	Hcv1.av93.c5.g415.i1
Em0003g321a	Hcv1.av93.c4.g439.i1
Em0003g327a	Hcv1.av93.c4.g186.i1
Em0003g328a	Hcv1.av93.c5.g852.i1
Em0003g333a	Hcv1.av93.c5.g926.i1
Em0003g342a	Hcv1.av93.c4.g285.i2
Em0003g344a	Hcv1.av93.c6.g60.i1
Em0003g345a	Hcv1.av93.c5.g742.i1
Em0003g346a	Hcv1.av93.c4.g447.i1
Em0003g347a	Hcv1.av93.c4.g264.i3
Em0003g36a	Hcv1.av93.c2.g1589.i1
Em0003g385a	Hcv1.av93.c5.g637.i1
Em0003g386a	Hcv1.av93.c6.g824.i1
Em0003g394a	Hcv1.av93.c4.g535.i4
Em0003g41a	Hcv1.av93.c4.g397.i1
Em0003g425a	Hcv1.av93.c5.g455.i1
Em0003g42a	Hcv1.av93.c4.g876.i1
Em0003g43a	Hcv1.av93.c1.g1349.i1
Em0003g44a	Hcv1.av93.c11.g439.i1
Em0003g457a	Hcv1.av93.c7.g980.i1
Em0003g458a	Hcv1.av93.c5.g269.i1
Em0003g459a	Hcv1.av93.c4.g77.i1
Em0003g45a	Hcv1.av93.c2.g1060.i1
Em0003g460a	Hcv1.av93.c4.g875.i1
Em0003g46a	Hcv1.av93.c4.g82.i1
Em0003g473a	Hcv1.av93.c7.g824.i4
Em0003g47a	Hcv1.av93.c4.g885.i1
Em0003g486a	Hcv1.av93.c4.g222.i1
Em0003g487a	Hcv1.av93.c4.g908.i1
Em0003g518a	Hcv1.av93.c4.g697.i1
Em0003g528a	Hcv1.av93.c6.g1083.i1
Em0003g540a	Hcv1.av93.c4.g725.i1
Em0003g54a	Hcv1.av93.c3.g967.i1
Em0003g56a	Hcv1.av93.c4.g434.i1
Em0003g593a	Hcv1.av93.c4.g442.i1
Em0003g629a	Hcv1.av93.c3.g1350.i1
Em0003g651a	Hcv1.av93.c5.g1167.i1
Em0003g654a	Hcv1.av93.c5.g373.i1
Em0003g655a	Hcv1.av93.c6.g929.i1
Em0003g657a	Hcv1.av93.c1.g799.i1
Em0003g658a	Hcv1.av93.c6.g1107.i1
Em0003g681a	Hcv1.av93.c5.g874.i1
Em0003g710a	Hcv1.av93.c7.g595.i1
Em0003g718a	Hcv1.av93.c9.g409.i1
Em0003g720a	Hcv1.av93.c9.g408.i1
Em0003g722a	Hcv1.av93.c4.g102.i1
Em0003g730a	Hcv1.av93.c6.g99.i2
Em0003g734a	Hcv1.av93.c9.g719.i1
Em0003g742a	Hcv1.av93.c4.g747.i1
Em0003g753a	Hcv1.av93.c8.g917.i1
Em0003g778a	Hcv1.av93.c5.g226.i1
Em0003g794a	Hcv1.av93.c2.g1586.i1
Em0003g815a	Hcv1.av93.c11.g560.i1
Em0003g844a	Hcv1.av93.c12.g373.i2
Em0003g849a	Hcv1.av93.c6.g1081.i1
Em0003g858a	Hcv1.av93.c9.g304.i1
Em0003g909a	Hcv1.av93.c12.g456.i1
Em0003g938a	Hcv1.av93.c5.g618.i1
Em0004g1002a	Hcv1.av93.c13.g108.i1
Em0004g1003a	Hcv1.av93.c3.g98.i1
Em0004g1004a	Hcv1.av93.c3.g534.i1
Em0004g1006a	Hcv1.av93.c3.g264.i1
Em0004g1008a	Hcv1.av93.c2.g240.i1
Em0004g1009a	Hcv1.av93.c8.g276.i1
Em0004g1039a	Hcv1.av93.c5.g42.i1
Em0004g1040a	Hcv1.av93.c1.g385.i12
Em0004g1049a	Hcv1.av93.c3.g903.i1
Em0004g1055a	Hcv1.av93.c5.g182.i1
Em0004g1061a	Hcv1.av93.c1.g1124.i1
Em0004g106a	Hcv1.av93.c2.g1612.i1
Em0004g1079a	Hcv1.av93.c5.g935.i1
Em0004g107a	Hcv1.av93.c9.g339.i1
Em0004g10a	Hcv1.av93.c5.g244.i1
Em0004g1106a	Hcv1.av93.c13.g307.i1
Em0004g1107a	Hcv1.av93.c2.g1658.i1
Em0004g1117a	Hcv1.av93.c9.g656.i1
Em0004g1192a	Hcv1.av93.c6.g602.i3
Em0004g11a	Hcv1.av93.c3.g391.i1
Em0004g1200a	Hcv1.av93.c9.g319.i1
Em0004g1245a	Hcv1.av93.c5.g139.i1
Em0004g12a	Hcv1.av93.c13.g488.i1
Em0004g1320a	Hcv1.av93.c1.g959.i1
Em0004g1348a	Hcv1.av93.c3.g738.i1
Em0004g134a	Hcv1.av93.c13.g576.i2
Em0004g1350a	Hcv1.av93.c10.g532.i1
Em0004g1351a	Hcv1.av93.c7.g1029.i1
Em0004g1353a	Hcv1.av93.c1.g728.i1
Em0004g1356a	Hcv1.av93.c12.g415.i1
Em0004g1357a	Hcv1.av93.c5.g1183.i1
Em0004g1358a	Hcv1.av93.c5.g368.i1
Em0004g1360a	Hcv1.av93.c1.g127.i1
Em0004g1366a	Hcv1.av93.c2.g531.i1
Em0004g1369a	Hcv1.av93.c2.g1189.i1
Em0004g136a	Hcv1.av93.c6.g800.i1
Em0004g137a	Hcv1.av93.c13.g147.i1
Em0004g1386a	Hcv1.av93.c6.g662.i1
Em0004g1387a	Hcv1.av93.c11.g173.i1
Em0004g138a	Hcv1.av93.c6.g1256.i1
Em0004g1396a	Hcv1.av93.c1.g1623.i2
Em0004g141a	Hcv1.av93.c13.g574.i6
Em0004g1439a	Hcv1.av93.c1.g1138.i2
Em0004g143a	Hcv1.av93.c6.g443.i1
Em0004g1459a	Hcv1.av93.c1.g1471.i1
Em0004g145a	Hcv1.av93.c6.g1121.i2
Em0004g149a	Hcv1.av93.c3.g260.i1
Em0004g14a	Hcv1.av93.c7.g484.i1
Em0004g150a	Hcv1.av93.c9.g938.i1
Em0004g1513a	Hcv1.av93.c1.g1657.i1
Em0004g151a	Hcv1.av93.c5.g31.i1
Em0004g153a	Hcv1.av93.c11.g651.i1
Em0004g1559a	Hcv1.av93.c1.g1136.i1
Em0004g1560a	Hcv1.av93.c1.g1580.i2
Em0004g1561a	Hcv1.av93.c1.g1682.i1
Em0004g156a	Hcv1.av93.c11.g667.i1
Em0004g1577a	Hcv1.av93.c1.g158.i1
Em0004g1578a	Hcv1.av93.c4.g695.i1
Em0004g157a	Hcv1.av93.c13.g77.i1
Em0004g1580a	Hcv1.av93.c4.g73.i1
Em0004g1582a	Hcv1.av93.c2.g1338.i1
Em0004g1583a	Hcv1.av93.c1.g780.i1
Em0004g1619a	Hcv1.av93.c4.g337.i2
Em0004g1629a	Hcv1.av93.c4.g428.i2
Em0004g1646a	Hcv1.av93.c7.g29.i1
Em0004g1647a	Hcv1.av93.c1.g1695.i2
Em0004g1652a	Hcv1.av93.c4.g850.i1
Em0004g1658a	Hcv1.av93.c1.g265.i1
Em0004g1660a	Hcv1.av93.c2.g128.i1
Em0004g1675a	Hcv1.av93.c9.g734.i1
Em0004g1678a	Hcv1.av93.c1.g47.i1
Em0004g1685a	Hcv1.av93.c1.g636.i1
Em0004g1706a	Hcv1.av93.c5.g536.i1
Em0004g1708a	Hcv1.av93.c1.g974.i1
Em0004g1746a	Hcv1.av93.c1.g305.i2
Em0004g181a	Hcv1.av93.c3.g386.i1
Em0004g203a	Hcv1.av93.c13.g600.i1
Em0004g204a	Hcv1.av93.c13.g137.i1
Em0004g205a	Hcv1.av93.c13.g109.i1
Em0004g206a	Hcv1.av93.c13.g110.i1
Em0004g208a	Hcv1.av93.c2.g1047.i1
Em0004g21a	Hcv1.av93.c13.g663.i1
Em0004g238a	Hcv1.av93.c1.g1324.i1
Em0004g240a	Hcv1.av93.c1.g1092.i1
Em0004g241a	Hcv1.av93.c13.g179.i1
Em0004g244a	Hcv1.av93.c1.g1302.i1
Em0004g24a	Hcv1.av93.c13.g419.i1
Em0004g256a	Hcv1.av93.c4.g822.i1
Em0004g25a	Hcv1.av93.c13.g192.i1
Em0004g26a	Hcv1.av93.c13.g270.i1
Em0004g29a	Hcv1.av93.c2.g1651.i1
Em0004g307a	Hcv1.av93.c5.g985.i1
Em0004g308a	Hcv1.av93.c7.g1066.i1
Em0004g340a	Hcv1.av93.c2.g545.i1
Em0004g349a	Hcv1.av93.c13.g334.i1
Em0004g350a	Hcv1.av93.c13.g420.i1
Em0004g353a	Hcv1.av93.c6.g907.i1
Em0004g354a	Hcv1.av93.c2.g951.i1
Em0004g36a	Hcv1.av93.c3.g664.i1
Em0004g376a	Hcv1.av93.c10.g107.i1
Em0004g379a	Hcv1.av93.c4.g76.i1
Em0004g382a	Hcv1.av93.c7.g573.i1
Em0004g38a	Hcv1.av93.c9.g749.i1
Em0004g40a	Hcv1.av93.c13.g11.i1
Em0004g41a	Hcv1.av93.c5.g554.i2
Em0004g42a	Hcv1.av93.c5.g577.i1
Em0004g449a	Hcv1.av93.c2.g64.i2
Em0004g44a	Hcv1.av93.c6.g128.i1
Em0004g46a	Hcv1.av93.c13.g363.i1
Em0004g499a	Hcv1.av93.c11.g815.i1
Em0004g49a	Hcv1.av93.c13.g612.i1
Em0004g500a	Hcv1.av93.c5.g664.i1
Em0004g515a	Hcv1.av93.c10.g618.i1
Em0004g51a	Hcv1.av93.c13.g214.i2
Em0004g53a	Hcv1.av93.c7.g275.i1
Em0004g56a	Hcv1.av93.c13.g294.i1
Em0004g58a	Hcv1.av93.c7.g649.i1
Em0004g5a	Hcv1.av93.c1.g1583.i1
Em0004g62a	Hcv1.av93.c1.g138.i1
Em0004g63a	Hcv1.av93.c12.g16.i1
Em0004g647a	Hcv1.av93.c1.g820.i2
Em0004g648a	Hcv1.av93.c5.g934.i1
Em0004g64a	Hcv1.av93.c8.g741.i1
Em0004g676a	Hcv1.av93.c1.g1362.i1
Em0004g686a	Hcv1.av93.c1.g661.i1
Em0004g68a	Hcv1.av93.c2.g636.i2
Em0004g6a	Hcv1.av93.c13.g111.i1
Em0004g70a	Hcv1.av93.c9.g223.i1
Em0004g714a	Hcv1.av93.c13.g405.i1
Em0004g71a	Hcv1.av93.c5.g427.i1
Em0004g72a	Hcv1.av93.c10.g550.i1
