XP_004987445.1	mRNA.RE02957
XP_004987871.1	mRNA.RE09119
XP_004987874.1	mRNA.RE07268
XP_004987875.1	mRNA.RE11449
XP_004987878.1	mRNA.RE05277
XP_004987879.1	mRNA.RE07840
XP_004987881.1	mRNA.RE07802
XP_004987884.1	mRNA.RE17134
XP_004987886.1	mRNA.RE10216
XP_004987887.1	mRNA.RE16206
XP_004987888.1	mRNA.RE13642
XP_004987893.1	mRNA.RE02976
XP_004987896.1	mRNA.RE00709
XP_004987897.1	mRNA.RE16022
XP_004987898.1	mRNA.RE11915
XP_004987900.1	mRNA.RE14623
XP_004987904.1	mRNA.RE14102
XP_004987911.1	mRNA.RE09373
XP_004987912.1	mRNA.RE04900
XP_004987915.1	mRNA.RE15708
XP_004987917.1	mRNA.RE15660
XP_004987918.1	mRNA.RE12461
XP_004987919.1	mRNA.RE05317
XP_004987921.1	mRNA.RE14227
XP_004987922.1	mRNA.RE08272
XP_004987923.1	mRNA.RE10489
XP_004987924.1	mRNA.RE06156
XP_004987926.1	mRNA.RE08136
XP_004987930.1	mRNA.RE15689
XP_004987931.1	mRNA.RE07368
XP_004987939.1	mRNA.RE01625
XP_004987943.1	mRNA.RE04147
XP_004987944.1	mRNA.RE12484
XP_004987947.1	mRNA.RE10071
XP_004987948.1	mRNA.RE14626
XP_004987951.1	mRNA.RE03200
XP_004987953.1	mRNA.RE02749
XP_004987954.1	mRNA.RE15561
XP_004987955.1	mRNA.RE17083
XP_004987956.1	mRNA.RE09671
XP_004987957.1	mRNA.RE02198
XP_004987965.1	mRNA.RE09811
XP_004987971.1	mRNA.RE11275
XP_004987973.1	mRNA.RE10350
XP_004987979.1	mRNA.RE04431
XP_004987980.1	mRNA.RE05214
XP_004987985.1	mRNA.RE16263
XP_004987986.1	mRNA.RE00820
XP_004987987.1	mRNA.RE08947
XP_004987992.1	mRNA.RE14046
XP_004987995.1	mRNA.RE05833
XP_004987996.1	mRNA.RE12960
XP_004987998.1	mRNA.RE00487
XP_004987999.1	mRNA.RE12088
XP_004988000.1	mRNA.RE16316
XP_004988001.1	mRNA.RE07347
XP_004988002.1	mRNA.RE10031
XP_004988004.1	mRNA.RE10618
XP_004988006.1	mRNA.RE04639
XP_004988007.1	mRNA.RE16349
XP_004988008.1	mRNA.RE06498
XP_004988010.1	mRNA.RE04704
XP_004988015.1	mRNA.RE15826
XP_004988019.1	mRNA.RE12499
XP_004988023.1	mRNA.RE10923
XP_004988024.1	mRNA.RE10871
XP_004988025.1	mRNA.RE09709
XP_004988029.1	mRNA.RE10589
XP_004988034.1	mRNA.RE05225
XP_004988036.1	mRNA.RE11214
XP_004988037.1	mRNA.RE00916
XP_004988039.1	mRNA.RE12091
XP_004988048.1	mRNA.RE13760
XP_004988054.1	mRNA.RE10617
XP_004988065.1	mRNA.RE04628
XP_004988067.1	mRNA.RE00413
XP_004988072.1	mRNA.RE05092
XP_004988085.1	mRNA.RE10450
XP_004988086.1	mRNA.RE13908
XP_004988095.1	mRNA.RE11415
XP_004988104.1	mRNA.RE01737
XP_004988105.1	mRNA.RE09440
XP_004988129.1	mRNA.RE13023
XP_004988130.1	mRNA.RE00414
XP_004988139.1	mRNA.RE03837
XP_004988140.1	mRNA.RE00660
XP_004988142.1	mRNA.RE02355
XP_004988149.1	mRNA.RE00748
XP_004988159.1	mRNA.RE02186
XP_004988160.1	mRNA.RE12697
XP_004988161.1	mRNA.RE09423
XP_004988202.1	mRNA.RE15383
XP_004988204.1	mRNA.RE05085
XP_004988206.1	mRNA.RE12656
XP_004988209.1	mRNA.RE12615
XP_004988210.1	mRNA.RE01301
XP_004988211.1	mRNA.RE06539
XP_004988214.1	mRNA.RE09227
XP_004988219.1	mRNA.RE16722
XP_004988220.1	mRNA.RE09222
XP_004988222.1	mRNA.RE00416
XP_004988224.1	mRNA.RE12507
XP_004988228.1	mRNA.RE16205
XP_004988236.1	mRNA.RE01967
XP_004988241.1	mRNA.RE08519
XP_004988243.1	mRNA.RE04754
XP_004988255.1	mRNA.RE08772
XP_004988258.1	mRNA.RE02833
XP_004988260.1	mRNA.RE16017
XP_004988264.1	mRNA.RE12577
XP_004988267.1	mRNA.RE03907
XP_004988282.1	mRNA.RE05882
XP_004988285.1	mRNA.RE09562
XP_004988288.1	mRNA.RE00278
XP_004988289.1	mRNA.RE03917
XP_004988292.1	mRNA.RE00289
XP_004988300.1	mRNA.RE14717
XP_004988307.1	mRNA.RE07846
XP_004988310.1	mRNA.RE13184
XP_004988312.1	mRNA.RE12378
XP_004988314.1	mRNA.RE06574
XP_004988315.1	mRNA.RE09188
XP_004988316.1	mRNA.RE03981
XP_004988338.1	mRNA.RE01808
XP_004988341.1	mRNA.RE09808
XP_004988344.1	mRNA.RE04444
XP_004988346.1	mRNA.RE11242
XP_004988349.1	mRNA.RE00927
XP_004988352.1	mRNA.RE03737
XP_004988356.1	mRNA.RE09645
XP_004988364.1	mRNA.RE11608
XP_004988365.1	mRNA.RE16614
XP_004988377.1	mRNA.RE10454
XP_004988383.1	mRNA.RE09245
XP_004988412.1	mRNA.RE14913
XP_004988413.1	mRNA.RE08249
XP_004988423.1	mRNA.RE14924
XP_004988425.1	mRNA.RE06412
XP_004988427.1	mRNA.RE14355
XP_004988429.1	mRNA.RE09487
XP_004988433.1	mRNA.RE15092
XP_004988438.1	mRNA.RE12644
XP_004988440.1	mRNA.RE09096
XP_004988442.1	mRNA.RE06314
XP_004988446.1	mRNA.RE03640
XP_004988447.1	mRNA.RE07531
XP_004988450.1	mRNA.RE13349
XP_004988451.1	mRNA.RE13064
XP_004988459.1	mRNA.RE02423
XP_004988462.1	mRNA.RE10836
XP_004988465.1	mRNA.RE05574
XP_004988467.1	mRNA.RE05366
XP_004988476.1	mRNA.RE05347
XP_004988479.1	mRNA.RE07026
XP_004988481.1	mRNA.RE11831
XP_004988483.1	mRNA.RE13983
XP_004988486.1	mRNA.RE12408
XP_004988487.1	mRNA.RE06506
XP_004988489.1	mRNA.RE11575
XP_004988490.1	mRNA.RE14330
XP_004988492.1	mRNA.RE16378
XP_004988498.1	mRNA.RE11692
XP_004988508.1	mRNA.RE09108
XP_004988511.1	mRNA.RE04519
XP_004988513.1	mRNA.RE13110
XP_004988514.1	mRNA.RE03833
XP_004988517.1	mRNA.RE09250
XP_004988524.1	mRNA.RE06472
XP_004988528.1	mRNA.RE09182
XP_004988536.1	mRNA.RE13309
XP_004988544.1	mRNA.RE03288
XP_004988545.1	mRNA.RE07762
XP_004988547.1	mRNA.RE01709
XP_004988553.1	mRNA.RE12150
XP_004988556.1	mRNA.RE02918
XP_004988558.1	mRNA.RE04899
XP_004988559.1	mRNA.RE10860
XP_004988560.1	mRNA.RE10867
XP_004988562.1	mRNA.RE15102
XP_004988564.1	mRNA.RE11725
XP_004988565.1	mRNA.RE08385
XP_004988570.1	mRNA.RE13506
XP_004988574.1	mRNA.RE02702
XP_004988576.1	mRNA.RE11684
XP_004988579.1	mRNA.RE09555
XP_004988584.1	mRNA.RE13783
XP_004988594.1	mRNA.RE15719
XP_004988603.1	mRNA.RE02525
XP_004988609.1	mRNA.RE15082
XP_004988612.1	mRNA.RE00162
XP_004988627.1	mRNA.RE12211
XP_004988632.1	mRNA.RE06560
XP_004988634.1	mRNA.RE09710
XP_004988638.1	mRNA.RE06171
XP_004988642.1	mRNA.RE11128
XP_004988651.1	mRNA.RE08199
XP_004988652.1	mRNA.RE09404
XP_004988654.1	mRNA.RE05841
XP_004988662.1	mRNA.RE05063
XP_004988664.1	mRNA.RE01100
XP_004988665.1	mRNA.RE08151
XP_004988675.1	mRNA.RE15137
XP_004988683.1	mRNA.RE09479
XP_004988689.1	mRNA.RE06750
XP_004988690.1	mRNA.RE11790
XP_004988694.1	mRNA.RE01632
XP_004988702.1	mRNA.RE05885
XP_004988705.1	mRNA.RE14575
XP_004988709.1	mRNA.RE08207
XP_004988713.1	mRNA.RE14549
XP_004988715.1	mRNA.RE06575
XP_004988716.1	mRNA.RE10948
XP_004988717.1	mRNA.RE12343
XP_004988718.1	mRNA.RE09564
XP_004988721.1	mRNA.RE02741
XP_004988723.1	mRNA.RE13326
XP_004988725.1	mRNA.RE12366
XP_004988726.1	mRNA.RE08279
XP_004988730.1	mRNA.RE08760
XP_004988732.1	mRNA.RE09338
XP_004988733.1	mRNA.RE10759
XP_004988744.1	mRNA.RE03890
XP_004988745.1	mRNA.RE10044
XP_004988748.1	mRNA.RE15263
XP_004988749.1	mRNA.RE15106
XP_004988754.1	mRNA.RE11562
XP_004988758.1	mRNA.RE12392
XP_004988764.1	mRNA.RE09960
XP_004988766.1	mRNA.RE02299
XP_004988767.1	mRNA.RE09599
XP_004988770.1	mRNA.RE02308
XP_004988778.1	mRNA.RE07982
XP_004988797.1	mRNA.RE02087
XP_004988798.1	mRNA.RE14220
XP_004988804.1	mRNA.RE15664
XP_004988807.1	mRNA.RE02143
XP_004988808.1	mRNA.RE00608
XP_004988811.1	mRNA.RE13182
XP_004988821.1	mRNA.RE03245
XP_004988828.1	mRNA.RE03399
XP_004988836.1	mRNA.RE06994
XP_004988840.1	mRNA.RE15521
XP_004988841.1	mRNA.RE05374
XP_004988846.1	mRNA.RE02634
XP_004988861.1	mRNA.RE00233
XP_004988866.1	mRNA.RE12634
XP_004988872.1	mRNA.RE05850
XP_004988876.1	mRNA.RE09625
XP_004988881.1	mRNA.RE06092
XP_004988884.1	mRNA.RE11183
XP_004988885.1	mRNA.RE03406
XP_004988887.1	mRNA.RE05789
XP_004988889.1	mRNA.RE03216
XP_004988890.1	mRNA.RE00677
XP_004988906.1	mRNA.RE08181
XP_004988908.1	mRNA.RE02045
XP_004988909.1	mRNA.RE02037
XP_004988910.1	mRNA.RE03160
XP_004988914.1	mRNA.RE00121
XP_004988919.1	mRNA.RE16339
XP_004988921.1	mRNA.RE07588
XP_004988923.1	mRNA.RE01507
XP_004988926.1	mRNA.RE12668
XP_004988928.1	mRNA.RE11640
XP_004988929.1	mRNA.RE09403
XP_004988933.1	mRNA.RE06952
XP_004988938.1	mRNA.RE01393
XP_004988939.1	mRNA.RE13190
XP_004988944.1	mRNA.RE05814
XP_004988946.1	mRNA.RE14673
XP_004988947.1	mRNA.RE02454
XP_004988949.1	mRNA.RE04029
XP_004988950.1	mRNA.RE10433
XP_004988951.1	mRNA.RE13623
XP_004988960.1	mRNA.RE12851
XP_004988965.1	mRNA.RE02297
XP_004988966.1	mRNA.RE11413
XP_004988967.1	mRNA.RE05686
XP_004988968.1	mRNA.RE02965
XP_004988969.1	mRNA.RE14600
XP_004988972.1	mRNA.RE09492
XP_004988975.1	mRNA.RE11883
XP_004988976.1	mRNA.RE15768
XP_004988979.1	mRNA.RE14023
XP_004988981.1	mRNA.RE14855
XP_004988982.1	mRNA.RE10041
XP_004988987.1	mRNA.RE04735
XP_004988989.1	mRNA.RE12792
XP_004988992.1	mRNA.RE03179
XP_004988993.1	mRNA.RE14650
XP_004988995.1	mRNA.RE12916
XP_004988999.1	mRNA.RE13757
XP_004989001.1	mRNA.RE02201
XP_004989008.1	mRNA.RE02872
XP_004989012.1	mRNA.RE13211
XP_004989013.1	mRNA.RE12648
XP_004989015.1	mRNA.RE04978
XP_004989016.1	mRNA.RE04649
XP_004989018.1	mRNA.RE04066
XP_004989022.1	mRNA.RE05950
XP_004989036.1	mRNA.RE08845
XP_004989044.1	mRNA.RE04177
XP_004989049.1	mRNA.RE10274
XP_004989050.1	mRNA.RE16090
XP_004989051.1	mRNA.RE13687
XP_004989054.1	mRNA.RE03205
XP_004989056.1	mRNA.RE11063
XP_004989058.1	mRNA.RE04759
XP_004989063.1	mRNA.RE16783
XP_004989064.1	mRNA.RE16774
XP_004989065.1	mRNA.RE06490
XP_004989070.1	mRNA.RE06687
XP_004989071.1	mRNA.RE11728
XP_004989076.1	mRNA.RE16225
XP_004989079.1	mRNA.RE11358
XP_004989084.1	mRNA.RE14740
XP_004989085.1	mRNA.RE13829
XP_004989095.1	mRNA.RE11859
XP_004989104.1	mRNA.RE11759
XP_004989106.1	mRNA.RE09720
XP_004989107.1	mRNA.RE16252
XP_004989115.1	mRNA.RE13611
XP_004989116.1	mRNA.RE16824
XP_004989117.1	mRNA.RE09226
XP_004989127.1	mRNA.RE12000
XP_004989130.1	mRNA.RE10370
XP_004989134.1	mRNA.RE16847
XP_004989135.1	mRNA.RE16557
XP_004989136.1	mRNA.RE07987
XP_004989146.1	mRNA.RE16777
XP_004989148.1	mRNA.RE03040
XP_004989149.1	mRNA.RE16581
XP_004989159.1	mRNA.RE16342
XP_004989169.1	mRNA.RE05087
XP_004989173.1	mRNA.RE07149
XP_004989174.1	mRNA.RE05774
XP_004989177.1	mRNA.RE02456
XP_004989179.1	mRNA.RE04471
XP_004989183.1	mRNA.RE15317
XP_004989192.1	mRNA.RE07758
XP_004989195.1	mRNA.RE00474
XP_004989196.1	mRNA.RE06532
XP_004989198.1	mRNA.RE16967
XP_004989199.1	mRNA.RE04332
XP_004989201.1	mRNA.RE01483
XP_004989204.1	mRNA.RE09662
XP_004989205.1	mRNA.RE10250
XP_004989206.1	mRNA.RE05067
XP_004989207.1	mRNA.RE07566
XP_004989213.1	mRNA.RE12407
XP_004989215.1	mRNA.RE08729
XP_004989216.1	mRNA.RE11360
XP_004989218.1	mRNA.RE03097
XP_004989221.1	mRNA.RE13024
XP_004989224.1	mRNA.RE04103
XP_004989228.1	mRNA.RE13786
XP_004989229.1	mRNA.RE01050
XP_004989232.1	mRNA.RE00891
XP_004989233.1	mRNA.RE15636
XP_004989237.1	mRNA.RE16517
XP_004989238.1	mRNA.RE09657
XP_004989240.1	mRNA.RE01321
XP_004989244.1	mRNA.RE06252
XP_004989245.1	mRNA.RE16696
XP_004989264.1	mRNA.RE11647
XP_004989265.1	mRNA.RE06459
XP_004989268.1	mRNA.RE01540
XP_004989270.1	mRNA.RE05884
XP_004989279.1	mRNA.RE05787
XP_004989282.1	mRNA.RE12365
XP_004989291.1	mRNA.RE08815
XP_004989299.1	mRNA.RE01660
XP_004989303.1	mRNA.RE09379
XP_004989305.1	mRNA.RE15236
XP_004989308.1	mRNA.RE10521
XP_004989310.1	mRNA.RE16298
XP_004989312.1	mRNA.RE07860
XP_004989314.1	mRNA.RE16160
XP_004989317.1	mRNA.RE05439
XP_004989323.1	mRNA.RE06293
XP_004989324.1	mRNA.RE16415
XP_004989326.1	mRNA.RE15179
XP_004989329.1	mRNA.RE11794
XP_004989332.1	mRNA.RE01486
XP_004989337.1	mRNA.RE12924
XP_004989341.1	mRNA.RE06515
XP_004989344.1	mRNA.RE14034
XP_004989345.1	mRNA.RE06008
XP_004989353.1	mRNA.RE04051
XP_004989354.1	mRNA.RE08166
XP_004989355.1	mRNA.RE14806
XP_004989369.1	mRNA.RE05565
XP_004989370.1	mRNA.RE13063
XP_004989372.1	mRNA.RE10888
XP_004989373.1	mRNA.RE12427
XP_004989375.1	mRNA.RE10464
XP_004989376.1	mRNA.RE11071
XP_004989385.1	mRNA.RE12396
XP_004989387.1	mRNA.RE12094
XP_004989388.1	mRNA.RE13731
XP_004989389.1	mRNA.RE07059
XP_004989390.1	mRNA.RE02940
XP_004989398.1	mRNA.RE16691
XP_004989403.1	mRNA.RE06264
XP_004989405.1	mRNA.RE05193
XP_004989406.1	mRNA.RE00666
XP_004989411.1	mRNA.RE07720
XP_004989424.1	mRNA.RE11254
XP_004989434.1	mRNA.RE14768
XP_004989437.1	mRNA.RE14799
XP_004989452.1	mRNA.RE07138
XP_004989456.1	mRNA.RE14197
XP_004989457.1	mRNA.RE14677
XP_004989458.1	mRNA.RE14190
XP_004989460.1	mRNA.RE04793
XP_004989461.1	mRNA.RE05032
XP_004989462.1	mRNA.RE02011
XP_004989464.1	mRNA.RE12833
XP_004989467.1	mRNA.RE15791
XP_004989482.1	mRNA.RE00741
XP_004989484.1	mRNA.RE14596
XP_004989493.1	mRNA.RE14554
XP_004989494.1	mRNA.RE11674
XP_004989496.1	mRNA.RE05956
XP_004989498.1	mRNA.RE08107
XP_004989499.1	mRNA.RE03272
XP_004989501.1	mRNA.RE13286
XP_004989502.1	mRNA.RE13560
XP_004989506.1	mRNA.RE11729
XP_004989507.1	mRNA.RE10935
XP_004989509.1	mRNA.RE16689
XP_004989510.1	mRNA.RE07176
XP_004989512.1	mRNA.RE01959
XP_004989515.1	mRNA.RE05108
XP_004989516.1	mRNA.RE05575
XP_004989522.1	mRNA.RE05017
XP_004989523.1	mRNA.RE02514
XP_004989524.1	mRNA.RE05450
XP_004989529.1	mRNA.RE13422
XP_004989531.1	mRNA.RE17195
XP_004989532.1	mRNA.RE12582
XP_004989533.1	mRNA.RE12639
XP_004989538.1	mRNA.RE15227
XP_004989548.1	mRNA.RE05992
XP_004989549.1	mRNA.RE14858
XP_004989551.1	mRNA.RE00876
XP_004989552.1	mRNA.RE14511
XP_004989553.1	mRNA.RE05566
XP_004989555.1	mRNA.RE17093
XP_004989556.1	mRNA.RE04121
XP_004989557.1	mRNA.RE03601
XP_004989559.1	mRNA.RE09627
XP_004989561.1	mRNA.RE04011
XP_004989563.1	mRNA.RE14108
XP_004989566.1	mRNA.RE02058
XP_004989567.1	mRNA.RE02142
XP_004989568.1	mRNA.RE02897
XP_004989573.1	mRNA.RE09459
XP_004989575.1	mRNA.RE07874
XP_004989577.1	mRNA.RE06991
XP_004989579.1	mRNA.RE12995
XP_004989580.1	mRNA.RE13676
XP_004989585.1	mRNA.RE16013
XP_004989591.1	mRNA.RE11135
XP_004989592.1	mRNA.RE11540
XP_004989599.1	mRNA.RE16058
XP_004989600.1	mRNA.RE11636
XP_004989601.1	mRNA.RE07292
XP_004989602.1	mRNA.RE16148
XP_004989603.1	mRNA.RE11113
XP_004989604.1	mRNA.RE06291
XP_004989605.1	mRNA.RE14727
XP_004989606.1	mRNA.RE05980
XP_004989607.1	mRNA.RE00284
XP_004989608.1	mRNA.RE16697
XP_004989609.1	mRNA.RE10479
XP_004989611.1	mRNA.RE02117
XP_004989612.1	mRNA.RE05994
XP_004989616.1	mRNA.RE09439
XP_004989618.1	mRNA.RE12090
XP_004989619.1	mRNA.RE14199
XP_004989620.1	mRNA.RE14316
XP_004989621.1	mRNA.RE07199
XP_004989622.1	mRNA.RE12632
XP_004989623.1	mRNA.RE07623
XP_004989629.1	mRNA.RE07808
XP_004989631.1	mRNA.RE12374
XP_004989633.1	mRNA.RE13689
XP_004989635.1	mRNA.RE05916
XP_004989637.1	mRNA.RE02145
XP_004989638.1	mRNA.RE14455
XP_004989642.1	mRNA.RE06971
XP_004989643.1	mRNA.RE10048
XP_004989645.1	mRNA.RE07154
XP_004989646.1	mRNA.RE13910
XP_004989647.1	mRNA.RE03377
XP_004989649.1	mRNA.RE12439
XP_004989650.1	mRNA.RE16154
XP_004989651.1	mRNA.RE10631
XP_004989652.1	mRNA.RE13521
XP_004989654.1	mRNA.RE11876
XP_004989655.1	mRNA.RE09981
XP_004989656.1	mRNA.RE04820
XP_004989657.1	mRNA.RE13050
XP_004989658.1	mRNA.RE16196
XP_004989659.1	mRNA.RE15031
XP_004989660.1	mRNA.RE10778
XP_004989662.1	mRNA.RE01430
XP_004989663.1	mRNA.RE12985
XP_004989666.1	mRNA.RE10490
XP_004989671.1	mRNA.RE12670
XP_004989672.1	mRNA.RE10991
XP_004989673.1	mRNA.RE03819
XP_004989674.1	mRNA.RE10106
XP_004989675.1	mRNA.RE00077
XP_004989682.1	mRNA.RE02434
XP_004989683.1	mRNA.RE04107
XP_004989686.1	mRNA.RE16350
XP_004989687.1	mRNA.RE04513
XP_004989688.1	mRNA.RE00490
XP_004989690.1	mRNA.RE01729
XP_004989694.1	mRNA.RE13278
XP_004989695.1	mRNA.RE12765
XP_004989696.1	mRNA.RE04238
XP_004989699.1	mRNA.RE16846
XP_004989701.1	mRNA.RE01433
XP_004989702.1	mRNA.RE07920
XP_004989703.1	mRNA.RE13336
XP_004989704.1	mRNA.RE05523
XP_004989705.1	mRNA.RE00075
XP_004989706.1	mRNA.RE16776
XP_004989708.1	mRNA.RE16968
XP_004989716.1	mRNA.RE05170
XP_004989719.1	mRNA.RE12921
XP_004989721.1	mRNA.RE05576
XP_004989732.1	mRNA.RE06552
XP_004989734.1	mRNA.RE13497
XP_004989751.1	mRNA.RE07546
XP_004989752.1	mRNA.RE13406
XP_004989756.1	mRNA.RE08224
XP_004989759.1	mRNA.RE03189
XP_004989765.1	mRNA.RE02987
XP_004989766.1	mRNA.RE05351
XP_004989770.1	mRNA.RE12359
XP_004989783.1	mRNA.RE10417
XP_004989785.1	mRNA.RE15035
XP_004989790.1	mRNA.RE05356
XP_004989791.1	mRNA.RE03278
XP_004989798.1	mRNA.RE12118
XP_004989799.1	mRNA.RE13140
XP_004989801.1	mRNA.RE13216
XP_004989806.1	mRNA.RE13495
XP_004989807.1	mRNA.RE10584
XP_004989810.1	mRNA.RE13082
XP_004989813.1	mRNA.RE17204
XP_004989820.1	mRNA.RE13805
XP_004989821.1	mRNA.RE05863
XP_004989822.1	mRNA.RE10381
XP_004989824.1	mRNA.RE07698
XP_004989828.1	mRNA.RE15412
XP_004989840.1	mRNA.RE08756
XP_004989841.1	mRNA.RE08752
XP_004989843.1	mRNA.RE06497
XP_004989852.1	mRNA.RE17016
XP_004989853.1	mRNA.RE12727
XP_004989859.1	mRNA.RE02518
XP_004989862.1	mRNA.RE16693
XP_004989866.1	mRNA.RE03000
XP_004989869.1	mRNA.RE04297
XP_004989873.1	mRNA.RE03199
XP_004989878.1	mRNA.RE13198
XP_004989879.1	mRNA.RE01286
XP_004989886.1	mRNA.RE10270
XP_004989888.1	mRNA.RE08269
XP_004989899.1	mRNA.RE13483
XP_004989900.1	mRNA.RE10001
XP_004989901.1	mRNA.RE11230
XP_004989902.1	mRNA.RE13273
XP_004989907.1	mRNA.RE15863
XP_004989908.1	mRNA.RE05216
XP_004989910.1	mRNA.RE15096
XP_004989912.1	mRNA.RE02438
XP_004989914.1	mRNA.RE06117
XP_004989915.1	mRNA.RE09069
XP_004989918.1	mRNA.RE09874
XP_004989919.1	mRNA.RE11736
XP_004989920.1	mRNA.RE04198
XP_004989921.1	mRNA.RE08182
XP_004989923.1	mRNA.RE05447
XP_004989925.1	mRNA.RE06774
XP_004989926.1	mRNA.RE04715
XP_004989928.1	mRNA.RE17038
XP_004989929.1	mRNA.RE15147
XP_004989931.1	mRNA.RE13998
XP_004989934.1	mRNA.RE12191
XP_004989936.1	mRNA.RE09515
XP_004989937.1	mRNA.RE13964
XP_004989938.1	mRNA.RE04862
XP_004989939.1	mRNA.RE05851
XP_004989940.1	mRNA.RE16139
XP_004989941.1	mRNA.RE01189
XP_004989943.1	mRNA.RE02596
XP_004989945.1	mRNA.RE06886
XP_004989947.1	mRNA.RE11641
XP_004989948.1	mRNA.RE01065
XP_004989949.1	mRNA.RE14544
XP_004989950.1	mRNA.RE15032
XP_004989952.1	mRNA.RE03162
XP_004989953.1	mRNA.RE11629
XP_004989962.1	mRNA.RE14737
XP_004989964.1	mRNA.RE12738
XP_004989965.1	mRNA.RE11816
XP_004989968.1	mRNA.RE09303
XP_004989969.1	mRNA.RE12766
XP_004989970.1	mRNA.RE09176
XP_004989972.1	mRNA.RE12166
XP_004989973.1	mRNA.RE03122
XP_004989975.1	mRNA.RE15116
XP_004989983.1	mRNA.RE06699
XP_004989985.1	mRNA.RE15163
XP_004989988.1	mRNA.RE09462
XP_004989993.1	mRNA.RE00165
XP_004989994.1	mRNA.RE06259
XP_004989995.1	mRNA.RE03967
XP_004989997.1	mRNA.RE03919
XP_004990000.1	mRNA.RE09323
XP_004990001.1	mRNA.RE11548
XP_004990002.1	mRNA.RE15983
XP_004990003.1	mRNA.RE16858
XP_004990009.1	mRNA.RE07044
XP_004990010.1	mRNA.RE01002
XP_004990013.1	mRNA.RE07539
XP_004990017.1	mRNA.RE10132
XP_004990019.1	mRNA.RE09471
XP_004990020.1	mRNA.RE11802
XP_004990022.1	mRNA.RE13384
XP_004990023.1	mRNA.RE15288
XP_004990035.1	mRNA.RE15286
XP_004990037.1	mRNA.RE15552
XP_004990038.1	mRNA.RE12429
XP_004990046.1	mRNA.RE15810
XP_004990047.1	mRNA.RE13193
XP_004990049.1	mRNA.RE07155
