XP_004987445.1	Hcv1.av93.c2.g1361.i1
XP_004987812.1	Hcv1.av93.c7.g1037.i2
XP_004987815.1	Hcv1.av93.c6.g287.i1
XP_004987817.1	Hcv1.av93.c5.g226.i1
XP_004987818.1	Hcv1.av93.c7.g554.i1
XP_004987820.1	Hcv1.av93.c10.g326.i1
XP_004987824.1	Hcv1.av93.c7.g705.i1
XP_004987826.1	Hcv1.av93.c3.g226.i1
XP_004987827.1	Hcv1.av93.c9.g507.i2
XP_004987829.1	Hcv1.av93.c4.g723.i1
XP_004987830.1	Hcv1.av93.c3.g791.i1
XP_004987831.1	Hcv1.av93.c2.g778.i1
XP_004987834.1	Hcv1.av93.c11.g612.i1
XP_004987837.1	Hcv1.av93.c1.g1587.i1
XP_004987843.1	Hcv1.av93.c11.g969.i1
XP_004987845.1	Hcv1.av93.c7.g35.i1
XP_004987846.1	Hcv1.av93.c3.g251.i1
XP_004987865.1	Hcv1.av93.c3.g1178.i1
XP_004987868.1	Hcv1.av93.c1.g516.i1
XP_004987871.1	Hcv1.av93.c11.g18.i2
XP_004987874.1	Hcv1.av93.c12.g95.i1
XP_004987878.1	Hcv1.av93.c2.g1149.i1
XP_004987879.1	Hcv1.av93.c6.g679.i1
XP_004987881.1	Hcv1.av93.c2.g268.i1
XP_004987884.1	Hcv1.av93.c1.g1684.i1
XP_004987885.1	Hcv1.av93.c6.g1108.i2
XP_004987886.1	Hcv1.av93.c2.g1173.i1
XP_004987887.1	Hcv1.av93.c2.g944.i1
XP_004987893.1	Hcv1.av93.c3.g106.i1
XP_004987896.1	Hcv1.av93.c3.g161.i1
XP_004987897.1	Hcv1.av93.c11.g932.i1
XP_004987899.1	Hcv1.av93.c1.g37.i1
XP_004987900.1	Hcv1.av93.c6.g1194.i1
XP_004987906.1	Hcv1.av93.c1.g649.i1
XP_004987915.1	Hcv1.av93.c2.g1392.i2
XP_004987917.1	Hcv1.av93.c1.g265.i1
XP_004987919.1	Hcv1.av93.c2.g1429.i1
XP_004987922.1	Hcv1.av93.c9.g590.i1
XP_004987923.1	Hcv1.av93.c2.g1497.i1
XP_004987926.1	Hcv1.av93.c1.g293.i1
XP_004987930.1	Hcv1.av93.c2.g630.i1
XP_004987939.1	Hcv1.av93.c3.g989.i1
XP_004987943.1	Hcv1.av93.c3.g612.i3
XP_004987947.1	Hcv1.av93.c1.g680.i1
XP_004987948.1	Hcv1.av93.c2.g775.i1
XP_004987951.1	Hcv1.av93.c3.g480.i1
XP_004987953.1	Hcv1.av93.c12.g229.i1
XP_004987955.1	Hcv1.av93.c7.g34.i1
XP_004987956.1	Hcv1.av93.c1.g1255.i1
XP_004987971.1	Hcv1.av93.c9.g795.i1
XP_004987973.1	Hcv1.av93.c6.g109.i1
XP_004987978.1	Hcv1.av93.c2.g180.i2
XP_004987979.1	Hcv1.av93.c6.g844.i1
XP_004987980.1	Hcv1.av93.c5.g448.i1
XP_004987985.1	Hcv1.av93.c3.g914.i1
XP_004987986.1	Hcv1.av93.c5.g681.i1
XP_004987992.1	Hcv1.av93.c3.g341.i1
XP_004987995.1	Hcv1.av93.c2.g170.i1
XP_004987996.1	Hcv1.av93.c8.g459.i2
XP_004987999.1	Hcv1.av93.c2.g593.i1
XP_004988000.1	Hcv1.av93.c4.g276.i1
XP_004988001.1	Hcv1.av93.c2.g539.i1
XP_004988002.1	Hcv1.av93.c3.g676.i1
XP_004988004.1	Hcv1.av93.c9.g716.i2
XP_004988006.1	Hcv1.av93.c2.g621.i1
XP_004988007.1	Hcv1.av93.c2.g491.i1
XP_004988008.1	Hcv1.av93.c8.g279.i1
XP_004988009.1	Hcv1.av93.c6.g1086.i1
XP_004988010.1	Hcv1.av93.c6.g491.i1
XP_004988019.1	Hcv1.av93.c5.g971.i2
XP_004988023.1	Hcv1.av93.c9.g945.i1
XP_004988024.1	Hcv1.av93.c2.g111.i1
XP_004988026.1	Hcv1.av93.c1.g1487.i1
XP_004988031.1	Hcv1.av93.c6.g910.i2
XP_004988036.1	Hcv1.av93.c10.g83.i1
XP_004988037.1	Hcv1.av93.c2.g1272.i1
XP_004988048.1	Hcv1.av93.c3.g728.i1
XP_004988054.1	Hcv1.av93.c1.g382.i1
XP_004988065.1	Hcv1.av93.c13.g333.i1
XP_004988067.1	Hcv1.av93.c11.g779.i2
XP_004988068.1	Hcv1.av93.c1.g688.i1
XP_004988072.1	Hcv1.av93.c2.g490.i1
XP_004988085.1	Hcv1.av93.c13.g603.i1
XP_004988086.1	Hcv1.av93.c10.g125.i1
XP_004988095.1	Hcv1.av93.c11.g170.i1
XP_004988104.1	Hcv1.av93.c9.g220.i1
XP_004988105.1	Hcv1.av93.c3.g878.i1
XP_004988130.1	Hcv1.av93.c9.g824.i1
XP_004988140.1	Hcv1.av93.c1.g1400.i1
XP_004988146.1	Hcv1.av93.c11.g59.i1
XP_004988148.1	Hcv1.av93.c13.g99.i1
XP_004988149.1	Hcv1.av93.c6.g299.i1
XP_004988150.1	Hcv1.av93.c2.g1512.i1
XP_004988159.1	Hcv1.av93.c4.g620.i2
XP_004988172.1	Hcv1.av93.c5.g179.i1
XP_004988202.1	Hcv1.av93.c2.g287.i1
XP_004988204.1	Hcv1.av93.c7.g992.i1
XP_004988206.1	Hcv1.av93.c1.g364.i1
XP_004988209.1	Hcv1.av93.c1.g110.i1
XP_004988211.1	Hcv1.av93.c7.g208.i1
XP_004988214.1	Hcv1.av93.c3.g254.i1
XP_004988217.1	Hcv1.av93.c2.g823.i1
XP_004988220.1	Hcv1.av93.c2.g1194.i1
XP_004988236.1	Hcv1.av93.c12.g197.i1
XP_004988240.1	Hcv1.av93.c2.g201.i2
XP_004988241.1	Hcv1.av93.c1.g1285.i1
XP_004988243.1	Hcv1.av93.c6.g356.i1
XP_004988258.1	Hcv1.av93.c2.g1659.i1
XP_004988260.1	Hcv1.av93.c2.g39.i2
XP_004988264.1	Hcv1.av93.c1.g720.i1
XP_004988285.1	Hcv1.av93.c4.g668.i1
XP_004988288.1	Hcv1.av93.c1.g595.i7
XP_004988289.1	Hcv1.av93.c9.g588.i1
XP_004988292.1	Hcv1.av93.c1.g726.i1
XP_004988300.1	Hcv1.av93.c1.g491.i1
XP_004988307.1	Hcv1.av93.c1.g917.i1
XP_004988308.1	Hcv1.av93.c8.g169.i1
XP_004988312.1	Hcv1.av93.c1.g657.i1
XP_004988314.1	Hcv1.av93.c1.g1505.i1
XP_004988315.1	Hcv1.av93.c1.g673.i1
XP_004988330.1	Hcv1.av93.c8.g989.i1
XP_004988341.1	Hcv1.av93.c6.g776.i1
XP_004988346.1	Hcv1.av93.c7.g103.i1
XP_004988349.1	Hcv1.av93.c10.g643.i1
XP_004988352.1	Hcv1.av93.c9.g306.i2
XP_004988356.1	Hcv1.av93.c11.g930.i1
XP_004988364.1	Hcv1.av93.c3.g438.i1
XP_004988365.1	Hcv1.av93.c5.g488.i1
XP_004988372.1	Hcv1.av93.c5.g1160.i1
XP_004988375.1	Hcv1.av93.c2.g1250.i1
XP_004988377.1	Hcv1.av93.c12.g76.i1
XP_004988378.1	Hcv1.av93.c12.g88.i2
XP_004988383.1	Hcv1.av93.c13.g525.i1
XP_004988389.1	Hcv1.av93.c11.g583.i1
XP_004988413.1	Hcv1.av93.c3.g586.i1
XP_004988423.1	Hcv1.av93.c2.g194.i1
XP_004988425.1	Hcv1.av93.c8.g711.i1
XP_004988429.1	Hcv1.av93.c1.g1017.i1
XP_004988433.1	Hcv1.av93.c2.g1636.i1
XP_004988438.1	Hcv1.av93.c11.g531.i1
XP_004988440.1	Hcv1.av93.c1.g1290.i1
XP_004988442.1	Hcv1.av93.c3.g1007.i1
XP_004988447.1	Hcv1.av93.c11.g228.i1
XP_004988450.1	Hcv1.av93.c5.g990.i1
XP_004988451.1	Hcv1.av93.c13.g595.i1
XP_004988459.1	Hcv1.av93.c5.g140.i2
XP_004988467.1	Hcv1.av93.c2.g407.i1
XP_004988476.1	Hcv1.av93.c9.g353.i1
XP_004988479.1	Hcv1.av93.c8.g920.i1
XP_004988481.1	Hcv1.av93.c9.g413.i1
XP_004988483.1	Hcv1.av93.c13.g425.i1
XP_004988486.1	Hcv1.av93.c1.g1049.i1
XP_004988489.1	Hcv1.av93.c11.g669.i1
XP_004988490.1	Hcv1.av93.c12.g87.i1
XP_004988492.1	Hcv1.av93.c5.g844.i1
XP_004988498.1	Hcv1.av93.c9.g697.i1
XP_004988508.1	Hcv1.av93.c3.g994.i1
XP_004988511.1	Hcv1.av93.c9.g381.i1
XP_004988513.1	Hcv1.av93.c13.g129.i1
XP_004988517.1	Hcv1.av93.c11.g63.i1
XP_004988524.1	Hcv1.av93.c2.g1168.i1
XP_004988536.1	Hcv1.av93.c5.g592.i1
XP_004988537.1	Hcv1.av93.c1.g758.i1
XP_004988540.1	Hcv1.av93.c1.g1213.i1
XP_004988544.1	Hcv1.av93.c8.g417.i1
XP_004988545.1	Hcv1.av93.c5.g1272.i1
XP_004988547.1	Hcv1.av93.c5.g777.i1
XP_004988551.1	Hcv1.av93.c9.g711.i1
XP_004988553.1	Hcv1.av93.c3.g1105.i1
XP_004988556.1	Hcv1.av93.c3.g1336.i1
XP_004988558.1	Hcv1.av93.c9.g749.i1
XP_004988559.1	Hcv1.av93.c5.g955.i1
XP_004988560.1	Hcv1.av93.c7.g704.i2
XP_004988564.1	Hcv1.av93.c9.g918.i1
XP_004988565.1	Hcv1.av93.c6.g438.i1
XP_004988576.1	Hcv1.av93.c9.g796.i1
XP_004988579.1	Hcv1.av93.c2.g1573.i1
XP_004988584.1	Hcv1.av93.c7.g849.i1
XP_004988594.1	Hcv1.av93.c6.g403.i1
XP_004988603.1	Hcv1.av93.c13.g105.i2
XP_004988610.1	Hcv1.av93.c9.g344.i1
XP_004988612.1	Hcv1.av93.c7.g54.i1
XP_004988627.1	Hcv1.av93.c3.g821.i1
XP_004988634.1	Hcv1.av93.c3.g1153.i1
XP_004988638.1	Hcv1.av93.c5.g1212.i1
XP_004988642.1	Hcv1.av93.c8.g191.i1
XP_004988651.1	Hcv1.av93.c2.g239.i1
XP_004988654.1	Hcv1.av93.c2.g1623.i1
XP_004988662.1	Hcv1.av93.c1.g123.i1
XP_004988665.1	Hcv1.av93.c1.g163.i1
XP_004988675.1	Hcv1.av93.c6.g486.i1
XP_004988683.1	Hcv1.av93.c10.g525.i1
XP_004988687.1	Hcv1.av93.c13.g655.i1
XP_004988689.1	Hcv1.av93.c8.g676.i1
XP_004988705.1	Hcv1.av93.c6.g478.i2
XP_004988713.1	Hcv1.av93.c9.g282.i1
XP_004988716.1	Hcv1.av93.c6.g233.i1
XP_004988717.1	Hcv1.av93.c11.g310.i2
XP_004988718.1	Hcv1.av93.c1.g715.i1
XP_004988723.1	Hcv1.av93.c2.g774.i1
XP_004988726.1	Hcv1.av93.c7.g123.i1
XP_004988730.1	Hcv1.av93.c9.g656.i1
XP_004988732.1	Hcv1.av93.c2.g694.i1
XP_004988733.1	Hcv1.av93.c8.g753.i1
XP_004988744.1	Hcv1.av93.c1.g239.i1
XP_004988745.1	Hcv1.av93.c7.g315.i1
XP_004988748.1	Hcv1.av93.c6.g1007.i1
XP_004988749.1	Hcv1.av93.c2.g1304.i1
XP_004988754.1	Hcv1.av93.c11.g790.i1
XP_004988758.1	Hcv1.av93.c1.g1523.i1
XP_004988764.1	Hcv1.av93.c8.g724.i1
XP_004988766.1	Hcv1.av93.c9.g430.i1
XP_004988767.1	Hcv1.av93.c5.g40.i1
XP_004988778.1	Hcv1.av93.c10.g14.i1
XP_004988797.1	Hcv1.av93.c1.g159.i1
XP_004988804.1	Hcv1.av93.c7.g648.i1
XP_004988808.1	Hcv1.av93.c11.g825.i1
XP_004988811.1	Hcv1.av93.c4.g618.i1
XP_004988828.1	Hcv1.av93.c13.g634.i1
XP_004988837.1	Hcv1.av93.c10.g555.i3
XP_004988840.1	Hcv1.av93.c6.g577.i1
XP_004988861.1	Hcv1.av93.c11.g210.i1
XP_004988863.1	Hcv1.av93.c9.g463.i1
XP_004988866.1	Hcv1.av93.c2.g609.i1
XP_004988876.1	Hcv1.av93.c11.g68.i1
XP_004988881.1	Hcv1.av93.c10.g228.i1
XP_004988884.1	Hcv1.av93.c7.g395.i1
XP_004988885.1	Hcv1.av93.c11.g72.i1
XP_004988887.1	Hcv1.av93.c10.g374.i1
XP_004988889.1	Hcv1.av93.c5.g28.i1
XP_004988890.1	Hcv1.av93.c8.g82.i1
XP_004988908.1	Hcv1.av93.c10.g642.i1
XP_004988910.1	Hcv1.av93.c1.g1321.i1
XP_004988914.1	Hcv1.av93.c3.g1022.i1
XP_004988919.1	Hcv1.av93.c7.g516.i1
XP_004988921.1	Hcv1.av93.c9.g352.i3
XP_004988923.1	Hcv1.av93.c2.g1372.i1
XP_004988928.1	Hcv1.av93.c11.g76.i1
XP_004988929.1	Hcv1.av93.c11.g985.i1
XP_004988938.1	Hcv1.av93.c1.g628.i1
XP_004988939.1	Hcv1.av93.c11.g335.i1
XP_004988944.1	Hcv1.av93.c3.g1141.i1
XP_004988947.1	Hcv1.av93.c13.g130.i1
XP_004988949.1	Hcv1.av93.c4.g56.i2
XP_004988951.1	Hcv1.av93.c5.g1092.i1
XP_004988960.1	Hcv1.av93.c11.g498.i1
XP_004988965.1	Hcv1.av93.c1.g700.i2
XP_004988966.1	Hcv1.av93.c2.g920.i1
XP_004988967.1	Hcv1.av93.c1.g832.i1
XP_004988968.1	Hcv1.av93.c2.g511.i1
XP_004988969.1	Hcv1.av93.c5.g913.i1
XP_004988971.1	Hcv1.av93.c3.g1003.i1
XP_004988975.1	Hcv1.av93.c6.g918.i1
XP_004988976.1	Hcv1.av93.c12.g409.i1
XP_004988979.1	Hcv1.av93.c10.g462.i1
XP_004988981.1	Hcv1.av93.c13.g113.i1
XP_004988985.1	Hcv1.av93.c2.g139.i1
XP_004988988.1	Hcv1.av93.c13.g25.i1
XP_004988989.1	Hcv1.av93.c9.g105.i1
XP_004988992.1	Hcv1.av93.c1.g1063.i1
XP_004988993.1	Hcv1.av93.c6.g653.i1
XP_004988995.1	Hcv1.av93.c6.g675.i1
XP_004988997.1	Hcv1.av93.c11.g722.i1
XP_004988999.1	Hcv1.av93.c3.g1062.i1
XP_004989000.1	Hcv1.av93.c1.g1195.i1
XP_004989001.1	Hcv1.av93.c3.g1174.i3
XP_004989012.1	Hcv1.av93.c6.g742.i1
XP_004989015.1	Hcv1.av93.c9.g744.i1
XP_004989016.1	Hcv1.av93.c1.g65.i1
XP_004989018.1	Hcv1.av93.c4.g261.i1
XP_004989022.1	Hcv1.av93.c8.g470.i1
XP_004989044.1	Hcv1.av93.c3.g203.i1
XP_004989049.1	Hcv1.av93.c1.g146.i1
XP_004989050.1	Hcv1.av93.c3.g941.i1
XP_004989051.1	Hcv1.av93.c13.g670.i1
XP_004989054.1	Hcv1.av93.c2.g1219.i2
XP_004989058.1	Hcv1.av93.c11.g107.i1
XP_004989063.1	Hcv1.av93.c3.g1011.i1
XP_004989065.1	Hcv1.av93.c4.g73.i1
XP_004989070.1	Hcv1.av93.c1.g1683.i2
XP_004989076.1	Hcv1.av93.c10.g561.i1
XP_004989079.1	Hcv1.av93.c1.g234.i2
XP_004989095.1	Hcv1.av93.c1.g1663.i1
XP_004989104.1	Hcv1.av93.c1.g1056.i1
XP_004989115.1	Hcv1.av93.c3.g1277.i1
XP_004989116.1	Hcv1.av93.c1.g790.i1
XP_004989119.1	Hcv1.av93.c6.g60.i1
XP_004989130.1	Hcv1.av93.c9.g789.i1
XP_004989134.1	Hcv1.av93.c8.g220.i1
XP_004989135.1	Hcv1.av93.c6.g634.i1
XP_004989136.1	Hcv1.av93.c1.g390.i1
XP_004989146.1	Hcv1.av93.c13.g483.i1
XP_004989148.1	Hcv1.av93.c3.g1181.i1
XP_004989149.1	Hcv1.av93.c11.g1045.i1
XP_004989159.1	Hcv1.av93.c9.g714.i1
XP_004989173.1	Hcv1.av93.c6.g890.i1
XP_004989177.1	Hcv1.av93.c12.g83.i1
XP_004989192.1	Hcv1.av93.c2.g1614.i1
XP_004989195.1	Hcv1.av93.c8.g456.i2
XP_004989196.1	Hcv1.av93.c8.g492.i1
XP_004989198.1	Hcv1.av93.c1.g914.i1
XP_004989204.1	Hcv1.av93.c12.g156.i1
XP_004989205.1	Hcv1.av93.c11.g415.i1
XP_004989206.1	Hcv1.av93.c6.g851.i1
XP_004989207.1	Hcv1.av93.c2.g1517.i1
XP_004989213.1	Hcv1.av93.c8.g719.i1
XP_004989215.1	Hcv1.av93.c10.g269.i1
XP_004989218.1	Hcv1.av93.c1.g1061.i1
XP_004989221.1	Hcv1.av93.c3.g328.i2
XP_004989225.1	Hcv1.av93.c10.g645.i1
XP_004989229.1	Hcv1.av93.c3.g1029.i4
XP_004989232.1	Hcv1.av93.c2.g822.i1
XP_004989237.1	Hcv1.av93.c3.g581.i2
XP_004989240.1	Hcv1.av93.c3.g704.i1
XP_004989244.1	Hcv1.av93.c5.g684.i1
XP_004989245.1	Hcv1.av93.c7.g425.i1
XP_004989250.1	Hcv1.av93.c3.g309.i1
XP_004989253.1	Hcv1.av93.c2.g852.i1
XP_004989264.1	Hcv1.av93.c11.g951.i1
XP_004989265.1	Hcv1.av93.c6.g539.i1
XP_004989279.1	Hcv1.av93.c12.g521.i1
XP_004989291.1	Hcv1.av93.c11.g968.i1
XP_004989303.1	Hcv1.av93.c11.g872.i1
XP_004989305.1	Hcv1.av93.c6.g1259.i1
XP_004989308.1	Hcv1.av93.c7.g775.i1
XP_004989310.1	Hcv1.av93.c3.g502.i2
XP_004989312.1	Hcv1.av93.c11.g785.i1
XP_004989317.1	Hcv1.av93.c1.g1166.i1
XP_004989323.1	Hcv1.av93.c11.g413.i1
XP_004989324.1	Hcv1.av93.c1.g1722.i1
XP_004989326.1	Hcv1.av93.c1.g1238.i1
XP_004989328.1	Hcv1.av93.c3.g169.i3
XP_004989329.1	Hcv1.av93.c6.g1099.i1
XP_004989332.1	Hcv1.av93.c9.g406.i1
XP_004989337.1	Hcv1.av93.c4.g874.i1
XP_004989340.1	Hcv1.av93.c2.g562.i1
XP_004989341.1	Hcv1.av93.c3.g1215.i1
XP_004989342.1	Hcv1.av93.c2.g437.i1
XP_004989347.1	Hcv1.av93.c11.g393.i1
XP_004989354.1	Hcv1.av93.c2.g1296.i1
XP_004989355.1	Hcv1.av93.c1.g1662.i1
XP_004989365.1	Hcv1.av93.c1.g572.i2
XP_004989369.1	Hcv1.av93.c5.g438.i1
XP_004989370.1	Hcv1.av93.c2.g1401.i1
XP_004989372.1	Hcv1.av93.c4.g666.i1
XP_004989373.1	Hcv1.av93.c2.g198.i1
XP_004989375.1	Hcv1.av93.c2.g1183.i1
XP_004989376.1	Hcv1.av93.c5.g852.i1
XP_004989381.1	Hcv1.av93.c1.g951.i1
XP_004989385.1	Hcv1.av93.c1.g1340.i1
XP_004989389.1	Hcv1.av93.c8.g227.i1
XP_004989390.1	Hcv1.av93.c5.g93.i1
XP_004989398.1	Hcv1.av93.c10.g149.i1
XP_004989400.1	Hcv1.av93.c4.g4.i1
XP_004989403.1	Hcv1.av93.c3.g61.i1
XP_004989405.1	Hcv1.av93.c3.g928.i1
XP_004989406.1	Hcv1.av93.c11.g104.i1
XP_004989412.1	Hcv1.av93.c3.g919.i1
XP_004989434.1	Hcv1.av93.c7.g537.i1
XP_004989437.1	Hcv1.av93.c1.g242.i3
XP_004989451.1	Hcv1.av93.c1.g1188.i1
XP_004989452.1	Hcv1.av93.c1.g1043.i1
XP_004989456.1	Hcv1.av93.c1.g1341.i1
XP_004989457.1	Hcv1.av93.c6.g1055.i1
XP_004989460.1	Hcv1.av93.c12.g421.i1
XP_004989461.1	Hcv1.av93.c7.g572.i1
XP_004989464.1	Hcv1.av93.c2.g386.i1
XP_004989467.1	Hcv1.av93.c1.g412.i1
XP_004989484.1	Hcv1.av93.c11.g389.i1
XP_004989491.1	Hcv1.av93.c11.g775.i1
XP_004989493.1	Hcv1.av93.c11.g839.i1
XP_004989494.1	Hcv1.av93.c11.g939.i1
XP_004989496.1	Hcv1.av93.c5.g703.i1
XP_004989498.1	Hcv1.av93.c9.g957.i1
XP_004989499.1	Hcv1.av93.c6.g1167.i1
XP_004989500.1	Hcv1.av93.c5.g1296.i1
XP_004989502.1	Hcv1.av93.c9.g429.i1
XP_004989506.1	Hcv1.av93.c9.g924.i1
XP_004989507.1	Hcv1.av93.c13.g308.i1
XP_004989509.1	Hcv1.av93.c1.g1383.i1
XP_004989515.1	Hcv1.av93.c6.g145.i2
XP_004989516.1	Hcv1.av93.c3.g936.i1
XP_004989522.1	Hcv1.av93.c3.g585.i1
XP_004989523.1	Hcv1.av93.c6.g1008.i1
XP_004989524.1	Hcv1.av93.c2.g767.i2
XP_004989529.1	Hcv1.av93.c7.g289.i2
XP_004989532.1	Hcv1.av93.c8.g770.i1
XP_004989533.1	Hcv1.av93.c5.g291.i1
XP_004989540.1	Hcv1.av93.c2.g1569.i1
XP_004989548.1	Hcv1.av93.c1.g1322.i1
XP_004989549.1	Hcv1.av93.c5.g1013.i1
XP_004989551.1	Hcv1.av93.c10.g130.i1
XP_004989552.1	Hcv1.av93.c10.g552.i1
XP_004989556.1	Hcv1.av93.c9.g296.i1
XP_004989563.1	Hcv1.av93.c8.g438.i2
XP_004989566.1	Hcv1.av93.c2.g1658.i1
XP_004989568.1	Hcv1.av93.c13.g110.i1
XP_004989573.1	Hcv1.av93.c12.g92.i1
XP_004989575.1	Hcv1.av93.c6.g47.i1
XP_004989577.1	Hcv1.av93.c4.g456.i1
XP_004989578.1	Hcv1.av93.c2.g1201.i1
XP_004989579.1	Hcv1.av93.c8.g737.i1
XP_004989580.1	Hcv1.av93.c11.g78.i1
XP_004989599.1	Hcv1.av93.c1.g1688.i1
XP_004989600.1	Hcv1.av93.c7.g574.i1
XP_004989601.1	Hcv1.av93.c6.g677.i1
XP_004989605.1	Hcv1.av93.c10.g13.i3
XP_004989606.1	Hcv1.av93.c5.g1289.i1
XP_004989607.1	Hcv1.av93.c1.g669.i1
XP_004989608.1	Hcv1.av93.c2.g750.i1
XP_004989609.1	Hcv1.av93.c3.g449.i1
XP_004989611.1	Hcv1.av93.c12.g97.i1
XP_004989612.1	Hcv1.av93.c1.g1247.i1
XP_004989616.1	Hcv1.av93.c13.g326.i1
XP_004989618.1	Hcv1.av93.c6.g604.i1
XP_004989619.1	Hcv1.av93.c1.g169.i1
XP_004989620.1	Hcv1.av93.c3.g720.i1
XP_004989621.1	Hcv1.av93.c3.g1214.i1
XP_004989622.1	Hcv1.av93.c11.g624.i1
XP_004989623.1	Hcv1.av93.c3.g109.i1
XP_004989629.1	Hcv1.av93.c1.g1057.i1
XP_004989634.1	Hcv1.av93.c1.g647.i1
XP_004989637.1	Hcv1.av93.c11.g480.i1
XP_004989638.1	Hcv1.av93.c7.g430.i1
XP_004989642.1	Hcv1.av93.c6.g635.i1
XP_004989643.1	Hcv1.av93.c1.g772.i1
XP_004989647.1	Hcv1.av93.c2.g1276.i1
XP_004989649.1	Hcv1.av93.c5.g1247.i1
XP_004989650.1	Hcv1.av93.c2.g1174.i1
XP_004989651.1	Hcv1.av93.c4.g345.i1
XP_004989652.1	Hcv1.av93.c1.g276.i1
XP_004989654.1	Hcv1.av93.c4.g61.i1
XP_004989657.1	Hcv1.av93.c8.g717.i1
XP_004989658.1	Hcv1.av93.c5.g629.i1
XP_004989659.1	Hcv1.av93.c11.g746.i1
XP_004989661.1	Hcv1.av93.c1.g1686.i1
XP_004989662.1	Hcv1.av93.c9.g434.i1
XP_004989663.1	Hcv1.av93.c2.g556.i1
XP_004989669.1	Hcv1.av93.c8.g278.i1
XP_004989671.1	Hcv1.av93.c5.g1031.i1
XP_004989674.1	Hcv1.av93.c7.g229.i1
XP_004989675.1	Hcv1.av93.c13.g547.i1
XP_004989678.1	Hcv1.av93.c1.g1381.i1
XP_004989682.1	Hcv1.av93.c7.g1027.i1
XP_004989683.1	Hcv1.av93.c2.g1649.i1
XP_004989686.1	Hcv1.av93.c5.g425.i1
XP_004989688.1	Hcv1.av93.c1.g223.i1
XP_004989692.1	Hcv1.av93.c11.g824.i1
XP_004989694.1	Hcv1.av93.c2.g1470.i1
XP_004989695.1	Hcv1.av93.c13.g207.i1
XP_004989699.1	Hcv1.av93.c1.g457.i1
XP_004989701.1	Hcv1.av93.c12.g136.i1
XP_004989702.1	Hcv1.av93.c11.g333.i1
