Hcv1.av93.c1.g1001.i1	mRNA.RE12872
Hcv1.av93.c1.g1094.i1	mRNA.RE16811
Hcv1.av93.c1.g1095.i1	mRNA.RE08198
Hcv1.av93.c1.g1096.i1	mRNA.RE11241
Hcv1.av93.c1.g110.i1	mRNA.RE12615
Hcv1.av93.c1.g1101.i1	mRNA.RE13895
Hcv1.av93.c1.g1102.i1	mRNA.RE15585
Hcv1.av93.c1.g1104.i1	mRNA.RE10638
Hcv1.av93.c1.g1105.i1	mRNA.RE05232
Hcv1.av93.c1.g1106.i1	mRNA.RE10249
Hcv1.av93.c1.g1119.i3	mRNA.RE14722
Hcv1.av93.c1.g1124.i1	mRNA.RE15016
Hcv1.av93.c1.g1127.i1	mRNA.RE12349
Hcv1.av93.c1.g1134.i1	mRNA.RE10042
Hcv1.av93.c1.g1135.i2	mRNA.RE12598
Hcv1.av93.c1.g1136.i1	mRNA.RE03373
Hcv1.av93.c1.g1137.i1	mRNA.RE05035
Hcv1.av93.c1.g1138.i2	mRNA.RE15017
Hcv1.av93.c1.g1139.i1	mRNA.RE13624
Hcv1.av93.c1.g1141.i1	mRNA.RE07667
Hcv1.av93.c1.g1144.i1	mRNA.RE14049
Hcv1.av93.c1.g1147.i1	mRNA.RE14674
Hcv1.av93.c1.g115.i5	mRNA.RE05306
Hcv1.av93.c1.g1150.i1	mRNA.RE14786
Hcv1.av93.c1.g1154.i1	mRNA.RE15321
Hcv1.av93.c1.g1158.i3	mRNA.RE13698
Hcv1.av93.c1.g1162.i1	mRNA.RE07907
Hcv1.av93.c1.g1164.i1	mRNA.RE16872
Hcv1.av93.c1.g1165.i1	mRNA.RE16381
Hcv1.av93.c1.g1166.i1	mRNA.RE05439
Hcv1.av93.c1.g1168.i1	mRNA.RE16144
Hcv1.av93.c1.g117.i1	mRNA.RE05864
Hcv1.av93.c1.g1173.i1	mRNA.RE00900
Hcv1.av93.c1.g1176.i1	mRNA.RE08380
Hcv1.av93.c1.g1177.i1	mRNA.RE10049
Hcv1.av93.c1.g118.i1	mRNA.RE05675
Hcv1.av93.c1.g1181.i1	mRNA.RE17105
Hcv1.av93.c1.g1182.i1	mRNA.RE15367
Hcv1.av93.c1.g1183.i1	mRNA.RE13348
Hcv1.av93.c1.g1185.i1	mRNA.RE02115
Hcv1.av93.c1.g1186.i1	mRNA.RE11738
Hcv1.av93.c1.g1190.i1	mRNA.RE04207
Hcv1.av93.c1.g1198.i1	mRNA.RE02119
Hcv1.av93.c1.g1199.i1	mRNA.RE13678
Hcv1.av93.c1.g120.i1	mRNA.RE08240
Hcv1.av93.c1.g1201.i1	mRNA.RE08147
Hcv1.av93.c1.g1202.i1	mRNA.RE16707
Hcv1.av93.c1.g1205.i1	mRNA.RE16730
Hcv1.av93.c1.g1206.i1	mRNA.RE13809
Hcv1.av93.c1.g1207.i1	mRNA.RE14800
Hcv1.av93.c1.g121.i1	mRNA.RE11417
Hcv1.av93.c1.g1210.i1	mRNA.RE00509
Hcv1.av93.c1.g1212.i1	mRNA.RE04808
Hcv1.av93.c1.g1215.i1	mRNA.RE08031
Hcv1.av93.c1.g1217.i1	mRNA.RE14728
Hcv1.av93.c1.g1219.i1	mRNA.RE01317
Hcv1.av93.c1.g122.i1	mRNA.RE04489
Hcv1.av93.c1.g1223.i1	mRNA.RE08993
Hcv1.av93.c1.g1224.i1	mRNA.RE00463
Hcv1.av93.c1.g1225.i1	mRNA.RE16816
Hcv1.av93.c1.g1229.i1	mRNA.RE16598
Hcv1.av93.c1.g123.i1	mRNA.RE05063
Hcv1.av93.c1.g1232.i1	mRNA.RE15451
Hcv1.av93.c1.g1238.i1	mRNA.RE15179
Hcv1.av93.c1.g1245.i1	mRNA.RE16089
Hcv1.av93.c1.g1247.i1	mRNA.RE05994
Hcv1.av93.c1.g1249.i1	mRNA.RE10551
Hcv1.av93.c1.g1253.i1	mRNA.RE10219
Hcv1.av93.c1.g1254.i1	mRNA.RE13692
Hcv1.av93.c1.g1255.i1	mRNA.RE09671
Hcv1.av93.c1.g1256.i1	mRNA.RE13071
Hcv1.av93.c1.g1258.i1	mRNA.RE05029
Hcv1.av93.c1.g1259.i2	mRNA.RE01950
Hcv1.av93.c1.g1261.i1	mRNA.RE07983
Hcv1.av93.c1.g1264.i1	mRNA.RE03942
Hcv1.av93.c1.g127.i1	mRNA.RE10160
Hcv1.av93.c1.g1276.i1	mRNA.RE09317
Hcv1.av93.c1.g128.i1	mRNA.RE04198
Hcv1.av93.c1.g1282.i1	mRNA.RE13003
Hcv1.av93.c1.g1285.i1	mRNA.RE08519
Hcv1.av93.c1.g1286.i1	mRNA.RE16124
Hcv1.av93.c1.g129.i1	mRNA.RE12377
Hcv1.av93.c1.g1290.i1	mRNA.RE09096
Hcv1.av93.c1.g1291.i1	mRNA.RE08179
Hcv1.av93.c1.g1292.i1	mRNA.RE11263
Hcv1.av93.c1.g1293.i1	mRNA.RE02139
Hcv1.av93.c1.g1294.i1	mRNA.RE06478
Hcv1.av93.c1.g1295.i1	mRNA.RE03870
Hcv1.av93.c1.g1297.i1	mRNA.RE00686
Hcv1.av93.c1.g130.i1	mRNA.RE02650
Hcv1.av93.c1.g1302.i1	mRNA.RE15054
Hcv1.av93.c1.g1304.i1	mRNA.RE00121
Hcv1.av93.c1.g131.i1	mRNA.RE03044
Hcv1.av93.c1.g1313.i1	mRNA.RE16940
Hcv1.av93.c1.g1314.i1	mRNA.RE14849
Hcv1.av93.c1.g1315.i1	mRNA.RE08229
Hcv1.av93.c1.g1316.i1	mRNA.RE12155
Hcv1.av93.c1.g1317.i1	mRNA.RE09730
Hcv1.av93.c1.g1321.i1	mRNA.RE03160
Hcv1.av93.c1.g1322.i1	mRNA.RE05992
Hcv1.av93.c1.g1324.i1	mRNA.RE11304
Hcv1.av93.c1.g1327.i1	mRNA.RE15373
Hcv1.av93.c1.g1330.i1	mRNA.RE11287
Hcv1.av93.c1.g1333.i1	mRNA.RE14196
Hcv1.av93.c1.g1337.i1	mRNA.RE11513
Hcv1.av93.c1.g1340.i1	mRNA.RE12396
Hcv1.av93.c1.g1341.i1	mRNA.RE14197
Hcv1.av93.c1.g1346.i1	mRNA.RE14719
Hcv1.av93.c1.g1348.i5	mRNA.RE10684
Hcv1.av93.c1.g1349.i1	mRNA.RE03192
Hcv1.av93.c1.g1353.i1	mRNA.RE10187
Hcv1.av93.c1.g1354.i1	mRNA.RE05210
Hcv1.av93.c1.g1357.i1	mRNA.RE09197
Hcv1.av93.c1.g1358.i1	mRNA.RE14678
Hcv1.av93.c1.g1361.i1	mRNA.RE15777
Hcv1.av93.c1.g1362.i1	mRNA.RE10137
Hcv1.av93.c1.g1364.i1	mRNA.RE11004
Hcv1.av93.c1.g1365.i1	mRNA.RE02930
Hcv1.av93.c1.g1367.i1	mRNA.RE16585
Hcv1.av93.c1.g1368.i1	mRNA.RE04442
Hcv1.av93.c1.g1370.i1	mRNA.RE11581
Hcv1.av93.c1.g1372.i1	mRNA.RE12410
Hcv1.av93.c1.g1377.i2	mRNA.RE12688
Hcv1.av93.c1.g138.i1	mRNA.RE11313
Hcv1.av93.c1.g1380.i1	mRNA.RE16618
Hcv1.av93.c1.g1382.i1	mRNA.RE14675
Hcv1.av93.c1.g1383.i1	mRNA.RE16689
Hcv1.av93.c1.g1384.i1	mRNA.RE02618
Hcv1.av93.c1.g1385.i1	mRNA.RE12992
Hcv1.av93.c1.g1387.i1	mRNA.RE15454
Hcv1.av93.c1.g1391.i1	mRNA.RE05949
Hcv1.av93.c1.g1392.i1	mRNA.RE04636
Hcv1.av93.c1.g1393.i1	mRNA.RE13103
Hcv1.av93.c1.g1396.i3	mRNA.RE16591
Hcv1.av93.c1.g1400.i1	mRNA.RE00660
Hcv1.av93.c1.g1409.i1	mRNA.RE09482
Hcv1.av93.c1.g141.i1	mRNA.RE15608
Hcv1.av93.c1.g1411.i1	mRNA.RE09898
Hcv1.av93.c1.g1416.i1	mRNA.RE02146
Hcv1.av93.c1.g1417.i1	mRNA.RE15414
Hcv1.av93.c1.g1421.i1	mRNA.RE09948
Hcv1.av93.c1.g1423.i1	mRNA.RE16104
Hcv1.av93.c1.g1428.i1	mRNA.RE12365
Hcv1.av93.c1.g1431.i1	mRNA.RE07107
Hcv1.av93.c1.g1434.i1	mRNA.RE12970
Hcv1.av93.c1.g1436.i1	mRNA.RE08343
Hcv1.av93.c1.g1441.i1	mRNA.RE05996
Hcv1.av93.c1.g1442.i1	mRNA.RE01826
Hcv1.av93.c1.g1444.i3	mRNA.RE05750
Hcv1.av93.c1.g1448.i1	mRNA.RE16535
Hcv1.av93.c1.g1455.i1	mRNA.RE12786
Hcv1.av93.c1.g1458.i1	mRNA.RE06243
Hcv1.av93.c1.g1459.i1	mRNA.RE09950
Hcv1.av93.c1.g146.i1	mRNA.RE03344
Hcv1.av93.c1.g1460.i1	mRNA.RE10520
Hcv1.av93.c1.g1461.i1	mRNA.RE01941
Hcv1.av93.c1.g1462.i1	mRNA.RE07060
Hcv1.av93.c1.g1465.i1	mRNA.RE02042
Hcv1.av93.c1.g1466.i1	mRNA.RE16564
Hcv1.av93.c1.g1467.i1	mRNA.RE02521
Hcv1.av93.c1.g1471.i1	mRNA.RE02968
Hcv1.av93.c1.g148.i1	mRNA.RE14520
Hcv1.av93.c1.g1482.i1	mRNA.RE07465
Hcv1.av93.c1.g1483.i1	mRNA.RE07685
Hcv1.av93.c1.g1484.i1	mRNA.RE09203
Hcv1.av93.c1.g1486.i1	mRNA.RE05760
Hcv1.av93.c1.g1488.i2	mRNA.RE07833
Hcv1.av93.c1.g1489.i1	mRNA.RE13277
Hcv1.av93.c1.g149.i1	mRNA.RE06683
Hcv1.av93.c1.g1491.i1	mRNA.RE13868
Hcv1.av93.c1.g1494.i1	mRNA.RE02938
Hcv1.av93.c1.g1498.i1	mRNA.RE07894
Hcv1.av93.c1.g1499.i1	mRNA.RE15413
Hcv1.av93.c1.g1501.i2	mRNA.RE07570
Hcv1.av93.c1.g1503.i1	mRNA.RE15827
Hcv1.av93.c1.g1505.i1	mRNA.RE06574
Hcv1.av93.c1.g1508.i1	mRNA.RE14129
Hcv1.av93.c1.g1510.i1	mRNA.RE09040
Hcv1.av93.c1.g1511.i1	mRNA.RE11019
Hcv1.av93.c1.g1513.i1	mRNA.RE06010
Hcv1.av93.c1.g1514.i1	mRNA.RE05995
Hcv1.av93.c1.g1515.i1	mRNA.RE09698
Hcv1.av93.c1.g1517.i1	mRNA.RE05229
Hcv1.av93.c1.g1519.i1	mRNA.RE07131
Hcv1.av93.c1.g1520.i1	mRNA.RE16834
Hcv1.av93.c1.g1523.i1	mRNA.RE12392
Hcv1.av93.c1.g1527.i1	mRNA.RE12689
Hcv1.av93.c1.g1528.i2	mRNA.RE04694
Hcv1.av93.c1.g1529.i1	mRNA.RE15607
Hcv1.av93.c1.g153.i1	mRNA.RE10083
Hcv1.av93.c1.g1533.i1	mRNA.RE03951
Hcv1.av93.c1.g1534.i1	mRNA.RE11231
Hcv1.av93.c1.g1535.i1	mRNA.RE10538
Hcv1.av93.c1.g154.i1	mRNA.RE17081
Hcv1.av93.c1.g1542.i1	mRNA.RE05181
Hcv1.av93.c1.g1543.i1	mRNA.RE05808
Hcv1.av93.c1.g1544.i1	mRNA.RE14133
Hcv1.av93.c1.g1545.i2	mRNA.RE16055
Hcv1.av93.c1.g1548.i1	mRNA.RE05698
Hcv1.av93.c1.g1549.i1	mRNA.RE09728
Hcv1.av93.c1.g155.i1	mRNA.RE12669
Hcv1.av93.c1.g1551.i1	mRNA.RE16873
Hcv1.av93.c1.g1556.i1	mRNA.RE07683
Hcv1.av93.c1.g1557.i1	mRNA.RE09387
Hcv1.av93.c1.g1559.i1	mRNA.RE10300
Hcv1.av93.c1.g156.i1	mRNA.RE13569
Hcv1.av93.c1.g1560.i2	mRNA.RE16749
Hcv1.av93.c1.g1561.i1	mRNA.RE04187
Hcv1.av93.c1.g1565.i1	mRNA.RE13130
Hcv1.av93.c1.g1569.i2	mRNA.RE07666
Hcv1.av93.c1.g1571.i1	mRNA.RE11670
Hcv1.av93.c1.g1572.i1	mRNA.RE14733
Hcv1.av93.c1.g1573.i1	mRNA.RE13681
Hcv1.av93.c1.g1574.i2	mRNA.RE15897
Hcv1.av93.c1.g1576.i1	mRNA.RE17046
Hcv1.av93.c1.g1578.i2	mRNA.RE04625
Hcv1.av93.c1.g158.i1	mRNA.RE00739
Hcv1.av93.c1.g1580.i2	mRNA.RE02985
Hcv1.av93.c1.g1582.i1	mRNA.RE09804
Hcv1.av93.c1.g1585.i1	mRNA.RE05779
Hcv1.av93.c1.g1587.i1	mRNA.RE06436
Hcv1.av93.c1.g159.i1	mRNA.RE02087
Hcv1.av93.c1.g1594.i1	mRNA.RE06048
Hcv1.av93.c1.g1597.i1	mRNA.RE01699
Hcv1.av93.c1.g1599.i1	mRNA.RE07938
Hcv1.av93.c1.g160.i1	mRNA.RE06573
Hcv1.av93.c1.g1600.i1	mRNA.RE07291
Hcv1.av93.c1.g1604.i1	mRNA.RE05358
Hcv1.av93.c1.g1605.i1	mRNA.RE06438
Hcv1.av93.c1.g1606.i1	mRNA.RE12777
Hcv1.av93.c1.g161.i1	mRNA.RE13777
Hcv1.av93.c1.g1612.i1	mRNA.RE03002
Hcv1.av93.c1.g1618.i1	mRNA.RE02621
Hcv1.av93.c1.g1619.i1	mRNA.RE15513
Hcv1.av93.c1.g1623.i2	mRNA.RE06733
Hcv1.av93.c1.g1627.i1	mRNA.RE09011
Hcv1.av93.c1.g1629.i1	mRNA.RE10952
Hcv1.av93.c1.g163.i1	mRNA.RE08151
Hcv1.av93.c1.g1630.i1	mRNA.RE14958
Hcv1.av93.c1.g1631.i2	mRNA.RE04271
Hcv1.av93.c1.g1632.i2	mRNA.RE12119
Hcv1.av93.c1.g1633.i1	mRNA.RE08952
Hcv1.av93.c1.g1634.i1	mRNA.RE02049
Hcv1.av93.c1.g1636.i1	mRNA.RE08238
Hcv1.av93.c1.g1637.i1	mRNA.RE16605
Hcv1.av93.c1.g164.i1	mRNA.RE14741
Hcv1.av93.c1.g1645.i1	mRNA.RE15919
Hcv1.av93.c1.g1649.i1	mRNA.RE13437
Hcv1.av93.c1.g1650.i1	mRNA.RE06187
Hcv1.av93.c1.g1651.i1	mRNA.RE16123
Hcv1.av93.c1.g1652.i1	mRNA.RE16916
Hcv1.av93.c1.g1653.i1	mRNA.RE04359
Hcv1.av93.c1.g1655.i1	mRNA.RE14790
Hcv1.av93.c1.g1656.i1	mRNA.RE16844
Hcv1.av93.c1.g1657.i1	mRNA.RE06706
Hcv1.av93.c1.g1659.i1	mRNA.RE07708
Hcv1.av93.c1.g166.i1	mRNA.RE13163
Hcv1.av93.c1.g1663.i1	mRNA.RE11859
Hcv1.av93.c1.g1665.i2	mRNA.RE14622
Hcv1.av93.c1.g1666.i1	mRNA.RE08828
Hcv1.av93.c1.g1667.i1	mRNA.RE02039
Hcv1.av93.c1.g167.i1	mRNA.RE12790
Hcv1.av93.c1.g1673.i1	mRNA.RE07536
Hcv1.av93.c1.g168.i1	mRNA.RE01172
Hcv1.av93.c1.g1682.i1	mRNA.RE15026
Hcv1.av93.c1.g1683.i2	mRNA.RE06687
Hcv1.av93.c1.g1684.i1	mRNA.RE17134
Hcv1.av93.c1.g1685.i1	mRNA.RE01303
Hcv1.av93.c1.g1687.i1	mRNA.RE06220
Hcv1.av93.c1.g1688.i1	mRNA.RE16058
Hcv1.av93.c1.g169.i1	mRNA.RE14199
Hcv1.av93.c1.g1690.i1	mRNA.RE16562
Hcv1.av93.c1.g1693.i2	mRNA.RE11005
Hcv1.av93.c1.g1695.i2	mRNA.RE03369
Hcv1.av93.c1.g1699.i1	mRNA.RE06696
Hcv1.av93.c1.g17.i2	mRNA.RE06002
Hcv1.av93.c1.g1706.i1	mRNA.RE14779
Hcv1.av93.c1.g1714.i1	mRNA.RE02066
Hcv1.av93.c1.g1722.i1	mRNA.RE16415
Hcv1.av93.c1.g1726.i1	mRNA.RE08177
Hcv1.av93.c1.g175.i1	mRNA.RE12325
Hcv1.av93.c1.g177.i1	mRNA.RE03365
Hcv1.av93.c1.g178.i1	mRNA.RE05706
Hcv1.av93.c1.g179.i1	mRNA.RE07372
Hcv1.av93.c1.g182.i1	mRNA.RE12567
Hcv1.av93.c1.g193.i1	mRNA.RE02038
Hcv1.av93.c1.g202.i1	mRNA.RE10134
Hcv1.av93.c1.g209.i1	mRNA.RE04392
Hcv1.av93.c1.g213.i1	mRNA.RE15407
Hcv1.av93.c1.g214.i1	mRNA.RE14752
Hcv1.av93.c1.g221.i1	mRNA.RE07437
Hcv1.av93.c1.g222.i1	mRNA.RE02257
Hcv1.av93.c1.g223.i1	mRNA.RE00490
Hcv1.av93.c1.g224.i1	mRNA.RE11949
Hcv1.av93.c1.g225.i1	mRNA.RE06019
Hcv1.av93.c1.g23.i1	mRNA.RE13153
Hcv1.av93.c1.g230.i2	mRNA.RE08834
Hcv1.av93.c1.g232.i1	mRNA.RE05409
Hcv1.av93.c1.g233.i1	mRNA.RE03218
Hcv1.av93.c1.g234.i2	mRNA.RE11358
Hcv1.av93.c1.g236.i1	mRNA.RE10910
Hcv1.av93.c1.g237.i1	mRNA.RE16608
Hcv1.av93.c1.g238.i1	mRNA.RE16751
Hcv1.av93.c1.g239.i1	mRNA.RE03890
Hcv1.av93.c1.g242.i3	mRNA.RE14799
Hcv1.av93.c1.g243.i1	mRNA.RE04113
Hcv1.av93.c1.g245.i2	mRNA.RE07114
Hcv1.av93.c1.g246.i1	mRNA.RE02300
Hcv1.av93.c1.g247.i2	mRNA.RE15241
Hcv1.av93.c1.g249.i1	mRNA.RE06385
Hcv1.av93.c1.g254.i3	mRNA.RE10742
Hcv1.av93.c1.g256.i1	mRNA.RE14640
Hcv1.av93.c1.g257.i1	mRNA.RE05104
Hcv1.av93.c1.g258.i1	mRNA.RE13871
Hcv1.av93.c1.g259.i1	mRNA.RE12658
Hcv1.av93.c1.g260.i1	mRNA.RE11658
Hcv1.av93.c1.g262.i1	mRNA.RE01167
Hcv1.av93.c1.g265.i1	mRNA.RE15660
Hcv1.av93.c1.g27.i1	mRNA.RE12770
Hcv1.av93.c1.g271.i2	mRNA.RE15308
Hcv1.av93.c1.g272.i1	mRNA.RE00670
Hcv1.av93.c1.g274.i1	mRNA.RE02902
Hcv1.av93.c1.g276.i1	mRNA.RE13521
Hcv1.av93.c1.g28.i2	mRNA.RE02212
Hcv1.av93.c1.g280.i1	mRNA.RE15208
Hcv1.av93.c1.g284.i2	mRNA.RE10052
Hcv1.av93.c1.g287.i1	mRNA.RE06896
Hcv1.av93.c1.g288.i1	mRNA.RE15806
Hcv1.av93.c1.g290.i1	mRNA.RE15645
Hcv1.av93.c1.g293.i1	mRNA.RE08136
Hcv1.av93.c1.g296.i1	mRNA.RE03829
Hcv1.av93.c1.g300.i3	mRNA.RE07807
Hcv1.av93.c1.g304.i1	mRNA.RE13562
Hcv1.av93.c1.g305.i2	mRNA.RE11849
Hcv1.av93.c1.g310.i1	mRNA.RE06568
Hcv1.av93.c1.g313.i1	mRNA.RE16632
Hcv1.av93.c1.g324.i1	mRNA.RE10169
Hcv1.av93.c1.g326.i2	mRNA.RE15661
Hcv1.av93.c1.g328.i1	mRNA.RE10180
Hcv1.av93.c1.g334.i1	mRNA.RE05751
Hcv1.av93.c1.g339.i1	mRNA.RE15122
Hcv1.av93.c1.g340.i1	mRNA.RE15147
Hcv1.av93.c1.g351.i1	mRNA.RE02059
Hcv1.av93.c1.g352.i1	mRNA.RE00791
Hcv1.av93.c1.g353.i1	mRNA.RE13911
Hcv1.av93.c1.g362.i1	mRNA.RE05817
Hcv1.av93.c1.g363.i1	mRNA.RE10938
Hcv1.av93.c1.g364.i1	mRNA.RE12656
Hcv1.av93.c1.g368.i1	mRNA.RE11813
Hcv1.av93.c1.g369.i1	mRNA.RE13988
Hcv1.av93.c1.g37.i1	mRNA.RE03647
Hcv1.av93.c1.g373.i1	mRNA.RE15505
Hcv1.av93.c1.g375.i1	mRNA.RE11059
Hcv1.av93.c1.g376.i1	mRNA.RE09302
Hcv1.av93.c1.g377.i1	mRNA.RE10403
Hcv1.av93.c1.g378.i1	mRNA.RE16623
Hcv1.av93.c1.g38.i1	mRNA.RE07574
Hcv1.av93.c1.g381.i1	mRNA.RE07813
Hcv1.av93.c1.g382.i1	mRNA.RE10617
Hcv1.av93.c1.g386.i1	mRNA.RE05090
Hcv1.av93.c1.g39.i2	mRNA.RE11018
Hcv1.av93.c1.g390.i1	mRNA.RE07987
Hcv1.av93.c1.g396.i1	mRNA.RE16830
Hcv1.av93.c1.g40.i1	mRNA.RE00685
Hcv1.av93.c1.g401.i1	mRNA.RE03235
Hcv1.av93.c1.g402.i1	mRNA.RE06127
Hcv1.av93.c1.g407.i1	mRNA.RE00277
Hcv1.av93.c1.g411.i1	mRNA.RE05972
Hcv1.av93.c1.g412.i1	mRNA.RE15791
Hcv1.av93.c1.g416.i1	mRNA.RE08568
Hcv1.av93.c1.g417.i1	mRNA.RE02033
Hcv1.av93.c1.g420.i1	mRNA.RE15187
Hcv1.av93.c1.g423.i1	mRNA.RE00303
Hcv1.av93.c1.g424.i1	mRNA.RE09257
Hcv1.av93.c1.g429.i1	mRNA.RE08661
Hcv1.av93.c1.g43.i1	mRNA.RE04378
Hcv1.av93.c1.g430.i1	mRNA.RE03997
Hcv1.av93.c1.g431.i1	mRNA.RE00810
Hcv1.av93.c1.g432.i1	mRNA.RE08224
Hcv1.av93.c1.g433.i1	mRNA.RE12175
Hcv1.av93.c1.g44.i1	mRNA.RE09276
Hcv1.av93.c1.g440.i1	mRNA.RE13012
Hcv1.av93.c1.g442.i4	mRNA.RE15438
Hcv1.av93.c1.g443.i2	mRNA.RE16658
Hcv1.av93.c1.g444.i1	mRNA.RE08819
Hcv1.av93.c1.g446.i1	mRNA.RE01803
Hcv1.av93.c1.g450.i1	mRNA.RE14158
Hcv1.av93.c1.g453.i3	mRNA.RE11238
Hcv1.av93.c1.g457.i1	mRNA.RE16846
Hcv1.av93.c1.g459.i1	mRNA.RE15008
Hcv1.av93.c1.g46.i1	mRNA.RE15366
Hcv1.av93.c1.g460.i1	mRNA.RE17088
Hcv1.av93.c1.g461.i1	mRNA.RE08127
Hcv1.av93.c1.g465.i10	mRNA.RE02424
Hcv1.av93.c1.g466.i1	mRNA.RE00960
Hcv1.av93.c1.g468.i1	mRNA.RE03888
Hcv1.av93.c1.g47.i1	mRNA.RE10156
Hcv1.av93.c1.g477.i1	mRNA.RE15280
Hcv1.av93.c1.g48.i2	mRNA.RE07915
Hcv1.av93.c1.g487.i2	mRNA.RE09443
Hcv1.av93.c1.g491.i1	mRNA.RE14717
Hcv1.av93.c1.g492.i1	mRNA.RE09192
Hcv1.av93.c1.g493.i4	mRNA.RE08114
Hcv1.av93.c1.g499.i1	mRNA.RE16203
Hcv1.av93.c1.g504.i1	mRNA.RE10226
Hcv1.av93.c1.g506.i2	mRNA.RE14587
Hcv1.av93.c1.g511.i1	mRNA.RE14784
Hcv1.av93.c1.g513.i1	mRNA.RE00292
Hcv1.av93.c1.g515.i1	mRNA.RE05291
Hcv1.av93.c1.g516.i1	mRNA.RE16597
Hcv1.av93.c1.g517.i1	mRNA.RE11266
Hcv1.av93.c1.g518.i1	mRNA.RE12918
Hcv1.av93.c1.g520.i2	mRNA.RE16060
Hcv1.av93.c1.g523.i1	mRNA.RE16710
Hcv1.av93.c1.g525.i1	mRNA.RE16683
Hcv1.av93.c1.g529.i1	mRNA.RE17124
Hcv1.av93.c1.g532.i1	mRNA.RE12647
Hcv1.av93.c1.g535.i1	mRNA.RE16437
Hcv1.av93.c1.g537.i1	mRNA.RE05212
Hcv1.av93.c1.g539.i1	mRNA.RE05047
Hcv1.av93.c1.g542.i1	mRNA.RE15664
Hcv1.av93.c1.g545.i2	mRNA.RE15795
Hcv1.av93.c1.g547.i1	mRNA.RE16117
Hcv1.av93.c1.g548.i1	mRNA.RE09561
Hcv1.av93.c1.g549.i1	mRNA.RE02293
Hcv1.av93.c1.g554.i1	mRNA.RE09074
Hcv1.av93.c1.g558.i1	mRNA.RE00622
Hcv1.av93.c1.g561.i1	mRNA.RE12845
Hcv1.av93.c1.g576.i2	mRNA.RE09394
Hcv1.av93.c1.g578.i2	mRNA.RE09565
Hcv1.av93.c1.g579.i2	mRNA.RE15520
Hcv1.av93.c1.g582.i1	mRNA.RE04734
Hcv1.av93.c1.g583.i1	mRNA.RE05362
Hcv1.av93.c1.g585.i1	mRNA.RE10595
Hcv1.av93.c1.g589.i1	mRNA.RE15771
Hcv1.av93.c1.g594.i1	mRNA.RE08949
Hcv1.av93.c1.g595.i7	mRNA.RE00278
Hcv1.av93.c1.g596.i1	mRNA.RE08037
Hcv1.av93.c1.g601.i1	mRNA.RE15217
