XP_004340462.2	Hcv1.av93.c2.g1172.i1
XP_004342758.1	Hcv1.av93.c7.g1060.i1
XP_004342761.1	Hcv1.av93.c7.g930.i1
XP_004342762.1	Hcv1.av93.c11.g707.i1
XP_004342763.1	Hcv1.av93.c1.g894.i1
XP_004342768.2	Hcv1.av93.c3.g1171.i1
XP_004342772.1	Hcv1.av93.c9.g231.i1
XP_004342775.1	Hcv1.av93.c6.g607.i1
XP_004342779.1	Hcv1.av93.c11.g570.i1
XP_004342780.1	Hcv1.av93.c6.g472.i1
XP_004342783.1	Hcv1.av93.c2.g1184.i1
XP_004342784.1	Hcv1.av93.c2.g1564.i1
XP_004342785.1	Hcv1.av93.c9.g197.i1
XP_004342790.1	Hcv1.av93.c2.g135.i1
XP_004342794.2	Hcv1.av93.c2.g335.i2
XP_004342795.1	Hcv1.av93.c3.g595.i1
XP_004342796.1	Hcv1.av93.c5.g1298.i1
XP_004342797.2	Hcv1.av93.c11.g199.i1
XP_004342835.1	Hcv1.av93.c2.g192.i1
XP_004342840.1	Hcv1.av93.c3.g912.i1
XP_004342842.2	Hcv1.av93.c11.g122.i1
XP_004342843.2	Hcv1.av93.c7.g348.i1
XP_004342845.1	Hcv1.av93.c10.g737.i1
XP_004342850.1	Hcv1.av93.c2.g227.i1
XP_004342851.2	Hcv1.av93.c11.g740.i2
XP_004342854.1	Hcv1.av93.c11.g978.i1
XP_004342858.1	Hcv1.av93.c5.g168.i1
XP_004342859.2	Hcv1.av93.c11.g498.i1
XP_004342865.1	Hcv1.av93.c13.g286.i3
XP_004342867.2	Hcv1.av93.c2.g1089.i1
XP_004342871.1	Hcv1.av93.c10.g322.i1
XP_004342875.1	Hcv1.av93.c9.g223.i1
XP_004342880.1	Hcv1.av93.c11.g487.i1
XP_004342888.1	Hcv1.av93.c3.g1021.i2
XP_004342889.2	Hcv1.av93.c6.g178.i1
XP_004342890.1	Hcv1.av93.c1.g664.i1
XP_004342896.2	Hcv1.av93.c5.g1310.i1
XP_004342897.1	Hcv1.av93.c7.g7.i1
XP_004342898.1	Hcv1.av93.c5.g701.i1
XP_004342902.2	Hcv1.av93.c1.g1523.i1
XP_004342907.1	Hcv1.av93.c13.g112.i1
XP_004342908.2	Hcv1.av93.c11.g76.i1
XP_004342909.1	Hcv1.av93.c7.g13.i1
XP_004342911.1	Hcv1.av93.c9.g792.i1
XP_004342916.2	Hcv1.av93.c5.g615.i1
XP_004342918.1	Hcv1.av93.c10.g410.i3
XP_004342921.2	Hcv1.av93.c2.g5.i1
XP_004342923.1	Hcv1.av93.c9.g719.i1
XP_004342927.2	Hcv1.av93.c8.g720.i1
XP_004342929.1	Hcv1.av93.c8.g940.i1
XP_004342931.1	Hcv1.av93.c7.g17.i1
XP_004342933.2	Hcv1.av93.c12.g433.i1
XP_004342940.1	Hcv1.av93.c1.g276.i1
XP_004342942.1	Hcv1.av93.c2.g319.i1
XP_004342944.2	Hcv1.av93.c5.g702.i1
XP_004342947.2	Hcv1.av93.c5.g1042.i1
XP_004342949.1	Hcv1.av93.c5.g767.i1
XP_004342955.2	Hcv1.av93.c11.g581.i1
XP_004342956.1	Hcv1.av93.c3.g623.i1
XP_004342959.2	Hcv1.av93.c4.g56.i2
XP_004342961.2	Hcv1.av93.c1.g1057.i1
XP_004342962.1	Hcv1.av93.c1.g1043.i1
XP_004342965.1	Hcv1.av93.c2.g247.i1
XP_004342969.1	Hcv1.av93.c8.g774.i1
XP_004342970.1	Hcv1.av93.c5.g527.i1
XP_004342972.1	Hcv1.av93.c7.g977.i1
XP_004342974.1	Hcv1.av93.c6.g41.i1
XP_004342975.2	Hcv1.av93.c8.g900.i1
XP_004342976.1	Hcv1.av93.c9.g838.i1
XP_004342982.2	Hcv1.av93.c10.g367.i2
XP_004342986.1	Hcv1.av93.c1.g905.i1
XP_004342987.1	Hcv1.av93.c3.g1024.i1
XP_004342995.2	Hcv1.av93.c4.g618.i1
XP_004342996.1	Hcv1.av93.c9.g65.i1
XP_004343000.2	Hcv1.av93.c3.g1174.i3
XP_004343002.2	Hcv1.av93.c3.g791.i1
XP_004343004.1	Hcv1.av93.c9.g113.i1
XP_004343005.1	Hcv1.av93.c5.g809.i1
XP_004343008.1	Hcv1.av93.c2.g39.i2
XP_004343013.1	Hcv1.av93.c3.g1118.i1
XP_004343020.1	Hcv1.av93.c5.g179.i1
XP_004343023.2	Hcv1.av93.c2.g1090.i1
XP_004343024.2	Hcv1.av93.c11.g785.i1
XP_004343026.1	Hcv1.av93.c12.g118.i1
XP_004343028.1	Hcv1.av93.c1.g1321.i1
XP_004343029.1	Hcv1.av93.c3.g719.i1
XP_004343032.1	Hcv1.av93.c10.g642.i1
XP_004343039.1	Hcv1.av93.c1.g412.i1
XP_004343042.1	Hcv1.av93.c8.g261.i1
XP_004343043.1	Hcv1.av93.c1.g722.i1
XP_004343045.1	Hcv1.av93.c1.g1484.i1
XP_004343046.2	Hcv1.av93.c2.g550.i1
XP_004343052.1	Hcv1.av93.c6.g669.i1
XP_004343061.2	Hcv1.av93.c1.g669.i1
XP_004343064.1	Hcv1.av93.c6.g1067.i1
XP_004343071.2	Hcv1.av93.c5.g773.i1
XP_004343073.1	Hcv1.av93.c3.g175.i1
XP_004343079.1	Hcv1.av93.c4.g102.i1
XP_004343085.1	Hcv1.av93.c3.g388.i1
XP_004343087.2	Hcv1.av93.c2.g547.i1
XP_004343089.2	Hcv1.av93.c5.g852.i1
XP_004343090.1	Hcv1.av93.c6.g921.i1
XP_004343092.2	Hcv1.av93.c2.g1261.i1
XP_004343094.1	Hcv1.av93.c4.g894.i1
XP_004343095.1	Hcv1.av93.c4.g358.i1
XP_004343104.1	Hcv1.av93.c11.g495.i1
XP_004343107.1	Hcv1.av93.c3.g110.i1
XP_004343108.1	Hcv1.av93.c11.g722.i1
XP_004343109.1	Hcv1.av93.c4.g101.i1
XP_004343111.1	Hcv1.av93.c9.g842.i1
XP_004343112.2	Hcv1.av93.c3.g191.i1
XP_004343113.1	Hcv1.av93.c8.g356.i1
XP_004343114.1	Hcv1.av93.c6.g505.i1
XP_004343118.1	Hcv1.av93.c1.g1683.i2
XP_004343132.1	Hcv1.av93.c2.g874.i1
XP_004343135.1	Hcv1.av93.c3.g1214.i1
XP_004343136.1	Hcv1.av93.c8.g355.i1
XP_004343140.2	Hcv1.av93.c1.g156.i1
XP_004343142.1	Hcv1.av93.c3.g386.i1
XP_004343145.1	Hcv1.av93.c7.g195.i1
XP_004343147.2	Hcv1.av93.c4.g84.i1
XP_004343150.2	Hcv1.av93.c7.g561.i1
XP_004343153.1	Hcv1.av93.c3.g1206.i1
XP_004343155.1	Hcv1.av93.c3.g467.i1
XP_004343157.1	Hcv1.av93.c3.g1019.i1
XP_004343160.1	Hcv1.av93.c2.g1020.i1
XP_004343166.1	Hcv1.av93.c9.g622.i2
XP_004343169.1	Hcv1.av93.c5.g971.i2
XP_004343173.1	Hcv1.av93.c12.g146.i1
XP_004343175.2	Hcv1.av93.c4.g327.i1
XP_004343176.1	Hcv1.av93.c3.g1230.i1
XP_004343178.1	Hcv1.av93.c7.g712.i1
XP_004343179.1	Hcv1.av93.c3.g962.i1
XP_004343180.1	Hcv1.av93.c7.g389.i1
XP_004343181.1	Hcv1.av93.c6.g601.i1
XP_004343182.1	Hcv1.av93.c2.g1198.i1
XP_004343183.1	Hcv1.av93.c7.g896.i1
XP_004343184.2	Hcv1.av93.c2.g1060.i1
XP_004343186.2	Hcv1.av93.c2.g1658.i1
XP_004343187.1	Hcv1.av93.c10.g532.i1
XP_004343192.2	Hcv1.av93.c6.g605.i1
XP_004343194.1	Hcv1.av93.c2.g511.i1
XP_004343196.2	Hcv1.av93.c1.g1460.i1
XP_004343197.1	Hcv1.av93.c9.g434.i1
XP_004343198.1	Hcv1.av93.c11.g660.i1
XP_004343200.1	Hcv1.av93.c5.g311.i1
XP_004343203.1	Hcv1.av93.c8.g917.i1
XP_004343205.1	Hcv1.av93.c8.g217.i1
XP_004343206.1	Hcv1.av93.c3.g802.i1
XP_004343207.1	Hcv1.av93.c3.g387.i1
XP_004343211.1	Hcv1.av93.c11.g636.i1
XP_004343212.1	Hcv1.av93.c2.g1189.i1
XP_004343219.1	Hcv1.av93.c2.g894.i2
XP_004343220.1	Hcv1.av93.c13.g64.i1
XP_004343221.2	Hcv1.av93.c4.g192.i1
XP_004343227.1	Hcv1.av93.c2.g1134.i1
XP_004343228.1	Hcv1.av93.c5.g1199.i1
XP_004343230.1	Hcv1.av93.c2.g541.i1
XP_004343231.1	Hcv1.av93.c3.g101.i1
XP_004343234.1	Hcv1.av93.c7.g1065.i1
XP_004343237.1	Hcv1.av93.c7.g164.i1
XP_004343239.2	Hcv1.av93.c2.g1168.i1
XP_004343241.2	Hcv1.av93.c3.g466.i1
XP_004343246.1	Hcv1.av93.c8.g160.i1
XP_004343251.1	Hcv1.av93.c1.g518.i1
XP_004343252.2	Hcv1.av93.c2.g624.i1
XP_004343254.2	Hcv1.av93.c12.g487.i1
XP_004343256.1	Hcv1.av93.c1.g1631.i2
XP_004343260.1	Hcv1.av93.c11.g668.i1
XP_004343261.1	Hcv1.av93.c5.g28.i1
XP_004343266.1	Hcv1.av93.c1.g594.i1
XP_004343269.2	Hcv1.av93.c6.g667.i1
XP_004343271.1	Hcv1.av93.c8.g952.i1
XP_004343276.1	Hcv1.av93.c1.g17.i2
XP_004343281.1	Hcv1.av93.c2.g1214.i1
XP_004343282.2	Hcv1.av93.c12.g229.i1
XP_004343283.1	Hcv1.av93.c5.g1182.i1
XP_004343284.1	Hcv1.av93.c5.g844.i1
XP_004343288.1	Hcv1.av93.c5.g1143.i1
XP_004343296.2	Hcv1.av93.c2.g1286.i1
XP_004343300.1	Hcv1.av93.c6.g1215.i1
XP_004343302.2	Hcv1.av93.c5.g271.i1
XP_004343304.2	Hcv1.av93.c2.g1141.i1
XP_004343306.1	Hcv1.av93.c7.g128.i3
XP_004343307.2	Hcv1.av93.c7.g754.i1
XP_004343309.1	Hcv1.av93.c9.g80.i1
XP_004343315.2	Hcv1.av93.c1.g1599.i1
XP_004343319.1	Hcv1.av93.c11.g630.i1
XP_004343338.2	Hcv1.av93.c9.g437.i1
XP_004343352.2	Hcv1.av93.c12.g16.i1
XP_004343358.1	Hcv1.av93.c1.g117.i1
XP_004343360.1	Hcv1.av93.c2.g912.i1
XP_004343364.2	Hcv1.av93.c7.g1027.i1
XP_004343366.1	Hcv1.av93.c1.g1396.i3
XP_004343367.1	Hcv1.av93.c6.g283.i1
XP_004343369.2	Hcv1.av93.c11.g734.i1
XP_004343370.1	Hcv1.av93.c6.g131.i1
XP_004343372.2	Hcv1.av93.c2.g1303.i1
XP_004343373.2	Hcv1.av93.c6.g1200.i2
XP_004343377.1	Hcv1.av93.c10.g365.i1
XP_004343379.1	Hcv1.av93.c12.g518.i1
XP_004343380.1	Hcv1.av93.c6.g223.i1
XP_004343381.1	Hcv1.av93.c1.g1314.i1
XP_004343385.1	Hcv1.av93.c1.g1160.i1
XP_004343389.1	Hcv1.av93.c13.g620.i1
XP_004343392.2	Hcv1.av93.c5.g300.i1
XP_004343397.1	Hcv1.av93.c7.g1049.i1
XP_004343401.1	Hcv1.av93.c3.g153.i1
XP_004343402.2	Hcv1.av93.c11.g253.i1
XP_004343404.2	Hcv1.av93.c6.g305.i1
XP_004343406.1	Hcv1.av93.c2.g1651.i1
XP_004343407.2	Hcv1.av93.c2.g127.i1
XP_004343408.1	Hcv1.av93.c1.g576.i2
XP_004343409.1	Hcv1.av93.c6.g1126.i1
XP_004343412.1	Hcv1.av93.c4.g66.i1
XP_004343413.1	Hcv1.av93.c2.g345.i3
XP_004343420.2	Hcv1.av93.c8.g525.i1
XP_004343422.2	Hcv1.av93.c3.g625.i1
XP_004343423.2	Hcv1.av93.c12.g373.i2
XP_004343424.1	Hcv1.av93.c5.g226.i1
XP_004343425.2	Hcv1.av93.c2.g141.i1
XP_004343428.1	Hcv1.av93.c9.g348.i1
XP_004343430.1	Hcv1.av93.c8.g384.i1
XP_004343431.2	Hcv1.av93.c1.g988.i1
XP_004343432.2	Hcv1.av93.c6.g112.i1
XP_004343433.1	Hcv1.av93.c2.g473.i1
XP_004343438.1	Hcv1.av93.c3.g711.i1
XP_004343440.1	Hcv1.av93.c7.g287.i1
XP_004343443.2	Hcv1.av93.c11.g839.i1
XP_004343444.2	Hcv1.av93.c7.g705.i1
XP_004343449.1	Hcv1.av93.c5.g824.i1
XP_004343450.1	Hcv1.av93.c6.g1168.i1
XP_004343454.2	Hcv1.av93.c2.g1362.i1
XP_004343455.2	Hcv1.av93.c2.g257.i1
XP_004343457.2	Hcv1.av93.c7.g290.i7
XP_004343464.2	Hcv1.av93.c1.g280.i1
XP_004343467.2	Hcv1.av93.c10.g154.i1
XP_004343471.1	Hcv1.av93.c11.g891.i2
XP_004343472.1	Hcv1.av93.c11.g850.i1
XP_004343474.2	Hcv1.av93.c2.g1042.i3
XP_004343477.1	Hcv1.av93.c2.g946.i1
XP_004343479.1	Hcv1.av93.c6.g115.i2
XP_004343480.1	Hcv1.av93.c5.g355.i1
XP_004343481.1	Hcv1.av93.c10.g508.i1
XP_004343482.1	Hcv1.av93.c4.g269.i1
XP_004343483.1	Hcv1.av93.c1.g396.i1
XP_004343484.2	Hcv1.av93.c7.g329.i1
XP_004343487.1	Hcv1.av93.c3.g914.i1
XP_004343488.1	Hcv1.av93.c11.g651.i1
XP_004343491.2	Hcv1.av93.c5.g1140.i1
XP_004343493.1	Hcv1.av93.c7.g368.i2
XP_004343494.1	Hcv1.av93.c6.g913.i1
XP_004343501.2	Hcv1.av93.c9.g458.i1
XP_004343502.2	Hcv1.av93.c5.g658.i1
XP_004343503.2	Hcv1.av93.c2.g230.i1
XP_004343504.1	Hcv1.av93.c13.g153.i1
XP_004343505.2	Hcv1.av93.c7.g1003.i1
XP_004343509.2	Hcv1.av93.c13.g341.i1
XP_004343511.1	Hcv1.av93.c2.g1053.i1
XP_004343514.1	Hcv1.av93.c7.g76.i1
XP_004343515.1	Hcv1.av93.c12.g210.i1
XP_004343517.1	Hcv1.av93.c1.g1105.i1
XP_004343518.2	Hcv1.av93.c5.g80.i1
XP_004343519.1	Hcv1.av93.c3.g538.i1
XP_004343520.1	Hcv1.av93.c3.g847.i1
XP_004343521.2	Hcv1.av93.c5.g297.i1
XP_004343523.1	Hcv1.av93.c12.g424.i1
XP_004343530.1	Hcv1.av93.c2.g1150.i1
XP_004343532.2	Hcv1.av93.c2.g29.i1
XP_004343535.2	Hcv1.av93.c5.g1050.i1
XP_004343537.2	Hcv1.av93.c5.g634.i1
XP_004343544.1	Hcv1.av93.c8.g17.i1
XP_004343547.1	Hcv1.av93.c4.g559.i1
XP_004343549.1	Hcv1.av93.c5.g828.i1
XP_004343555.1	Hcv1.av93.c2.g1174.i1
XP_004343556.1	Hcv1.av93.c7.g1067.i1
XP_004343558.1	Hcv1.av93.c7.g398.i1
XP_004343560.1	Hcv1.av93.c11.g593.i1
XP_004343562.1	Hcv1.av93.c2.g673.i1
XP_004343563.2	Hcv1.av93.c10.g101.i1
XP_004343566.2	Hcv1.av93.c10.g648.i1
XP_004343568.1	Hcv1.av93.c9.g295.i1
XP_004343570.1	Hcv1.av93.c2.g1011.i1
XP_004343571.1	Hcv1.av93.c4.g412.i1
XP_004343572.1	Hcv1.av93.c5.g1305.i1
XP_004343574.1	Hcv1.av93.c2.g1021.i1
XP_004343578.2	Hcv1.av93.c2.g199.i1
XP_004343579.1	Hcv1.av93.c3.g88.i2
XP_004343580.1	Hcv1.av93.c8.g220.i1
XP_004343581.2	Hcv1.av93.c6.g957.i1
XP_004343583.2	Hcv1.av93.c6.g255.i1
XP_004343584.1	Hcv1.av93.c6.g742.i1
XP_004343588.1	Hcv1.av93.c1.g411.i1
XP_004343589.2	Hcv1.av93.c3.g157.i1
XP_004343596.1	Hcv1.av93.c6.g844.i1
XP_004343598.1	Hcv1.av93.c6.g958.i1
XP_004343601.1	Hcv1.av93.c13.g100.i2
XP_004343602.1	Hcv1.av93.c6.g1250.i3
XP_004343610.1	Hcv1.av93.c1.g155.i1
XP_004343612.2	Hcv1.av93.c2.g966.i1
XP_004343613.2	Hcv1.av93.c11.g669.i1
XP_004343617.1	Hcv1.av93.c2.g593.i1
XP_004343619.1	Hcv1.av93.c11.g276.i1
XP_004343620.2	Hcv1.av93.c2.g1103.i1
XP_004343661.1	Hcv1.av93.c9.g574.i1
XP_004343662.1	Hcv1.av93.c9.g468.i1
XP_004343664.1	Hcv1.av93.c2.g1649.i1
XP_004343666.1	Hcv1.av93.c8.g27.i2
XP_004343671.1	Hcv1.av93.c6.g337.i1
XP_004343675.1	Hcv1.av93.c5.g845.i1
XP_004343680.2	Hcv1.av93.c5.g842.i1
XP_004343681.2	Hcv1.av93.c8.g929.i1
XP_004343684.1	Hcv1.av93.c13.g337.i1
XP_004343686.1	Hcv1.av93.c8.g615.i1
XP_004343687.2	Hcv1.av93.c8.g749.i1
XP_004343692.2	Hcv1.av93.c5.g853.i1
XP_004343693.1	Hcv1.av93.c13.g119.i1
XP_004343696.1	Hcv1.av93.c3.g621.i1
XP_004343697.2	Hcv1.av93.c11.g1026.i1
XP_004343699.1	Hcv1.av93.c10.g42.i1
XP_004343703.2	Hcv1.av93.c5.g1272.i1
XP_004343704.1	Hcv1.av93.c1.g862.i1
XP_004343705.1	Hcv1.av93.c9.g297.i1
XP_004343706.2	Hcv1.av93.c6.g1071.i1
XP_004343707.2	Hcv1.av93.c8.g858.i1
XP_004343721.2	Hcv1.av93.c8.g846.i1
XP_004343726.1	Hcv1.av93.c8.g817.i1
XP_004343730.2	Hcv1.av93.c5.g1063.i1
XP_004343731.2	Hcv1.av93.c2.g1605.i5
XP_004343732.1	Hcv1.av93.c7.g171.i1
XP_004343733.1	Hcv1.av93.c9.g785.i1
XP_004343736.1	Hcv1.av93.c6.g152.i1
XP_004343739.1	Hcv1.av93.c5.g1275.i1
XP_004343740.1	Hcv1.av93.c4.g668.i1
XP_004343741.1	Hcv1.av93.c8.g676.i1
XP_004343743.1	Hcv1.av93.c5.g996.i1
XP_004343744.1	Hcv1.av93.c3.g448.i1
XP_004343747.2	Hcv1.av93.c6.g892.i1
XP_004343748.1	Hcv1.av93.c11.g827.i1
XP_004343749.1	Hcv1.av93.c6.g481.i1
XP_004343750.1	Hcv1.av93.c8.g697.i1
XP_004343751.2	Hcv1.av93.c1.g1572.i1
XP_004343752.2	Hcv1.av93.c2.g823.i1
XP_004343753.2	Hcv1.av93.c5.g1000.i2
XP_004343754.1	Hcv1.av93.c7.g125.i1
XP_004343756.2	Hcv1.av93.c1.g378.i1
XP_004343758.1	Hcv1.av93.c13.g239.i1
XP_004343768.1	Hcv1.av93.c6.g23.i1
XP_004343780.1	Hcv1.av93.c11.g136.i3
XP_004343782.2	Hcv1.av93.c12.g565.i1
XP_004343788.1	Hcv1.av93.c1.g91.i3
XP_004343794.1	Hcv1.av93.c8.g483.i1
XP_004343796.1	Hcv1.av93.c6.g721.i1
XP_004343798.1	Hcv1.av93.c7.g152.i1
XP_004343801.1	Hcv1.av93.c1.g1673.i1
XP_004343802.2	Hcv1.av93.c11.g972.i1
XP_004343803.1	Hcv1.av93.c1.g1514.i1
XP_004343806.1	Hcv1.av93.c3.g413.i1
XP_004343811.1	Hcv1.av93.c4.g812.i1
XP_004343816.1	Hcv1.av93.c5.g787.i1
XP_004343817.2	Hcv1.av93.c5.g1137.i1
XP_004343818.1	Hcv1.av93.c3.g487.i2
XP_004343819.2	Hcv1.av93.c1.g840.i1
XP_004343820.2	Hcv1.av93.c6.g749.i1
XP_004343821.1	Hcv1.av93.c5.g1286.i1
XP_004343827.2	Hcv1.av93.c7.g975.i2
XP_004343828.1	Hcv1.av93.c2.g609.i1
XP_004343829.2	Hcv1.av93.c2.g379.i1
XP_004343831.1	Hcv1.av93.c4.g428.i2
XP_004343832.1	Hcv1.av93.c2.g994.i1
XP_004343834.1	Hcv1.av93.c9.g309.i1
XP_004343835.1	Hcv1.av93.c5.g1301.i1
XP_004343836.1	Hcv1.av93.c5.g779.i1
XP_004343838.1	Hcv1.av93.c1.g845.i1
XP_004343843.2	Hcv1.av93.c5.g369.i1
XP_004343844.2	Hcv1.av93.c1.g1069.i1
XP_004343845.2	Hcv1.av93.c6.g1255.i1
XP_004343846.2	Hcv1.av93.c3.g665.i1
XP_004343847.1	Hcv1.av93.c2.g783.i1
XP_004343850.1	Hcv1.av93.c5.g1262.i1
XP_004343853.2	Hcv1.av93.c1.g1018.i1
XP_004343855.2	Hcv1.av93.c5.g670.i1
XP_004343857.1	Hcv1.av93.c3.g936.i1
XP_004343862.2	Hcv1.av93.c8.g699.i1
XP_004343867.2	Hcv1.av93.c8.g409.i1
XP_004343868.1	Hcv1.av93.c10.g502.i1
XP_004343870.2	Hcv1.av93.c9.g187.i2
XP_004343878.2	Hcv1.av93.c2.g394.i1
XP_004343881.2	Hcv1.av93.c2.g562.i1
XP_004343883.1	Hcv1.av93.c5.g142.i1
XP_004343885.2	Hcv1.av93.c9.g390.i1
XP_004343888.1	Hcv1.av93.c10.g561.i1
XP_004343890.1	Hcv1.av93.c1.g44.i1
XP_004343892.2	Hcv1.av93.c3.g341.i1
XP_004343893.2	Hcv1.av93.c2.g1258.i1
XP_004343895.1	Hcv1.av93.c12.g279.i1
XP_004343897.1	Hcv1.av93.c2.g1611.i3
XP_004343903.2	Hcv1.av93.c7.g208.i1
XP_004343905.2	Hcv1.av93.c9.g781.i1
XP_004343906.1	Hcv1.av93.c7.g737.i1
XP_004343907.1	Hcv1.av93.c8.g422.i1
XP_004343911.2	Hcv1.av93.c6.g1260.i1
XP_004343912.1	Hcv1.av93.c11.g94.i1
XP_004343921.1	Hcv1.av93.c5.g1067.i1
XP_004343923.2	Hcv1.av93.c7.g685.i1
XP_004343924.1	Hcv1.av93.c6.g963.i1
XP_004343927.1	Hcv1.av93.c4.g91.i1
XP_004344217.2	Hcv1.av93.c3.g777.i1
XP_004344222.1	Hcv1.av93.c7.g789.i1
XP_004344223.1	Hcv1.av93.c1.g725.i1
XP_004344231.2	Hcv1.av93.c3.g1150.i2
XP_004344232.2	Hcv1.av93.c3.g181.i1
XP_004344233.1	Hcv1.av93.c9.g82.i1
XP_004344234.2	Hcv1.av93.c2.g936.i1
XP_004344236.2	Hcv1.av93.c3.g171.i2
XP_004344242.1	Hcv1.av93.c5.g274.i1
XP_004344243.1	Hcv1.av93.c3.g774.i2
XP_004344244.1	Hcv1.av93.c5.g729.i1
