XP_004340361.1	mRNA.RE14990
XP_004342654.2	mRNA.RE10250
XP_004342655.2	mRNA.RE10204
XP_004342657.1	mRNA.RE03310
XP_004342658.1	mRNA.RE06755
XP_004342661.1	mRNA.RE06315
XP_004342662.1	mRNA.RE14368
XP_004342665.1	mRNA.RE05911
XP_004342667.1	mRNA.RE10307
XP_004342668.2	mRNA.RE05063
XP_004342669.1	mRNA.RE09748
XP_004342670.2	mRNA.RE07893
XP_004342672.1	mRNA.RE09132
XP_004342673.2	mRNA.RE07372
XP_004342675.1	mRNA.RE10844
XP_004342688.1	mRNA.RE05067
XP_004342691.1	mRNA.RE05557
XP_004342692.1	mRNA.RE08574
XP_004342694.1	mRNA.RE10945
XP_004342695.1	mRNA.RE13664
XP_004342696.2	mRNA.RE10294
XP_004342697.1	mRNA.RE01865
XP_004342698.1	mRNA.RE10855
XP_004342699.1	mRNA.RE05087
XP_004342701.2	mRNA.RE10849
XP_004342702.1	mRNA.RE06121
XP_004342706.1	mRNA.RE10750
XP_004342708.1	mRNA.RE13554
XP_004342711.1	mRNA.RE13402
XP_004342712.1	mRNA.RE00086
XP_004342713.1	mRNA.RE11950
XP_004342714.1	mRNA.RE06067
XP_004342717.2	mRNA.RE05262
XP_004342719.2	mRNA.RE06440
XP_004342720.1	mRNA.RE10308
XP_004342722.2	mRNA.RE16577
XP_004342724.2	mRNA.RE03290
XP_004342725.1	mRNA.RE10815
XP_004342726.1	mRNA.RE02085
XP_004342732.1	mRNA.RE13370
XP_004342734.1	mRNA.RE05899
XP_004342735.1	mRNA.RE00625
XP_004342737.1	mRNA.RE10910
XP_004342738.2	mRNA.RE10893
XP_004342740.2	mRNA.RE13163
XP_004342741.1	mRNA.RE04968
XP_004342742.1	mRNA.RE12973
XP_004342747.1	mRNA.RE06773
XP_004342748.2	mRNA.RE00447
XP_004342750.2	mRNA.RE10841
XP_004342752.1	mRNA.RE00293
XP_004342753.1	mRNA.RE03488
XP_004342754.1	mRNA.RE03483
XP_004342757.1	mRNA.RE12601
XP_004342758.1	mRNA.RE12122
XP_004342761.1	mRNA.RE03945
XP_004342762.1	mRNA.RE09053
XP_004342763.1	mRNA.RE06261
XP_004342767.2	mRNA.RE00613
XP_004342768.2	mRNA.RE08313
XP_004342771.1	mRNA.RE16976
XP_004342772.1	mRNA.RE08636
XP_004342773.2	mRNA.RE07839
XP_004342775.1	mRNA.RE14775
XP_004342779.1	mRNA.RE11797
XP_004342780.1	mRNA.RE13099
XP_004342783.1	mRNA.RE02277
XP_004342784.1	mRNA.RE02738
XP_004342785.1	mRNA.RE03122
XP_004342790.1	mRNA.RE05312
XP_004342791.2	mRNA.RE06769
XP_004342794.2	mRNA.RE11316
XP_004342795.1	mRNA.RE15351
XP_004342796.1	mRNA.RE03162
XP_004342797.2	mRNA.RE11619
XP_004342835.1	mRNA.RE10073
XP_004342840.1	mRNA.RE00857
XP_004342842.2	mRNA.RE02496
XP_004342843.2	mRNA.RE09396
XP_004342845.1	mRNA.RE03838
XP_004342848.1	mRNA.RE12878
XP_004342850.1	mRNA.RE07413
XP_004342851.2	mRNA.RE11584
XP_004342854.1	mRNA.RE11293
XP_004342855.1	mRNA.RE02927
XP_004342856.2	mRNA.RE00734
XP_004342857.2	mRNA.RE11158
XP_004342859.2	mRNA.RE12851
XP_004342864.1	mRNA.RE14352
XP_004342865.1	mRNA.RE01811
XP_004342866.1	mRNA.RE04199
XP_004342867.2	mRNA.RE07324
XP_004342868.2	mRNA.RE10672
XP_004342871.1	mRNA.RE15146
XP_004342874.2	mRNA.RE07726
XP_004342875.1	mRNA.RE02987
XP_004342878.1	mRNA.RE08669
XP_004342879.1	mRNA.RE02430
XP_004342880.1	mRNA.RE03228
XP_004342889.2	mRNA.RE13255
XP_004342890.1	mRNA.RE06144
XP_004342895.1	mRNA.RE05259
XP_004342896.2	mRNA.RE03078
XP_004342897.1	mRNA.RE02627
XP_004342898.1	mRNA.RE06325
XP_004342902.2	mRNA.RE12392
XP_004342906.1	mRNA.RE10108
XP_004342907.1	mRNA.RE09343
XP_004342908.2	mRNA.RE11640
XP_004342909.1	mRNA.RE14543
XP_004342913.2	mRNA.RE11644
XP_004342916.2	mRNA.RE06006
XP_004342921.2	mRNA.RE15040
XP_004342923.1	mRNA.RE16280
XP_004342927.2	mRNA.RE01641
XP_004342931.1	mRNA.RE16950
XP_004342933.2	mRNA.RE16266
XP_004342940.1	mRNA.RE13521
XP_004342941.2	mRNA.RE03156
XP_004342942.1	mRNA.RE09339
XP_004342944.2	mRNA.RE15799
XP_004342945.1	mRNA.RE13745
XP_004342947.2	mRNA.RE05812
XP_004342949.1	mRNA.RE09837
XP_004342953.1	mRNA.RE07021
XP_004342954.1	mRNA.RE16313
XP_004342956.1	mRNA.RE05686
XP_004342957.1	mRNA.RE09991
XP_004342959.2	mRNA.RE04029
XP_004342960.1	mRNA.RE02037
XP_004342961.2	mRNA.RE07808
XP_004342962.1	mRNA.RE07138
XP_004342963.2	mRNA.RE07258
XP_004342965.1	mRNA.RE04313
XP_004342967.1	mRNA.RE01976
XP_004342970.1	mRNA.RE08345
XP_004342972.1	mRNA.RE03989
XP_004342974.1	mRNA.RE14210
XP_004342975.2	mRNA.RE05830
XP_004342976.1	mRNA.RE09201
XP_004342978.1	mRNA.RE14507
XP_004342982.2	mRNA.RE04724
XP_004342986.1	mRNA.RE14043
XP_004342987.1	mRNA.RE09883
XP_004342988.1	mRNA.RE09038
XP_004342989.1	mRNA.RE04051
XP_004342995.2	mRNA.RE13182
XP_004342996.1	mRNA.RE05348
XP_004343000.2	mRNA.RE02201
XP_004343001.1	mRNA.RE11669
XP_004343002.2	mRNA.RE17075
XP_004343005.1	mRNA.RE06268
XP_004343006.1	mRNA.RE15771
XP_004343008.1	mRNA.RE16017
XP_004343012.1	mRNA.RE13286
XP_004343013.1	mRNA.RE05361
XP_004343020.1	mRNA.RE06499
XP_004343023.2	mRNA.RE08220
XP_004343024.2	mRNA.RE07860
XP_004343026.1	mRNA.RE05965
XP_004343027.2	mRNA.RE14784
XP_004343028.1	mRNA.RE03160
XP_004343029.1	mRNA.RE13129
XP_004343032.1	mRNA.RE02045
XP_004343036.1	mRNA.RE05037
XP_004343037.2	mRNA.RE04514
XP_004343039.1	mRNA.RE15791
XP_004343042.1	mRNA.RE09319
XP_004343043.1	mRNA.RE07923
XP_004343045.1	mRNA.RE09203
XP_004343046.2	mRNA.RE08731
XP_004343052.1	mRNA.RE02074
XP_004343058.1	mRNA.RE06950
XP_004343061.2	mRNA.RE00284
XP_004343064.1	mRNA.RE15279
XP_004343071.2	mRNA.RE14532
XP_004343073.1	mRNA.RE13484
XP_004343079.1	mRNA.RE06862
XP_004343082.2	mRNA.RE10649
XP_004343084.2	mRNA.RE06932
XP_004343085.1	mRNA.RE03932
XP_004343087.2	mRNA.RE05060
XP_004343089.2	mRNA.RE11071
XP_004343090.1	mRNA.RE03614
XP_004343093.1	mRNA.RE13990
XP_004343094.1	mRNA.RE05174
XP_004343095.1	mRNA.RE07761
XP_004343104.1	mRNA.RE09427
XP_004343106.1	mRNA.RE00416
XP_004343107.1	mRNA.RE13900
XP_004343109.1	mRNA.RE04334
XP_004343111.1	mRNA.RE04739
XP_004343112.2	mRNA.RE16443
XP_004343113.1	mRNA.RE11209
XP_004343114.1	mRNA.RE16167
XP_004343117.1	mRNA.RE06687
XP_004343119.1	mRNA.RE01292
XP_004343120.1	mRNA.RE04893
XP_004343126.1	mRNA.RE06291
XP_004343130.2	mRNA.RE06705
XP_004343132.1	mRNA.RE10643
XP_004343135.1	mRNA.RE07199
XP_004343136.1	mRNA.RE10616
XP_004343140.2	mRNA.RE13569
XP_004343142.1	mRNA.RE10223
XP_004343145.1	mRNA.RE13806
XP_004343147.2	mRNA.RE06232
XP_004343155.1	mRNA.RE17096
XP_004343157.1	mRNA.RE11021
XP_004343159.1	mRNA.RE13781
XP_004343160.1	mRNA.RE16839
XP_004343166.1	mRNA.RE07367
XP_004343169.1	mRNA.RE12499
XP_004343173.1	mRNA.RE04413
XP_004343175.2	mRNA.RE15773
XP_004343176.1	mRNA.RE09081
XP_004343178.1	mRNA.RE15921
XP_004343179.1	mRNA.RE14534
XP_004343180.1	mRNA.RE15930
XP_004343181.1	mRNA.RE04947
XP_004343183.1	mRNA.RE15907
XP_004343184.2	mRNA.RE06909
XP_004343186.2	mRNA.RE02058
XP_004343187.1	mRNA.RE06986
XP_004343192.2	mRNA.RE14215
XP_004343194.1	mRNA.RE02965
XP_004343196.2	mRNA.RE10520
XP_004343197.1	mRNA.RE01430
XP_004343198.1	mRNA.RE08680
XP_004343199.1	mRNA.RE16401
XP_004343200.1	mRNA.RE09708
XP_004343201.1	mRNA.RE03612
XP_004343203.1	mRNA.RE04342
XP_004343204.2	mRNA.RE03927
XP_004343205.1	mRNA.RE07441
XP_004343211.1	mRNA.RE03631
XP_004343212.1	mRNA.RE15188
XP_004343214.1	mRNA.RE03601
XP_004343215.1	mRNA.RE09745
XP_004343219.1	mRNA.RE04404
XP_004343221.2	mRNA.RE02578
XP_004343222.1	mRNA.RE00614
XP_004343227.1	mRNA.RE12187
XP_004343228.1	mRNA.RE05836
XP_004343230.1	mRNA.RE06542
XP_004343231.1	mRNA.RE08181
XP_004343233.1	mRNA.RE06728
XP_004343234.1	mRNA.RE08327
XP_004343235.1	mRNA.RE11036
XP_004343237.1	mRNA.RE06929
XP_004343239.2	mRNA.RE06472
XP_004343241.2	mRNA.RE09452
XP_004343246.1	mRNA.RE04944
XP_004343248.2	mRNA.RE12906
XP_004343251.1	mRNA.RE12918
XP_004343252.2	mRNA.RE10089
XP_004343254.2	mRNA.RE08260
XP_004343255.1	mRNA.RE12354
XP_004343256.1	mRNA.RE04271
XP_004343260.1	mRNA.RE03859
XP_004343261.1	mRNA.RE03216
XP_004343262.1	mRNA.RE14742
XP_004343263.2	mRNA.RE02108
XP_004343266.1	mRNA.RE08949
XP_004343269.2	mRNA.RE10576
XP_004343271.1	mRNA.RE15372
XP_004343276.1	mRNA.RE06002
XP_004343281.1	mRNA.RE03057
XP_004343282.2	mRNA.RE02749
XP_004343283.1	mRNA.RE08311
XP_004343284.1	mRNA.RE16378
XP_004343288.1	mRNA.RE08295
XP_004343290.1	mRNA.RE07716
XP_004343295.1	mRNA.RE11877
XP_004343296.2	mRNA.RE07003
XP_004343297.1	mRNA.RE04341
XP_004343299.1	mRNA.RE07934
XP_004343300.1	mRNA.RE17030
XP_004343302.2	mRNA.RE03115
XP_004343304.2	mRNA.RE14586
XP_004343306.1	mRNA.RE09163
XP_004343307.2	mRNA.RE09167
XP_004343309.1	mRNA.RE12747
XP_004343314.2	mRNA.RE10545
XP_004343338.2	mRNA.RE07909
XP_004343341.1	mRNA.RE11360
XP_004343346.2	mRNA.RE12984
XP_004343352.2	mRNA.RE15556
XP_004343357.1	mRNA.RE01808
XP_004343358.1	mRNA.RE05864
XP_004343360.1	mRNA.RE03977
XP_004343362.1	mRNA.RE14577
XP_004343364.2	mRNA.RE02434
XP_004343366.1	mRNA.RE16591
XP_004343367.1	mRNA.RE06715
XP_004343368.1	mRNA.RE02113
XP_004343369.2	mRNA.RE12603
XP_004343370.1	mRNA.RE07561
XP_004343372.2	mRNA.RE07521
XP_004343373.2	mRNA.RE12414
XP_004343379.1	mRNA.RE13565
XP_004343380.1	mRNA.RE11707
XP_004343381.1	mRNA.RE14849
XP_004343382.2	mRNA.RE13921
XP_004343384.1	mRNA.RE08676
XP_004343385.1	mRNA.RE07559
XP_004343389.1	mRNA.RE16036
XP_004343392.2	mRNA.RE13244
XP_004343397.1	mRNA.RE07884
XP_004343401.1	mRNA.RE05107
XP_004343402.2	mRNA.RE12037
XP_004343405.2	mRNA.RE06156
XP_004343406.1	mRNA.RE11345
XP_004343408.1	mRNA.RE09394
XP_004343409.1	mRNA.RE07576
XP_004343412.1	mRNA.RE06955
XP_004343413.1	mRNA.RE02288
XP_004343417.1	mRNA.RE06361
XP_004343420.2	mRNA.RE04331
XP_004343423.2	mRNA.RE16774
XP_004343426.1	mRNA.RE13174
XP_004343430.1	mRNA.RE14489
XP_004343431.2	mRNA.RE04130
XP_004343432.2	mRNA.RE13068
XP_004343433.1	mRNA.RE06716
XP_004343434.1	mRNA.RE03632
XP_004343438.1	mRNA.RE11923
XP_004343439.1	mRNA.RE01877
XP_004343440.1	mRNA.RE13782
XP_004343443.2	mRNA.RE14554
XP_004343444.2	mRNA.RE04380
XP_004343449.1	mRNA.RE14263
XP_004343450.1	mRNA.RE14470
XP_004343453.1	mRNA.RE09841
XP_004343454.2	mRNA.RE13804
XP_004343461.2	mRNA.RE11185
XP_004343467.2	mRNA.RE08156
XP_004343471.1	mRNA.RE12631
XP_004343473.1	mRNA.RE08118
XP_004343475.2	mRNA.RE14201
XP_004343476.1	mRNA.RE11006
XP_004343477.1	mRNA.RE05780
XP_004343478.2	mRNA.RE00852
XP_004343479.1	mRNA.RE10311
XP_004343480.1	mRNA.RE09978
XP_004343481.1	mRNA.RE11184
XP_004343482.1	mRNA.RE10534
XP_004343483.1	mRNA.RE16830
XP_004343484.2	mRNA.RE04955
XP_004343487.1	mRNA.RE16263
XP_004343488.1	mRNA.RE13072
XP_004343493.1	mRNA.RE10628
XP_004343494.1	mRNA.RE12926
XP_004343496.2	mRNA.RE05903
XP_004343497.2	mRNA.RE16178
XP_004343500.1	mRNA.RE16757
XP_004343502.2	mRNA.RE03564
XP_004343503.2	mRNA.RE05413
XP_004343504.1	mRNA.RE11206
XP_004343505.2	mRNA.RE01409
XP_004343509.2	mRNA.RE09734
XP_004343511.1	mRNA.RE01485
XP_004343513.1	mRNA.RE09009
XP_004343514.1	mRNA.RE11070
XP_004343515.1	mRNA.RE08354
XP_004343516.1	mRNA.RE10015
XP_004343518.2	mRNA.RE05054
XP_004343519.1	mRNA.RE11191
XP_004343520.1	mRNA.RE12258
XP_004343521.2	mRNA.RE07963
XP_004343522.2	mRNA.RE15566
XP_004343523.1	mRNA.RE11830
XP_004343528.2	mRNA.RE00999
XP_004343530.1	mRNA.RE05983
XP_004343532.2	mRNA.RE06689
XP_004343535.2	mRNA.RE09231
XP_004343537.2	mRNA.RE15089
XP_004343540.2	mRNA.RE15464
XP_004343543.2	mRNA.RE07479
XP_004343547.1	mRNA.RE16490
XP_004343555.1	mRNA.RE16154
XP_004343556.1	mRNA.RE11700
XP_004343558.1	mRNA.RE11180
XP_004343560.1	mRNA.RE02524
XP_004343563.2	mRNA.RE05773
XP_004343564.1	mRNA.RE16705
XP_004343567.1	mRNA.RE16598
XP_004343568.1	mRNA.RE10228
XP_004343571.1	mRNA.RE08132
XP_004343572.1	mRNA.RE08139
XP_004343574.1	mRNA.RE08140
XP_004343578.2	mRNA.RE08736
XP_004343579.1	mRNA.RE16018
XP_004343580.1	mRNA.RE16847
XP_004343581.2	mRNA.RE05070
XP_004343583.2	mRNA.RE12263
XP_004343584.1	mRNA.RE13211
XP_004343588.1	mRNA.RE05972
XP_004343589.2	mRNA.RE00898
XP_004343594.1	mRNA.RE07290
XP_004343595.1	mRNA.RE16586
XP_004343596.1	mRNA.RE04431
XP_004343598.1	mRNA.RE13384
XP_004343601.1	mRNA.RE10293
XP_004343610.1	mRNA.RE12669
XP_004343612.2	mRNA.RE16231
XP_004343613.2	mRNA.RE11575
XP_004343617.1	mRNA.RE12088
XP_004343618.2	mRNA.RE16451
XP_004343619.1	mRNA.RE12168
XP_004343620.2	mRNA.RE02850
XP_004343661.1	mRNA.RE00212
XP_004343662.1	mRNA.RE01388
XP_004343663.1	mRNA.RE15400
XP_004343664.1	mRNA.RE04107
XP_004343666.1	mRNA.RE12981
XP_004343667.2	mRNA.RE00546
XP_004343669.2	mRNA.RE14822
XP_004343670.1	mRNA.RE13351
XP_004343671.1	mRNA.RE13307
XP_004343674.1	mRNA.RE13350
XP_004343675.1	mRNA.RE13316
XP_004343676.1	mRNA.RE09253
XP_004343679.2	mRNA.RE08330
XP_004343680.2	mRNA.RE13245
XP_004343681.2	mRNA.RE02638
XP_004343684.1	mRNA.RE11465
XP_004343686.1	mRNA.RE16641
XP_004343687.2	mRNA.RE13246
XP_004343691.2	mRNA.RE13352
XP_004343692.2	mRNA.RE00450
XP_004343693.1	mRNA.RE06995
XP_004343694.2	mRNA.RE14857
XP_004343696.1	mRNA.RE16923
XP_004343697.2	mRNA.RE15323
XP_004343699.1	mRNA.RE13272
XP_004343703.2	mRNA.RE07762
XP_004343704.1	mRNA.RE10090
XP_004343705.1	mRNA.RE04925
XP_004343706.2	mRNA.RE03974
XP_004343707.2	mRNA.RE09642
XP_004343711.2	mRNA.RE01418
XP_004343718.1	mRNA.RE00221
XP_004343719.1	mRNA.RE14401
XP_004343721.2	mRNA.RE10337
XP_004343726.1	mRNA.RE06978
XP_004343730.2	mRNA.RE13239
XP_004343731.2	mRNA.RE03885
XP_004343732.1	mRNA.RE14952
XP_004343733.1	mRNA.RE14886
XP_004343736.1	mRNA.RE03219
XP_004343739.1	mRNA.RE12506
XP_004343740.1	mRNA.RE09562
XP_004343741.1	mRNA.RE06750
XP_004343742.1	mRNA.RE00531
XP_004343743.1	mRNA.RE09735
XP_004343744.1	mRNA.RE12965
XP_004343747.2	mRNA.RE17097
XP_004343748.1	mRNA.RE07265
XP_004343749.1	mRNA.RE01324
XP_004343750.1	mRNA.RE09597
XP_004343751.2	mRNA.RE14733
XP_004343752.2	mRNA.RE16187
XP_004343753.2	mRNA.RE14077
XP_004343754.1	mRNA.RE04420
XP_004343755.1	mRNA.RE15248
XP_004343756.2	mRNA.RE16623
XP_004343758.1	mRNA.RE16116
XP_004343761.1	mRNA.RE11054
XP_004343768.1	mRNA.RE05548
XP_004343774.1	mRNA.RE02901
XP_004343780.1	mRNA.RE14155
XP_004343782.2	mRNA.RE03571
XP_004343788.1	mRNA.RE15815
XP_004343794.1	mRNA.RE09364
XP_004343796.1	mRNA.RE03158
XP_004343798.1	mRNA.RE14709
XP_004343801.1	mRNA.RE07536
XP_004343802.2	mRNA.RE07590
XP_004343803.1	mRNA.RE05995
XP_004343806.1	mRNA.RE07190
XP_004343808.2	mRNA.RE15119
XP_004343811.1	mRNA.RE04323
XP_004343816.1	mRNA.RE15909
XP_004343817.2	mRNA.RE14314
XP_004343819.2	mRNA.RE04449
XP_004343820.2	mRNA.RE16068
XP_004343821.1	mRNA.RE14397
XP_004343823.2	mRNA.RE04508
XP_004343827.2	mRNA.RE08256
XP_004343828.1	mRNA.RE12634
XP_004343829.2	mRNA.RE10084
XP_004343831.1	mRNA.RE07747
XP_004343832.1	mRNA.RE07361
XP_004343834.1	mRNA.RE06736
XP_004343835.1	mRNA.RE15085
XP_004343836.1	mRNA.RE12474
XP_004343838.1	mRNA.RE15135
XP_004343843.2	mRNA.RE16653
XP_004343844.2	mRNA.RE14300
XP_004343845.2	mRNA.RE00304
XP_004343846.2	mRNA.RE16931
XP_004343847.1	mRNA.RE05379
XP_004343849.1	mRNA.RE01814
XP_004343850.1	mRNA.RE08630
XP_004343853.2	mRNA.RE01643
XP_004343855.2	mRNA.RE12112
XP_004343857.1	mRNA.RE05575
XP_004343862.2	mRNA.RE03850
XP_004343864.1	mRNA.RE16246
XP_004343865.1	mRNA.RE16244
XP_004343867.2	mRNA.RE16968
XP_004343883.1	mRNA.RE12443
XP_004343888.1	mRNA.RE16225
XP_004343890.1	mRNA.RE09276
XP_004343892.2	mRNA.RE14046
XP_004343893.2	mRNA.RE03393
XP_004343895.1	mRNA.RE07362
XP_004343896.1	mRNA.RE12139
XP_004343897.1	mRNA.RE07112
XP_004343901.1	mRNA.RE09492
XP_004343902.2	mRNA.RE00886
XP_004343903.2	mRNA.RE06539
XP_004343905.2	mRNA.RE07355
XP_004343907.1	mRNA.RE13945
XP_004343908.1	mRNA.RE05819
XP_004343911.2	mRNA.RE16724
XP_004343912.1	mRNA.RE06008
XP_004343913.2	mRNA.RE07368
XP_004343919.1	mRNA.RE04364
XP_004343920.1	mRNA.RE00488
XP_004343921.1	mRNA.RE00915
XP_004343922.1	mRNA.RE07364
XP_004343923.2	mRNA.RE07282
XP_004343924.1	mRNA.RE14918
XP_004343927.1	mRNA.RE01065
XP_004344217.2	mRNA.RE00924
XP_004344222.1	mRNA.RE16354
XP_004344223.1	mRNA.RE02010
XP_004344231.2	mRNA.RE16319
XP_004344232.2	mRNA.RE16202
XP_004344233.1	mRNA.RE01854
XP_004344234.2	mRNA.RE09505
XP_004344236.2	mRNA.RE12208
XP_004344241.1	mRNA.RE00920
XP_004344243.1	mRNA.RE12089
XP_004344244.1	mRNA.RE05471
XP_004344249.1	mRNA.RE16605
XP_004344250.2	mRNA.RE09747
XP_004344251.1	mRNA.RE12850
XP_004344252.1	mRNA.RE13678
XP_004344255.1	mRNA.RE04480
XP_004344257.1	mRNA.RE03829
XP_004344259.1	mRNA.RE04505
XP_004344261.1	mRNA.RE08219
XP_004344267.1	mRNA.RE05779
XP_004344269.2	mRNA.RE16683
XP_004344270.1	mRNA.RE08199
XP_004344271.2	mRNA.RE02259
XP_004344272.1	mRNA.RE06972
XP_004344273.2	mRNA.RE13872
XP_004344275.1	mRNA.RE04255
XP_004344276.2	mRNA.RE13762
XP_004344277.1	mRNA.RE03574
XP_004344279.2	mRNA.RE14223
XP_004344280.2	mRNA.RE05741
XP_004344282.2	mRNA.RE06190
XP_004344284.1	mRNA.RE04519
XP_004344287.2	mRNA.RE15575
XP_004344291.1	mRNA.RE09379
XP_004344293.2	mRNA.RE07284
XP_004344295.1	mRNA.RE16112
XP_004344297.1	mRNA.RE14133
XP_004344298.1	mRNA.RE01275
XP_004344299.2	mRNA.RE15277
XP_004344300.1	mRNA.RE13956
XP_004344301.1	mRNA.RE03630
XP_004344302.2	mRNA.RE10132
XP_004344303.1	mRNA.RE08304
XP_004344304.2	mRNA.RE10860
XP_004344305.2	mRNA.RE07404
XP_004344306.1	mRNA.RE06127
XP_004344310.1	mRNA.RE08339
XP_004344311.1	mRNA.RE12468
XP_004344312.2	mRNA.RE14874
XP_004344313.2	mRNA.RE10764
XP_004344314.2	mRNA.RE09588
XP_004344315.2	mRNA.RE07588
XP_004344318.2	mRNA.RE15389
XP_004344320.1	mRNA.RE14217
XP_004344321.1	mRNA.RE14458
XP_004344323.1	mRNA.RE07547
XP_004344324.2	mRNA.RE06407
XP_004344325.2	mRNA.RE05194
XP_004344326.2	mRNA.RE13907
XP_004344327.1	mRNA.RE09680
XP_004344328.1	mRNA.RE09743
XP_004344329.1	mRNA.RE07455
XP_004344331.1	mRNA.RE00666
XP_004344334.1	mRNA.RE14119
XP_004344335.2	mRNA.RE02746
XP_004344337.1	mRNA.RE04766
XP_004344339.2	mRNA.RE09665
XP_004344340.1	mRNA.RE08629
XP_004344341.1	mRNA.RE11729
XP_004344343.1	mRNA.RE16035
XP_004344345.1	mRNA.RE15521
XP_004344350.2	mRNA.RE03061
XP_004344362.2	mRNA.RE01393
XP_004344364.2	mRNA.RE03985
XP_004344366.2	mRNA.RE02535
XP_004344369.1	mRNA.RE16428
XP_004344371.2	mRNA.RE07683
XP_004344374.2	mRNA.RE06703
XP_004344375.1	mRNA.RE16217
XP_004344376.2	mRNA.RE07022
XP_004344378.1	mRNA.RE11265
XP_004344379.1	mRNA.RE17082
XP_004344382.1	mRNA.RE16321
XP_004344385.2	mRNA.RE12059
XP_004344388.1	mRNA.RE00559
XP_004344390.1	mRNA.RE12727
XP_004344393.2	mRNA.RE15971
XP_004344395.2	mRNA.RE05935
XP_004344398.1	mRNA.RE14737
XP_004344399.1	mRNA.RE07319
XP_004344400.1	mRNA.RE05973
XP_004344402.1	mRNA.RE16294
XP_004344403.2	mRNA.RE14690
XP_004344404.1	mRNA.RE03623
XP_004344405.1	mRNA.RE03343
XP_004344407.2	mRNA.RE16311
XP_004344408.1	mRNA.RE15393
XP_004344409.1	mRNA.RE13118
XP_004344410.1	mRNA.RE10052
XP_004344411.2	mRNA.RE12765
XP_004344412.1	mRNA.RE10519
XP_004344413.2	mRNA.RE16039
XP_004344416.1	mRNA.RE14623
XP_004344417.1	mRNA.RE16585
XP_004344418.1	mRNA.RE16645
XP_004344419.1	mRNA.RE13247
XP_004344420.1	mRNA.RE16597
XP_004344423.2	mRNA.RE08024
XP_004344424.2	mRNA.RE16662
XP_004344427.2	mRNA.RE06262
XP_004344430.1	mRNA.RE15997
XP_004344432.1	mRNA.RE15304
XP_004344433.1	mRNA.RE16749
XP_004344435.1	mRNA.RE02205
XP_004344436.1	mRNA.RE11004
XP_004344437.1	mRNA.RE16704
XP_004344438.2	mRNA.RE16552
XP_004344439.1	mRNA.RE07994
XP_004344440.1	mRNA.RE00960
XP_004344444.1	mRNA.RE15452
XP_004344447.1	mRNA.RE08136
XP_004344448.1	mRNA.RE10484
XP_004344449.1	mRNA.RE08165
XP_004344450.1	mRNA.RE06212
XP_004344451.1	mRNA.RE16697
XP_004344452.2	mRNA.RE11756
XP_004344453.2	mRNA.RE10901
XP_004344454.2	mRNA.RE11005
