Em0001g1007a	mRNA.RE06677
Em0001g2861a	mRNA.RE09407
Em0001g2864a	mRNA.RE05995
Em0001g2865a	mRNA.RE15213
Em0001g2866a	mRNA.RE13050
Em0001g2869a	mRNA.RE13009
Em0001g2876a	mRNA.RE07426
Em0001g2884a	mRNA.RE16493
Em0001g2907a	mRNA.RE03826
Em0001g2920a	mRNA.RE00345
Em0001g295a	mRNA.RE07739
Em0001g297a	mRNA.RE04382
Em0001g2991a	mRNA.RE04912
Em0001g2994a	mRNA.RE05404
Em0001g3163a	mRNA.RE07291
Em0001g3187a	mRNA.RE05846
Em0001g3274a	mRNA.RE03805
Em0001g3276a	mRNA.RE13033
Em0001g3313a	mRNA.RE12287
Em0001g331a	mRNA.RE16829
Em0001g332a	mRNA.RE12948
Em0001g3333a	mRNA.RE07510
Em0001g3339a	mRNA.RE15215
Em0001g3377a	mRNA.RE13056
Em0001g3379a	mRNA.RE16932
Em0001g3380a	mRNA.RE12375
Em0001g3381a	mRNA.RE05352
Em0001g3405a	mRNA.RE08273
Em0001g3424a	mRNA.RE16832
Em0001g3426a	mRNA.RE13652
Em0001g3429a	mRNA.RE10866
Em0001g3447a	mRNA.RE04359
Em0001g3490a	mRNA.RE02555
Em0001g3502a	mRNA.RE17133
Em0001g3508a	mRNA.RE08713
Em0001g3523a	mRNA.RE05643
Em0001g3558a	mRNA.RE05533
Em0001g3560a	mRNA.RE07934
Em0001g3564a	mRNA.RE03988
Em0001g3565a	mRNA.RE03984
Em0001g3609a	mRNA.RE00925
Em0001g3611a	mRNA.RE12856
Em0001g3612a	mRNA.RE03971
Em0001g3613a	mRNA.RE03973
Em0001g3614a	mRNA.RE03850
Em0001g3615a	mRNA.RE03859
Em0001g3616a	mRNA.RE04467
Em0001g3617a	mRNA.RE12993
Em0001g3685a	mRNA.RE12870
Em0001g3686a	mRNA.RE04009
Em0001g3723a	mRNA.RE03848
Em0001g3727a	mRNA.RE12973
Em0001g3730a	mRNA.RE01174
Em0001g3767a	mRNA.RE06405
Em0001g376a	mRNA.RE12989
Em0001g3779a	mRNA.RE12868
Em0001g3784a	mRNA.RE13027
Em0001g3792a	mRNA.RE11069
Em0001g3793a	mRNA.RE16518
Em0001g3794a	mRNA.RE08736
Em0001g3795a	mRNA.RE11369
Em0001g3820a	mRNA.RE04019
Em0001g3822a	mRNA.RE09422
Em0001g407a	mRNA.RE04462
Em0001g413a	mRNA.RE03836
Em0001g414a	mRNA.RE08193
Em0001g436a	mRNA.RE03814
Em0001g467a	mRNA.RE16607
Em0001g468a	mRNA.RE11750
Em0001g491a	mRNA.RE12841
Em0001g505a	mRNA.RE05234
Em0001g528a	mRNA.RE13004
Em0001g529a	mRNA.RE06315
Em0001g542a	mRNA.RE12930
Em0001g567a	mRNA.RE05808
Em0001g572a	mRNA.RE04523
Em0001g580a	mRNA.RE07721
Em0001g581a	mRNA.RE06725
Em0001g596a	mRNA.RE10738
Em0001g610a	mRNA.RE12852
Em0001g620a	mRNA.RE08617
Em0001g622a	mRNA.RE08049
Em0001g623a	mRNA.RE13062
Em0001g633a	mRNA.RE11256
Em0001g638a	mRNA.RE08449
Em0001g646a	mRNA.RE05245
Em0001g66a	mRNA.RE12985
Em0001g67a	mRNA.RE16076
Em0001g680a	mRNA.RE04027
Em0001g699a	mRNA.RE12461
Em0001g71a	mRNA.RE12762
Em0001g720a	mRNA.RE03870
Em0001g723a	mRNA.RE14114
Em0001g749a	mRNA.RE15868
Em0001g751a	mRNA.RE10130
Em0001g754a	mRNA.RE02921
Em0001g833a	mRNA.RE12447
Em0001g834a	mRNA.RE09242
Em0001g844a	mRNA.RE11315
Em0001g846a	mRNA.RE13044
Em0001g847a	mRNA.RE11641
Em0001g849a	mRNA.RE07356
Em0001g850a	mRNA.RE12152
Em0001g86a	mRNA.RE14756
Em0001g894a	mRNA.RE13015
Em0001g896a	mRNA.RE01699
Em0001g906a	mRNA.RE02471
Em0001g914a	mRNA.RE04211
Em0001g927a	mRNA.RE09244
Em0001g928a	mRNA.RE00086
Em0001g929a	mRNA.RE05226
Em0001g92a	mRNA.RE12933
Em0001g937a	mRNA.RE03321
Em0001g972a	mRNA.RE05883
Em0001g998a	mRNA.RE04515
Em0002g1008a	mRNA.RE05571
Em0002g1034a	mRNA.RE12137
Em0002g1061a	mRNA.RE10454
Em0002g1062a	mRNA.RE10914
Em0002g107a	mRNA.RE10411
Em0002g108a	mRNA.RE10447
Em0002g1159a	mRNA.RE13324
Em0002g1164a	mRNA.RE12310
Em0002g1177a	mRNA.RE15115
Em0002g119a	mRNA.RE02514
Em0002g1236a	mRNA.RE15653
Em0002g1299a	mRNA.RE10119
Em0002g1358a	mRNA.RE08451
Em0002g1436a	mRNA.RE15147
Em0002g145a	mRNA.RE10412
Em0002g1473a	mRNA.RE12922
Em0002g1495a	mRNA.RE10465
Em0002g1523a	mRNA.RE07307
Em0002g1604a	mRNA.RE10123
Em0002g1605a	mRNA.RE10065
Em0002g1619a	mRNA.RE05561
Em0002g1679a	mRNA.RE09566
Em0002g1697a	mRNA.RE11563
Em0002g1736a	mRNA.RE03490
Em0002g1742a	mRNA.RE09148
Em0002g1747a	mRNA.RE12998
Em0002g1768a	mRNA.RE04174
Em0002g1801a	mRNA.RE12107
Em0002g1803a	mRNA.RE03898
Em0002g1820a	mRNA.RE08753
Em0002g182a	mRNA.RE07624
Em0002g1840a	mRNA.RE12331
Em0002g1841a	mRNA.RE01973
Em0002g1864a	mRNA.RE09981
Em0002g1865a	mRNA.RE09982
Em0002g1867a	mRNA.RE10059
Em0002g1869a	mRNA.RE01961
Em0002g1870a	mRNA.RE07732
Em0002g1885a	mRNA.RE10418
Em0002g1891a	mRNA.RE17194
Em0002g1892a	mRNA.RE08340
Em0002g1894a	mRNA.RE10435
Em0002g1895a	mRNA.RE07784
Em0002g191a	mRNA.RE04936
Em0002g203a	mRNA.RE12289
Em0002g205a	mRNA.RE10001
Em0002g207a	mRNA.RE01950
Em0002g256a	mRNA.RE14573
Em0002g268a	mRNA.RE12839
Em0002g26a	mRNA.RE07010
Em0002g270a	mRNA.RE14240
Em0002g271a	mRNA.RE12318
Em0002g294a	mRNA.RE10462
Em0002g299a	mRNA.RE11582
Em0002g29a	mRNA.RE08680
Em0002g333a	mRNA.RE02553
Em0002g337a	mRNA.RE01020
Em0002g36a	mRNA.RE03158
Em0002g37a	mRNA.RE14623
Em0002g38a	mRNA.RE05006
Em0002g39a	mRNA.RE08671
Em0002g419a	mRNA.RE01568
Em0002g41a	mRNA.RE12285
Em0002g42a	mRNA.RE15143
Em0002g430a	mRNA.RE15142
Em0002g43a	mRNA.RE15144
Em0002g45a	mRNA.RE11794
Em0002g470a	mRNA.RE08689
Em0002g488a	mRNA.RE08666
Em0002g501a	mRNA.RE15347
Em0002g578a	mRNA.RE08756
Em0002g648a	mRNA.RE07498
Em0002g676a	mRNA.RE06965
Em0002g747a	mRNA.RE09033
Em0002g755a	mRNA.RE16923
Em0002g756a	mRNA.RE02249
Em0002g758a	mRNA.RE01865
Em0002g771a	mRNA.RE16108
Em0002g795a	mRNA.RE17020
Em0002g80a	mRNA.RE07531
Em0002g82a	mRNA.RE04978
Em0002g843a	mRNA.RE06200
Em0002g851a	mRNA.RE10229
Em0002g929a	mRNA.RE01569
Em0002g95a	mRNA.RE12039
Em0002g976a	mRNA.RE16727
Em0003g1002a	mRNA.RE03536
Em0003g1008a	mRNA.RE08817
Em0003g1038a	mRNA.RE15661
Em0003g107a	mRNA.RE06988
Em0003g108a	mRNA.RE03160
Em0003g1126a	mRNA.RE10185
Em0003g1191a	mRNA.RE02528
Em0003g1219a	mRNA.RE11778
Em0003g1226a	mRNA.RE09452
Em0003g1227a	mRNA.RE03256
Em0003g1228a	mRNA.RE05595
Em0003g1242a	mRNA.RE11059
Em0003g1249a	mRNA.RE03539
Em0003g1273a	mRNA.RE16880
Em0003g1281a	mRNA.RE14849
Em0003g1297a	mRNA.RE06942
Em0003g1298a	mRNA.RE11051
Em0003g1326a	mRNA.RE06910
Em0003g1353a	mRNA.RE13895
Em0003g1356a	mRNA.RE06959
Em0003g1359a	mRNA.RE00416
Em0003g1360a	mRNA.RE15705
Em0003g1366a	mRNA.RE14119
Em0003g1367a	mRNA.RE11067
Em0003g1372a	mRNA.RE12352
Em0003g1397a	mRNA.RE13424
Em0003g1398a	mRNA.RE06670
Em0003g1404a	mRNA.RE09003
Em0003g1407a	mRNA.RE06971
Em0003g1408a	mRNA.RE05856
Em0003g1413a	mRNA.RE04323
Em0003g1424a	mRNA.RE11242
Em0003g1428a	mRNA.RE09440
Em0003g1443a	mRNA.RE07771
Em0003g1471a	mRNA.RE00165
Em0003g1480a	mRNA.RE07919
Em0003g1481a	mRNA.RE09383
Em0003g1487a	mRNA.RE04001
Em0003g1498a	mRNA.RE02911
Em0003g1520a	mRNA.RE15552
Em0003g1535a	mRNA.RE03236
Em0003g1546a	mRNA.RE03972
Em0003g1556a	mRNA.RE02454
Em0003g1558a	mRNA.RE00387
Em0003g1559a	mRNA.RE10288
Em0003g1560a	mRNA.RE14562
Em0003g1581a	mRNA.RE03529
Em0003g1645a	mRNA.RE08811
Em0003g1651a	mRNA.RE06530
Em0003g1716a	mRNA.RE14622
Em0003g1755a	mRNA.RE12226
Em0003g176a	mRNA.RE07548
Em0003g178a	mRNA.RE11088
Em0003g1830a	mRNA.RE10263
Em0003g1834a	mRNA.RE11125
Em0003g1836a	mRNA.RE01712
Em0003g1837a	mRNA.RE02925
Em0003g1839a	mRNA.RE04330
Em0003g1842a	mRNA.RE13010
Em0003g1859a	mRNA.RE14055
Em0003g186a	mRNA.RE13103
Em0003g1874a	mRNA.RE06866
Em0003g1879a	mRNA.RE03982
Em0003g187a	mRNA.RE11121
Em0003g188a	mRNA.RE04334
Em0003g189a	mRNA.RE03547
Em0003g190a	mRNA.RE04345
Em0003g191a	mRNA.RE11110
Em0003g192a	mRNA.RE06991
Em0003g202a	mRNA.RE06400
Em0003g210a	mRNA.RE11647
Em0003g211a	mRNA.RE11054
Em0003g267a	mRNA.RE04038
Em0003g269a	mRNA.RE16675
Em0003g289a	mRNA.RE11111
Em0003g290a	mRNA.RE06147
Em0003g293a	mRNA.RE06955
Em0003g294a	mRNA.RE00965
Em0003g30a	mRNA.RE11356
Em0003g316a	mRNA.RE11068
Em0003g317a	mRNA.RE11933
Em0003g320a	mRNA.RE04868
Em0003g321a	mRNA.RE07774
Em0003g323a	mRNA.RE14811
Em0003g326a	mRNA.RE04344
Em0003g327a	mRNA.RE07745
Em0003g328a	mRNA.RE11071
Em0003g342a	mRNA.RE11317
Em0003g345a	mRNA.RE12350
Em0003g346a	mRNA.RE09909
Em0003g347a	mRNA.RE13790
Em0003g34a	mRNA.RE00707
Em0003g374a	mRNA.RE04343
Em0003g375a	mRNA.RE03285
Em0003g377a	mRNA.RE05771
Em0003g385a	mRNA.RE06128
Em0003g386a	mRNA.RE06136
Em0003g38a	mRNA.RE03897
Em0003g40a	mRNA.RE06932
Em0003g41a	mRNA.RE03546
Em0003g425a	mRNA.RE06897
Em0003g42a	mRNA.RE00969
Em0003g43a	mRNA.RE07696
Em0003g44a	mRNA.RE11113
Em0003g457a	mRNA.RE00963
Em0003g458a	mRNA.RE11112
Em0003g459a	mRNA.RE00967
Em0003g45a	mRNA.RE06909
Em0003g460a	mRNA.RE05254
Em0003g46a	mRNA.RE06981
Em0003g47a	mRNA.RE00972
Em0003g483a	mRNA.RE06992
Em0003g484a	mRNA.RE06869
Em0003g487a	mRNA.RE06857
Em0003g518a	mRNA.RE01266
Em0003g528a	mRNA.RE11106
Em0003g540a	mRNA.RE11105
Em0003g56a	mRNA.RE05019
Em0003g57a	mRNA.RE13924
Em0003g593a	mRNA.RE06926
Em0003g612a	mRNA.RE05866
Em0003g617a	mRNA.RE13492
Em0003g629a	mRNA.RE10405
Em0003g639a	mRNA.RE16938
Em0003g63a	mRNA.RE07748
Em0003g641a	mRNA.RE11952
Em0003g651a	mRNA.RE06974
Em0003g654a	mRNA.RE05408
Em0003g655a	mRNA.RE06890
Em0003g657a	mRNA.RE16703
Em0003g658a	mRNA.RE02301
Em0003g680a	mRNA.RE10524
Em0003g681a	mRNA.RE14798
Em0003g693a	mRNA.RE01722
Em0003g710a	mRNA.RE15482
Em0003g720a	mRNA.RE11387
Em0003g722a	mRNA.RE06862
Em0003g734a	mRNA.RE16280
Em0003g742a	mRNA.RE11096
Em0003g792a	mRNA.RE04342
Em0003g794a	mRNA.RE10225
Em0003g838a	mRNA.RE08196
Em0003g846a	mRNA.RE00543
Em0003g858a	mRNA.RE06771
Em0003g902a	mRNA.RE08455
Em0003g988a	mRNA.RE00550
Em0004g1002a	mRNA.RE10158
Em0004g1006a	mRNA.RE13265
Em0004g1007a	mRNA.RE00738
Em0004g1009a	mRNA.RE14130
Em0004g1010a	mRNA.RE02927
Em0004g101a	mRNA.RE01733
Em0004g1039a	mRNA.RE15458
Em0004g1049a	mRNA.RE14953
Em0004g1055a	mRNA.RE02412
Em0004g1061a	mRNA.RE15016
Em0004g1068a	mRNA.RE11844
Em0004g106a	mRNA.RE01734
Em0004g1079a	mRNA.RE15900
Em0004g10a	mRNA.RE06699
Em0004g1106a	mRNA.RE07425
Em0004g1107a	mRNA.RE02058
Em0004g1110a	mRNA.RE01561
Em0004g1117a	mRNA.RE08760
Em0004g1184a	mRNA.RE12951
Em0004g1192a	mRNA.RE03967
Em0004g11a	mRNA.RE14143
Em0004g1200a	mRNA.RE04270
Em0004g12a	mRNA.RE02969
Em0004g1348a	mRNA.RE08347
Em0004g134a	mRNA.RE15553
Em0004g1350a	mRNA.RE06986
Em0004g1351a	mRNA.RE11046
Em0004g1352a	mRNA.RE01912
Em0004g1353a	mRNA.RE02032
Em0004g1356a	mRNA.RE03153
Em0004g1358a	mRNA.RE15199
Em0004g1359a	mRNA.RE09453
Em0004g1360a	mRNA.RE10160
Em0004g1366a	mRNA.RE15571
Em0004g1369a	mRNA.RE15188
Em0004g136a	mRNA.RE02901
Em0004g137a	mRNA.RE01711
Em0004g1386a	mRNA.RE07000
Em0004g1387a	mRNA.RE02755
Em0004g138a	mRNA.RE11547
Em0004g1396a	mRNA.RE06733
Em0004g139a	mRNA.RE10144
Em0004g13a	mRNA.RE01389
Em0004g141a	mRNA.RE10195
Em0004g1439a	mRNA.RE15017
Em0004g1451a	mRNA.RE05458
Em0004g1459a	mRNA.RE02968
Em0004g145a	mRNA.RE06077
Em0004g1481a	mRNA.RE11049
Em0004g149a	mRNA.RE15465
Em0004g14a	mRNA.RE12648
Em0004g150a	mRNA.RE06500
Em0004g1515a	mRNA.RE10132
Em0004g151a	mRNA.RE11373
Em0004g153a	mRNA.RE13072
Em0004g1559a	mRNA.RE03373
Em0004g1560a	mRNA.RE02985
Em0004g1561a	mRNA.RE15026
Em0004g156a	mRNA.RE15669
Em0004g1577a	mRNA.RE00739
Em0004g1578a	mRNA.RE11302
Em0004g157a	mRNA.RE10204
Em0004g1580a	mRNA.RE06490
Em0004g1583a	mRNA.RE10192
Em0004g1594a	mRNA.RE13940
Em0004g1595a	mRNA.RE10198
Em0004g160a	mRNA.RE13428
Em0004g1627a	mRNA.RE12406
Em0004g1644a	mRNA.RE14144
Em0004g1646a	mRNA.RE03363
Em0004g1647a	mRNA.RE03369
Em0004g1652a	mRNA.RE06732
Em0004g1658a	mRNA.RE15660
Em0004g1680a	mRNA.RE15644
Em0004g1681a	mRNA.RE10156
Em0004g1683a	mRNA.RE15044
Em0004g1685a	mRNA.RE06741
Em0004g1706a	mRNA.RE07301
Em0004g1708a	mRNA.RE15574
Em0004g1709a	mRNA.RE02965
Em0004g1746a	mRNA.RE02853
Em0004g181a	mRNA.RE10223
Em0004g203a	mRNA.RE15010
Em0004g204a	mRNA.RE06685
Em0004g205a	mRNA.RE02896
Em0004g206a	mRNA.RE02897
Em0004g208a	mRNA.RE04911
Em0004g209a	mRNA.RE10202
Em0004g21a	mRNA.RE04897
Em0004g22a	mRNA.RE06691
Em0004g238a	mRNA.RE11304
Em0004g240a	mRNA.RE15045
Em0004g241a	mRNA.RE06496
Em0004g243a	mRNA.RE02923
Em0004g244a	mRNA.RE15054
Em0004g24a	mRNA.RE11343
Em0004g25a	mRNA.RE04905
Em0004g26a	mRNA.RE15588
Em0004g298a	mRNA.RE06391
Em0004g29a	mRNA.RE11345
Em0004g307a	mRNA.RE15050
Em0004g308a	mRNA.RE15625
Em0004g30a	mRNA.RE02899
Em0004g340a	mRNA.RE01696
Em0004g348a	mRNA.RE15015
Em0004g349a	mRNA.RE15052
Em0004g350a	mRNA.RE15633
Em0004g353a	mRNA.RE06702
Em0004g354a	mRNA.RE15561
Em0004g355a	mRNA.RE11310
Em0004g35a	mRNA.RE05204
Em0004g360a	mRNA.RE15563
Em0004g376a	mRNA.RE14211
Em0004g377a	mRNA.RE03364
Em0004g379a	mRNA.RE03355
Em0004g380a	mRNA.RE03356
Em0004g382a	mRNA.RE06742
Em0004g38a	mRNA.RE04899
Em0004g412a	mRNA.RE11363
Em0004g41a	mRNA.RE15027
Em0004g42a	mRNA.RE01939
Em0004g44a	mRNA.RE07625
Em0004g46a	mRNA.RE11352
Em0004g48a	mRNA.RE01702
Em0004g510a	mRNA.RE07134
Em0004g51a	mRNA.RE02936
Em0004g53a	mRNA.RE11540
Em0004g56a	mRNA.RE15686
Em0004g57a	mRNA.RE03368
Em0004g58a	mRNA.RE02306
Em0004g62a	mRNA.RE11313
Em0004g636a	mRNA.RE02208
Em0004g63a	mRNA.RE15556
Em0004g647a	mRNA.RE01715
Em0004g648a	mRNA.RE07687
Em0004g64a	mRNA.RE08262
Em0004g65a	mRNA.RE15032
Em0004g666a	mRNA.RE06983
Em0004g676a	mRNA.RE10137
Em0004g685a	mRNA.RE04977
Em0004g686a	mRNA.RE10176
Em0004g68a	mRNA.RE15584
Em0004g69a	mRNA.RE01951
Em0004g6a	mRNA.RE10072
Em0004g70a	mRNA.RE02987
Em0004g713a	mRNA.RE10175
Em0004g714a	mRNA.RE15593
Em0004g71a	mRNA.RE08046
Em0004g72a	mRNA.RE07707
Em0004g73a	mRNA.RE13653
Em0004g750a	mRNA.RE10918
Em0004g756a	mRNA.RE15920
Em0004g777a	mRNA.RE07218
Em0004g77a	mRNA.RE16157
Em0004g788a	mRNA.RE07219
Em0004g791a	mRNA.RE09968
Em0004g794a	mRNA.RE14018
Em0004g795a	mRNA.RE14855
Em0004g796a	mRNA.RE03344
Em0004g82a	mRNA.RE08838
Em0004g83a	mRNA.RE15649
Em0004g84a	mRNA.RE10675
Em0004g86a	mRNA.RE09458
Em0004g88a	mRNA.RE11348
Em0004g8a	mRNA.RE15666
Em0004g905a	mRNA.RE07494
Em0004g91a	mRNA.RE06482
Em0004g926a	mRNA.RE11542
Em0004g929a	mRNA.RE02254
Em0004g92a	mRNA.RE15180
Em0004g93a	mRNA.RE03343
Em0004g942a	mRNA.RE12007
Em0004g947a	mRNA.RE03766
Em0004g94a	mRNA.RE15587
Em0004g955a	mRNA.RE15630
Em0004g959a	mRNA.RE17083
Em0004g95a	mRNA.RE01732
Em0004g96a	mRNA.RE01731
Em0004g974a	mRNA.RE14307
Em0004g97a	mRNA.RE15648
Em0004g996a	mRNA.RE14739
Em0004g997a	mRNA.RE13976
Em0004g998a	mRNA.RE01859
Em0004g999a	mRNA.RE14309
Em0005g1013a	mRNA.RE05194
Em0005g1018a	mRNA.RE07489
Em0005g1020a	mRNA.RE11403
Em0005g102a	mRNA.RE05627
Em0005g1033a	mRNA.RE07408
Em0005g1035a	mRNA.RE07754
Em0005g1036a	mRNA.RE08703
Em0005g1062a	mRNA.RE07719
Em0005g1063a	mRNA.RE10073
Em0005g1091a	mRNA.RE08221
Em0005g1095a	mRNA.RE09052
Em0005g1096a	mRNA.RE15113
Em0005g1099a	mRNA.RE01974
Em0005g1100a	mRNA.RE11550
Em0005g1109a	mRNA.RE05233
Em0005g1115a	mRNA.RE13235
Em0005g1130a	mRNA.RE12283
Em0005g1143a	mRNA.RE04167
Em0005g1146a	mRNA.RE11535
Em0005g1148a	mRNA.RE13155
Em0005g1149a	mRNA.RE09999
Em0005g1150a	mRNA.RE03289
Em0005g1161a	mRNA.RE11426
Em0005g1162a	mRNA.RE07034
Em0005g1163a	mRNA.RE11584
Em0005g1164a	mRNA.RE07701
Em0005g1165a	mRNA.RE01901
Em0005g1166a	mRNA.RE11608
Em0005g1167a	mRNA.RE17029
Em0005g1171a	mRNA.RE15107
Em0005g1175a	mRNA.RE13328
Em0005g1176a	mRNA.RE11588
Em0005g1177a	mRNA.RE07495
Em0005g1178a	mRNA.RE15668
Em0005g1179a	mRNA.RE10037
Em0005g1183a	mRNA.RE11555
Em0005g1184a	mRNA.RE03228
Em0005g1185a	mRNA.RE15127
Em0005g1186a	mRNA.RE10052
Em0005g1187a	mRNA.RE13183
Em0005g1190a	mRNA.RE09064
Em0005g1191a	mRNA.RE12347
Em0005g1193a	mRNA.RE16651
Em0005g1197a	mRNA.RE12085
Em0005g1198a	mRNA.RE04087
Em0005g1200a	mRNA.RE00065
Em0005g1202a	mRNA.RE15135
Em0005g1209a	mRNA.RE05083
Em0005g1211a	mRNA.RE08663
Em0005g1213a	mRNA.RE10434
Em0005g1215a	mRNA.RE01323
Em0005g1216a	mRNA.RE12796
Em0005g1219a	mRNA.RE07698
Em0005g1239a	mRNA.RE08698
Em0005g1240a	mRNA.RE01963
Em0005g1243a	mRNA.RE12343
Em0005g1250a	mRNA.RE08099
Em0005g1262a	mRNA.RE11645
Em0005g1268a	mRNA.RE11632
Em0005g1279a	mRNA.RE08669
Em0005g1280a	mRNA.RE10439
Em0005g1281a	mRNA.RE15146
Em0005g1287a	mRNA.RE15106
Em0005g1310a	mRNA.RE12335
Em0005g1317a	mRNA.RE08665
Em0005g1323a	mRNA.RE15108
Em0005g1324a	mRNA.RE11619
Em0005g1325a	mRNA.RE09992
Em0005g1326a	mRNA.RE11624
Em0005g1337a	mRNA.RE05007
Em0005g1339a	mRNA.RE11890
Em0005g1341a	mRNA.RE11631
Em0005g1346a	mRNA.RE11577
Em0005g1347a	mRNA.RE11613
Em0005g1372a	mRNA.RE09988
Em0005g1379a	mRNA.RE11646
Em0005g1380a	mRNA.RE08564
