XP_004339904.1	Em0019g582a
XP_004342878.1	Em0005g1279a
XP_004342880.1	Em0005g1184a
XP_004342888.1	Em0015g28a
XP_004342889.2	Em0021g81a
XP_004342890.1	Em0006g1000a
XP_004342893.2	Em0005g1172a
XP_004342897.1	Em0016g1134a
XP_004342898.1	Em0023g370a
XP_004342902.2	Em0013g80a
XP_004342907.1	Em0021g905a
XP_004342908.2	Em0005g1532a
XP_004342913.2	Em0005g1637a
XP_004342914.1	Em0023g520a
XP_004342916.2	Em0009g1188a
XP_004342918.1	Em0026g54a
XP_004342921.2	Em0012g1032a
XP_004342927.2	Em0006g1560a
XP_004342931.1	Em0016g169a
XP_004342933.2	Em0015g568a
XP_004342942.1	Em0005g1444a
XP_004342944.2	Em0006g620a
XP_004342953.1	Em0018g670a
XP_004342956.1	Em0010g821a
XP_004342957.1	Em0013g321a
XP_004342959.2	Em0005g674a
XP_004342960.1	Em0010g1032a
XP_004342961.2	Em0013g357a
XP_004342962.1	Em0060g11a
XP_004342963.2	Em0011g359a
XP_004342969.1	Em0019g1028a
XP_004342970.1	Em0019g977a
XP_004342974.1	Em0014g575a
XP_004342975.2	Em0007g1443a
XP_004342976.1	Em0013g272a
XP_004342982.2	Em0016g452a
XP_004342986.1	Em0020g199a
XP_004342987.1	Em0023g319a
XP_004342996.1	Em0011g144a
XP_004343000.2	Em0012g965a
XP_004343001.1	Em0021g221a
XP_004343002.2	Em0158g4a
XP_004343008.1	Em0015g781a
XP_004343013.1	Em0013g918a
XP_004343020.1	Em0014g584a
XP_004343024.2	Em0013g187a
XP_004343026.1	Em0013g329a
XP_004343028.1	Em0003g108a
XP_004343029.1	Em0019g355a
XP_004343032.1	Em0018g427a
XP_004343039.1	Em0010g903a
XP_004343042.1	Em0009g1024a
XP_004343043.1	Em0013g358a
XP_004343045.1	Em0016g1017a
XP_004343046.2	Em0329g2a
XP_004343052.1	Em0016g1044a
XP_004343054.1	Em0001g2243a
XP_004343058.1	Em0011g415a
XP_004343061.2	Em0013g274a
XP_004343064.1	Em0020g682a
XP_004343070.2	Em0011g686a
XP_004343071.2	Em0011g1027a
XP_004343073.1	Em0011g83a
XP_004343079.1	Em0003g722a
XP_004343084.2	Em0003g40a
XP_004343085.1	Em0008g1017a
XP_004343087.2	Em0020g901a
XP_004343089.2	Em0003g328a
XP_004343093.1	Em0015g826a
XP_004343094.1	Em0009g613a
XP_004343095.1	Em0003g1398a
XP_004343104.1	Em0016g246a
XP_004343106.1	Em0003g1359a
XP_004343109.1	Em0003g188a
XP_004343111.1	Em0016g168a
XP_004343112.2	Em0012g1064a
XP_004343113.1	Em0016g935a
XP_004343114.1	Em0017g127a
XP_004343119.1	Em0019g121a
XP_004343126.1	Em0005g803a
XP_004343130.2	Em0019g841a
XP_004343132.1	Em0001g228a
XP_004343136.1	Em0018g166a
XP_004343137.1	Em0018g158a
XP_004343138.1	Em0012g283a
XP_004343140.2	Em0011g823a
XP_004343142.1	Em0004g181a
XP_004343147.2	Em0022g225a
XP_004343150.2	Em0022g608a
XP_004343153.1	Em0022g207a
XP_004343156.1	Em0015g514a
XP_004343157.1	Em0018g515a
XP_004343160.1	Em0018g75a
XP_004343166.1	Em0020g489a
XP_004343167.1	Em0017g362a
XP_004343169.1	Em0009g1166a
XP_004343170.2	Em0014g582a
XP_004343173.1	Em0022g361a
XP_004343175.2	Em0015g603a
XP_004343178.1	Em0022g346a
XP_004343179.1	Em0022g406a
XP_004343180.1	Em0022g407a
XP_004343181.1	Em0017g195a
XP_004343184.2	Em0003g45a
XP_004343185.1	Em0009g1274a
XP_004343186.2	Em0004g1107a
XP_004343187.1	Em0004g1350a
XP_004343192.2	Em0017g35a
XP_004343196.2	Em0019g184a
XP_004343197.1	Em0011g119a
XP_004343198.1	Em0002g29a
XP_004343199.1	Em0008g44a
XP_004343201.1	Em0008g95a
XP_004343203.1	Em0003g753a
XP_004343204.2	Em0008g975a
XP_004343205.1	Em0016g919a
XP_004343207.1	Em0013g308a
XP_004343210.1	Em0009g1117a
XP_004343212.1	Em0004g1369a
XP_004343215.1	Em0016g287a
XP_004343219.1	Em0015g250a
XP_004343220.1	Em0018g340a
XP_004343221.2	Em0008g96a
XP_004343222.1	Em0020g240a
XP_004343227.1	Em0016g882a
XP_004343228.1	Em0020g798a
XP_004343231.1	Em0018g809a
XP_004343234.1	Em0019g189a
XP_004343237.1	Em0016g83a
XP_004343239.2	Em0016g156a
XP_004343241.2	Em0003g1226a
XP_004343246.1	Em0014g565a
XP_004343248.2	Em0001g215a
XP_004343252.2	Em0020g1096a
XP_004343254.2	Em0019g115a
XP_004343256.1	Em0273g3a
XP_004343257.1	Em0016g99a
XP_004343260.1	Em0001g3615a
XP_004343261.1	Em0141g5a
XP_004343262.1	Em0013g452a
XP_004343263.2	Em0013g888a
XP_004343266.1	Em0018g102a
XP_004343268.1	Em0019g163a
XP_004343269.2	Em0019g599a
XP_004343271.1	Em0023g201a
XP_004343276.1	Em0018g527a
XP_004343281.1	Em0012g974a
XP_004343282.2	Em0016g347a
XP_004343283.1	Em0019g120a
XP_004343284.1	Em0008g735a
XP_004343286.1	Em0018g5a
XP_004343288.1	Em0019g151a
XP_004343290.1	Em0005g1669a
XP_004343296.2	Em0022g819a
XP_004343297.1	Em0018g63a
XP_004343299.1	Em0001g3560a
XP_004343300.1	Em0016g546a
XP_004343301.1	Em0001g686a
XP_004343302.2	Em0019g707a
XP_004343303.1	Em0016g881a
XP_004343306.1	Em0023g433a
XP_004343307.2	Em0019g915a
XP_004343308.1	Em0001g1570a
XP_004343309.1	Em0162g11a
XP_004343315.2	Em0013g44a
XP_004343316.2	Em0020g812a
XP_004343341.1	Em0024g243a
XP_004343342.2	Em0011g10a
XP_004343346.2	Em0001g1791a
XP_004343347.2	Em0011g850a
XP_004343352.2	Em0004g63a
XP_004343354.1	Em0023g273a
XP_004343357.1	Em0021g543a
XP_004343358.1	Em0006g1187a
XP_004343360.1	Em0010g918a
XP_004343366.1	Em0018g429a
XP_004343367.1	Em0017g363a
XP_004343370.1	Em0011g816a
XP_004343372.2	Em0164g3a
XP_004343373.2	Em0013g291a
XP_004343379.1	Em0011g791a
XP_004343380.1	Em0011g499a
XP_004343382.2	Em0192g11a
XP_004343384.1	Em0021g858a
XP_004343385.1	Em0009g915a
XP_004343392.2	Em0008g1010a
XP_004343401.1	Em0012g1050a
XP_004343402.2	Em0015g461a
XP_004343406.1	Em0004g29a
XP_004343408.1	Em0018g84a
XP_004343409.1	Em0011g774a
XP_004343412.1	Em0003g293a
XP_004343413.1	Em0021g290a
XP_004343420.2	Em0001g1587a
XP_004343423.2	Em0003g844a
XP_004343424.1	Em0003g778a
XP_004343425.2	Em0468g1a
XP_004343428.1	Em0017g637a
XP_004343430.1	Em0014g172a
XP_004343431.2	Em0015g462a
XP_004343432.2	Em0021g669a
XP_004343433.1	Em0022g518a
XP_004343438.1	Em0011g536a
XP_004343440.1	Em0022g550a
XP_004343443.2	Em0022g159a
XP_004343444.2	Em0022g764a
XP_004343449.1	Em0447g9a
XP_004343450.1	Em0447g8a
XP_004343452.2	Em0004g1695a
XP_004343454.2	Em0015g1115a
XP_004343457.2	Em0022g422a
XP_004343459.2	Em0023g461a
XP_004343461.2	Em0017g169a
XP_004343464.2	Em0012g161a
XP_004343467.2	Em0018g574a
XP_004343470.2	Em0021g558a
XP_004343474.2	Em0018g619a
XP_004343475.2	Em0013g132a
XP_004343478.2	Em0018g808a
XP_004343479.1	Em0020g52a
XP_004343480.1	Em0017g82a
XP_004343482.1	Em0018g839a
XP_004343483.1	Em0018g1128a
XP_004343484.2	Em0018g998a
XP_004343485.1	Em0003g1753a
XP_004343491.2	Em0022g231a
XP_004343493.1	Em0019g839a
XP_004343500.1	Em0018g960a
XP_004343503.2	Em0015g1209a
XP_004343504.1	Em0011g418a
XP_004343505.2	Em0019g644a
XP_004343506.2	Em0004g1012a
XP_004343509.2	Em0016g979a
XP_004343511.1	Em0019g190a
XP_004343513.1	Em0023g503a
XP_004343515.1	Em0019g611a
XP_004343516.1	Em0015g291a
XP_004343518.2	Em0015g1150a
XP_004343519.1	Em0016g12a
XP_004343520.1	Em0019g714a
XP_004343521.2	Em0018g716a
XP_004343523.1	Em0016g367a
XP_004343524.2	Em0021g772a
XP_004343528.2	Em0009g976a
XP_004343530.1	Em0013g306a
XP_004343532.2	Em0007g1462a
XP_004343535.2	Em0009g1124a
XP_004343537.2	Em0019g655a
XP_004343544.1	Em0001g86a
XP_004343558.1	Em0016g918a
XP_004343560.1	Em0018g511a
XP_004343562.1	Em0004g152a
XP_004343564.1	Em0013g547a
XP_004343566.2	Em0018g1091a
XP_004343567.1	Em0018g1050a
XP_004343568.1	Em0011g229a
XP_004343569.1	Em0012g800a
XP_004343571.1	Em0018g1214a
XP_004343572.1	Em0037g9a
XP_004343574.1	Em0018g1121a
XP_004343578.2	Em0001g3794a
XP_004343579.1	Em0018g1090a
XP_004343580.1	Em0018g1031a
XP_004343581.2	Em0020g570a
XP_004343583.2	Em0019g570a
XP_004343584.1	Em0657g3a
XP_004343588.1	Em0006g876a
XP_004343589.2	Em0015g54a
XP_004343593.2	Em0018g975a
XP_004343594.1	Em0015g570a
XP_004343595.1	Em0018g1137a
XP_004343596.1	Em0022g249a
XP_004343598.1	Em0020g1022a
XP_004343605.2	Em0012g1071a
XP_004343610.1	Em0011g365a
XP_004343612.2	Em0015g698a
XP_004343613.2	Em0005g1442a
XP_004343617.1	Em0015g1219a
XP_004343618.2	Em0021g83a
XP_004343620.2	Em0015g902a
XP_004343661.1	Em0011g871a
XP_004343662.1	Em0022g269a
XP_004343664.1	Em0023g355a
XP_004343670.1	Em0009g1296a
XP_004343671.1	Em0009g600a
XP_004343675.1	Em0009g1281a
XP_004343676.1	Em0009g677a
XP_004343677.1	Em0022g274a
XP_004343680.2	Em0009g1027a
XP_004343684.1	Em0021g137a
XP_004343686.1	Em0018g1187a
XP_004343687.2	Em0009g986a
XP_004343691.2	Em0009g1310a
XP_004343692.2	Em0016g586a
XP_004343693.1	Em0015g764a
XP_004343695.2	Em0001g1010a
XP_004343696.1	Em0002g755a
XP_004343697.2	Em0012g1048a
XP_004343699.1	Em0009g998a
XP_004343700.2	Em0009g809a
XP_004343703.2	g32989.t1
XP_004343704.1	Em0020g824a
XP_004343705.1	Em0016g560a
XP_004343706.2	Em0010g454a
XP_004343707.2	Em0016g536a
XP_004343711.2	Em0016g346a
XP_004343718.1	Em0020g72a
XP_004343719.1	Em0006g1279a
XP_004343721.2	Em0016g58a
XP_004343724.1	Em0201g14a
XP_004343726.1	Em0017g485a
XP_004343730.2	Em0009g1034a
XP_004343731.2	Em0058g8a
XP_004343733.1	Em0009g789a
XP_004343736.1	Em0018g197a
XP_004343739.1	Em0009g1122a
XP_004343740.1	Em0009g1156a
XP_004343741.1	Em0009g1143a
XP_004343743.1	Em0009g1073a
XP_004343747.2	Em0014g767a
XP_004343748.1	Em0015g303a
XP_004343750.1	Em0008g1011a
XP_004343751.2	Em0013g317a
XP_004343752.2	Em0020g604a
XP_004343753.2	Em0007g850a
XP_004343754.1	Em0022g196a
XP_004343755.1	Em0014g801a
XP_004343756.2	Em0018g499a
XP_004343758.1	Em0018g283a
XP_004343760.1	Em0020g1052a
XP_004343761.1	Em0003g211a
XP_004343774.1	Em0004g136a
XP_004343776.1	Em0016g520a
XP_004343780.1	Em0013g824a
XP_004343782.2	Em0019g343a
XP_004343788.1	Em0022g784a
XP_004343795.1	Em0008g633a
XP_004343796.1	Em0002g36a
XP_004343798.1	Em0013g816a
XP_004343801.1	Em0011g796a
XP_004343803.1	Em0001g2864a
XP_004343806.1	Em0010g875a
XP_004343807.1	Em0005g1592a
XP_004343811.1	Em0003g1413a
XP_004343812.2	Em0047g5a
XP_004343817.2	Em0011g786a
XP_004343819.2	Em0014g357a
XP_004343821.1	Em0020g789a
XP_004343828.1	Em0023g228a
XP_004343829.2	Em0015g1248a
XP_004343831.1	Em0004g1629a
XP_004343832.1	Em0023g47a
XP_004343834.1	Em0019g581a
XP_004343836.1	Em0009g1236a
XP_004343838.1	Em0005g1202a
XP_004343843.2	Em0011g860a
XP_004343844.2	Em0022g232a
XP_004343846.2	Em0019g238a
XP_004343847.1	Em0023g557a
XP_004343849.1	Em0023g425a
XP_004343850.1	Em0005g171a
XP_004343853.2	Em0006g892a
XP_004343855.2	Em0002g753a
XP_004343857.1	Em0004g1005a
XP_004343858.1	Em0007g1331a
XP_004343862.2	Em0001g3614a
XP_004343865.1	Em0016g428a
XP_004343867.2	Em0015g175a
XP_004343881.2	Em0015g805a
XP_004343883.1	Em0009g1019a
XP_004343886.2	Em0020g545a
XP_004343888.1	Em0015g1271a
XP_004343890.1	Em0018g69a
XP_004343892.2	Em0020g956a
XP_004343895.1	Em0015g147a
XP_004343896.1	Em0015g599a
XP_004343897.1	Em0013g110a
XP_004343902.2	Em0015g1250a
XP_004343903.2	Em0011g483a
XP_004343905.2	Em0015g1246a
XP_004343907.1	Em0003g290a
XP_004343911.2	Em0018g1162a
XP_004343912.1	Em0015g920a
XP_004343921.1	Em0015g1009a
XP_004343923.2	Em0015g1290a
XP_004343924.1	Em0008g1028a
XP_004343927.1	Em0015g1260a
XP_004344217.2	Em0015g552a
XP_004344222.1	Em0015g168a
XP_004344223.1	Em0015g62a
XP_004344231.2	Em0015g349a
XP_004344234.2	Em0006g980a
XP_004344236.2	Em0015g121a
XP_004344241.1	Em0015g105a
XP_004344242.1	Em0015g251a
XP_004344243.1	Em0015g445a
XP_004344244.1	Em0015g110a
XP_004344246.1	Em0023g594a
XP_004344249.1	Em0018g54a
XP_004344251.1	Em0001g1755a
XP_004344252.1	Em0011g657a
XP_004344254.1	Em0008g1027a
XP_004344255.1	Em0001g1487a
XP_004344257.1	Em0013g1000a
XP_004344261.1	Em0018g45a
XP_004344266.1	Em0018g125a
XP_004344267.1	Em0018g186a
XP_004344269.2	Em0018g131a
XP_004344271.2	Em0021g234a
XP_004344273.2	Em0008g153a
XP_004344275.1	Em0019g180a
XP_004344276.2	Em0022g427a
XP_004344277.1	Em0019g198a
XP_004344282.2	Em0001g1714a
XP_004344284.1	Em0001g1477a
XP_004344287.2	Em0020g135a
XP_004344291.1	Em0581g4a
XP_004344293.2	Em0015g644a
XP_004344295.1	Em0012g1038a
XP_004344297.1	Em0009g1150a
XP_004344298.1	Em0023g369a
XP_004344299.2	Em0014g773a
XP_004344301.1	Em0014g777a
XP_004344302.2	Em0004g1515a
XP_004344303.1	Em0016g166a
XP_004344304.2	Em0020g1023a
XP_004344306.1	Em0014g781a
XP_004344310.1	Em0019g654a
XP_004344311.1	Em0004g1736a
XP_004344312.2	Em0009g1259a
XP_004344313.2	Em0019g636a
XP_004344317.1	Em0019g872a
XP_004344318.2	Em0020g1011a
XP_004344321.1	Em0022g820a
XP_004344323.1	Em0013g251a
XP_004344324.2	Em0023g126a
XP_004344325.2	Em0005g1013a
XP_004344326.2	Em0015g1142a
XP_004344327.1	Em0016g105a
XP_004344329.1	Em0016g92a
XP_004344334.1	Em0003g1366a
XP_004344337.1	Em0001g1336a
XP_004344339.2	Em0016g118a
XP_004344340.1	Em0217g1a
XP_004344341.1	Em0011g17a
XP_004344343.1	Em0006g698a
XP_004344345.1	Em0014g580a
XP_004344350.2	Em0009g400a
XP_004344353.1	Em0001g3297a
XP_004344354.1	Em0020g42a
XP_004344362.2	Em0019g1181a
XP_004344364.2	Em0005g1665a
XP_004344366.2	Em0005g25a
XP_004344368.1	Em0007g128a
XP_004344369.1	Em0008g1012a
XP_004344374.2	Em0158g10a
XP_004344378.1	Em0006g1035a
XP_004344382.1	Em0015g288a
XP_004344390.1	Em0016g126a
XP_004344395.2	Em0020g210a
XP_004344399.1	Em0015g692a
XP_004344400.1	Em0001g1115a
XP_004344404.1	Em0010g766a
XP_004344405.1	Em0004g93a
XP_004344407.2	Em0015g109a
XP_004344408.1	Em0015g212a
XP_004344409.1	Em0019g176a
XP_004344410.1	Em0005g1186a
XP_004344411.2	Em0017g16a
XP_004344412.1	Em0019g167a
XP_004344416.1	Em0002g37a
XP_004344417.1	Em0018g510a
XP_004344418.1	Em0039g30a
XP_004344420.1	Em0018g363a
XP_004344423.2	Em0018g39a
XP_004344424.2	Em0200g3a
XP_004344427.2	Em0009g1067a
XP_004344430.1	Em0018g37a
XP_004344431.1	Em0018g36a
XP_004344432.1	Em0020g69a
XP_004344435.1	Em0021g364a
XP_004344436.1	Em0018g90a
XP_004344437.1	Em0018g184a
XP_004344438.2	Em0018g183a
XP_004344439.1	Em0018g494a
XP_004344440.1	Em0018g164a
XP_004344444.1	Em0277g1a
XP_004344446.1	Em0018g72a
XP_004344447.1	Em0018g500a
XP_004344448.1	Em0019g183a
XP_004344449.1	Em0018g497a
XP_004344451.1	Em0010g905a
XP_004344453.2	Em0020g147a
XP_004344454.2	Em0018g57a
XP_004344468.1	Em0007g932a
XP_004344469.1	Em0020g500a
XP_004344470.1	Em0018g333a
XP_004344471.1	Em0018g509a
XP_004344474.2	Em0022g699a
XP_004344476.1	Em0018g165a
XP_004344477.1	Em0019g281a
XP_004344480.1	Em0018g159a
XP_004344481.2	Em0007g224a
XP_004344482.1	Em0021g834a
XP_004344491.1	Em0012g752a
XP_004344499.1	Em0011g63a
XP_004344501.1	Em0019g556a
XP_004344503.2	Em0015g985a
XP_004344506.2	Em0013g851a
XP_004344507.1	Em0007g78a
XP_004344508.2	Em0020g825a
XP_004344510.2	Em0006g1558a
XP_004344515.1	Em0021g306a
XP_004344522.1	Em0005g667a
XP_004344524.1	Em0008g628a
XP_004344525.1	Em0011g70a
XP_004344527.1	Em0011g1162a
XP_004344528.2	Em0006g375a
XP_004344529.2	Em0013g1037a
XP_004344531.1	Em0014g779a
XP_004344532.1	Em0020g823a
XP_004344534.1	Em0013g1036a
XP_004344541.1	Em0013g717a
XP_004344544.1	Em0013g718a
XP_004344548.2	Em0003g734a
XP_004344550.1	Em0013g796a
XP_004344551.1	Em0021g944a
XP_004344552.1	Em0674g2a
XP_004344963.2	Em0004g648a
XP_004344964.1	Em0018g362a
XP_004344969.2	Em0009g1200a
XP_004344971.1	Em0018g311a
XP_004344972.1	Em0002g1894a
XP_004344975.1	Em0009g1270a
XP_004344978.2	Em0020g620a
XP_004344979.1	Em0008g1082a
XP_004344980.1	Em0009g968a
XP_004344986.1	Em0001g855a
XP_004344987.2	Em0002g1660a
XP_004344994.1	Em0022g260a
XP_004344995.1	Em0023g57a
XP_004344996.2	Em0162g9a
XP_004344997.2	Em0011g69a
XP_004344998.1	Em0011g558a
XP_004344999.2	Em0023g116a
XP_004345000.1	Em0021g897a
XP_004345001.2	Em0023g353a
XP_004345003.1	Em0019g988a
XP_004345006.1	Em0023g94a
XP_004345007.1	Em0021g36a
XP_004345008.1	Em0001g844a
XP_004345013.1	Em0023g227a
XP_004345014.1	Em0023g337a
XP_004345015.1	Em0003g317a
XP_004345016.2	Em0021g664a
XP_004345017.2	Em0021g375a
XP_004345019.2	Em0020g1067a
XP_004345021.2	Em0005g1654a
XP_004345022.1	Em0009g1305a
XP_004345023.1	Em0018g1101a
XP_004345026.1	Em0013g36a
XP_004345030.2	Em0023g352a
XP_004345032.2	Em0006g1247a
XP_004345040.1	Em0019g541a
XP_004345042.2	Em0015g539a
XP_004345044.2	Em0004g13a
XP_004345045.1	Em0003g62a
XP_004345049.1	Em0002g600a
XP_004345051.2	Em0005g1521a
XP_004345054.2	Em0617g2a
XP_004345055.1	Em0438g3a
XP_004345056.1	Em0022g667a
XP_004345062.1	Em0011g250a
XP_004345064.1	Em0004g22a
XP_004345065.1	Em0006g1153a
XP_004345066.1	Em0004g101a
XP_004345067.2	Em0020g1030a
XP_004345069.2	Em0021g685a
XP_004345070.1	Em0021g257a
XP_004345071.2	Em0009g40a
XP_004345073.2	Em0009g762a
XP_004345076.1	Em0006g1168a
XP_004345081.1	Em0006g1008a
XP_004345083.1	Em0139g1a
XP_004345084.1	Em0019g896a
XP_004345085.1	Em0005g1443a
XP_004345086.1	Em0023g820a
XP_004345087.2	Em0021g259a
XP_004345089.1	Em0003g1521a
XP_004345090.1	Em0005g1446a
XP_004345091.2	Em0020g95a
XP_004345092.2	Em0001g2184a
XP_004345095.1	Em0005g1499a
XP_004345096.2	Em0007g1001a
XP_004345100.1	Em0023g402a
XP_004345102.1	Em0011g26a
XP_004345105.2	Em0019g1225a
XP_004345106.2	Em0005g1035a
XP_004345107.2	Em0013g133a
XP_004345109.1	Em0023g340a
XP_004345111.2	Em0005g1213a
XP_004345113.1	Em0016g157a
XP_004345117.1	Em0021g273a
XP_004345120.1	Em0015g755a
XP_004345122.1	Em0005g714a
XP_004345124.2	Em0005g1633a
XP_004345126.2	Em0005g1376a
XP_004345130.2	Em0022g171a
XP_004345134.2	Em0011g872a
XP_004345136.2	Em0019g187a
XP_004345137.1	Em0011g511a
XP_004345139.1	Em0005g1653a
XP_004345146.1	Em0005g1166a
XP_004345151.2	Em0016g64a
XP_004345155.2	Em0011g18a
XP_004345161.2	Em0015g87a
XP_004345164.2	Em0015g325a
XP_004345168.2	Em0022g314a
XP_004345170.1	Em0011g556a
XP_004345171.1	Em0009g1231a
XP_004345172.2	Em0010g945a
XP_004345173.1	Em0013g817a
XP_004345175.2	Em0004g349a
XP_004345176.1	Em0005g945a
XP_004345183.2	Em0002g88a
XP_004345186.2	Em0023g653a
XP_004345190.1	Em0018g188a
XP_004345191.1	Em0011g793a
XP_004345192.1	Em0020g1100a
XP_004345197.1	Em0018g387a
XP_004345201.1	Em0023g72a
XP_004345205.2	Em0021g552a
XP_004345206.1	Em0003g186a
XP_004345213.2	Em0021g141a
XP_004345215.1	Em0018g1113a
XP_004345218.2	Em0018g265a
XP_004345220.2	Em0019g1101a
XP_004345222.2	Em0005g1178a
XP_004345223.2	Em0013g950a
XP_004345224.2	Em0022g538a
XP_004345231.1	Em0011g854a
XP_004345233.2	Em0010g872a
XP_004345235.1	Em0194g5a
XP_004345237.1	Em0014g487a
XP_004345238.1	Em0015g1139a
XP_004345239.1	Em0015g1181a
XP_004345240.2	Em0021g868a
XP_004345241.1	Em0015g1161a
XP_004345242.1	Em0006g1429a
XP_004345245.2	Em0013g13a
XP_004345247.2	Em0004g151a
XP_004345248.1	Em0023g779a
XP_004345254.1	Em0015g714a
XP_004345256.2	Em0018g1195a
XP_004345258.2	Em0008g913a
XP_004345260.2	Em0005g1262a
XP_004345263.1	Em0018g1192a
XP_004345266.2	Em0003g1560a
XP_004345268.1	Em0014g439a
XP_004345270.1	Em0020g207a
XP_004345272.2	Em0019g104a
XP_004345273.1	Em0013g811a
XP_004345275.2	Em0001g567a
XP_004345278.1	Em0007g1461a
XP_004345279.1	Em0020g947a
XP_004345283.2	Em0019g94a
XP_004345287.1	Em0015g1149a
XP_004345290.1	Em0022g214a
XP_004345291.1	Em0015g1247a
XP_004345292.2	Em0015g1148a
XP_004345294.1	Em0011g12a
